Id	GroupId	FixAttrId	FixAttrLevel	Ability	FightEvent	FightEventLevel	EffectType	EffectValue
1	101	1	0	0	2230261	1	1	26
2	101	1	1	25	2230261	2	1	34
3	101	1	2	34	2230261	3	1	42
4	101	1	3	42	2230261	4	1	49
5	101	1	4	49	2230261	5	1	56
6	101	1	5	56	2230261	6	1	62
7	101	1	6	62	2230261	7	1	68
8	101	1	7	69	2230261	8	1	74
9	101	1	8	74	2230261	9	1	80
10	101	1	9	80	2230261	10	1	85
11	101	1	10	85	2230261	11	1	90
12	101	1	11	90	2230261	12	1	94
13	101	1	12	95	2230261	13	1	99
14	101	1	13	99	2230261	14	1	103
15	101	1	14	104	2230261	15	1	107
16	101	1	15	108	2230261	16	1	111
17	101	1	16	112	2230261	17	1	115
18	101	1	17	115	2230261	18	1	118
19	101	1	18	119	2230261	19	1	122
20	101	1	19	122	2230261	20	1	125
21	101	1	20	126	2230261	21	1	128
22	101	1	21	129	2230261	22	1	131
23	101	1	22	132	2230261	23	1	134
24	101	1	23	135	2230261	24	1	137
25	101	1	24	138	2230261	25	1	140
26	101	1	25	140	2230261	26	1	142
27	101	1	26	143	2230261	27	1	145
28	101	1	27	146	2230261	28	1	147
29	101	1	28	148	2230261	29	1	149
30	101	1	29	150	2230261	30	1	152
31	101	1	30	153	2230261	31	1	154
32	101	1	31	155	2230261	32	1	156
33	101	1	32	157	2230261	33	1	158
34	101	1	33	159	2230261	34	1	160
35	101	1	34	161	2230261	35	1	162
36	101	1	35	163	2230261	36	1	164
37	101	1	36	165	2230261	37	1	165
38	101	1	37	167	2230261	38	1	167
39	101	1	38	168	2230261	39	1	169
40	101	1	39	170	2230261	40	1	170
41	101	1	40	172	2230261	41	1	172
42	101	1	41	173	2230261	42	1	174
43	101	1	42	175	2230261	43	1	175
44	101	1	43	176	2230261	44	1	177
45	101	1	44	178	2230261	45	1	178
46	101	1	45	179	2230261	46	1	179
47	101	1	46	181	2230261	47	1	181
48	101	1	47	182	2230261	48	1	182
49	101	1	48	183	2230261	49	1	183
50	101	1	49	185	2230261	50	1	185
51	101	1	50	186	2230261	51	1	186
52	101	1	51	187	2230261	52	1	187
53	101	1	52	188	2230261	53	1	188
54	101	1	53	190	2230261	54	1	189
55	101	1	54	191	2230261	55	1	190
56	101	1	55	192	2230261	56	1	191
57	101	1	56	193	2230261	57	1	192
58	101	1	57	194	2230261	58	1	194
59	101	1	58	195	2230261	59	1	195
60	101	1	59	196	2230261	60	1	196
61	101	1	60	197	2230261	61	1	196
62	101	1	61	198	2230261	62	1	197
63	101	1	62	199	2230261	63	1	198
64	101	1	63	200	2230261	64	1	199
65	101	1	64	201	2230261	65	1	200
66	101	1	65	202	2230261	66	1	201
67	101	1	66	202	2230261	67	1	202
68	101	1	67	203	2230261	68	1	203
69	101	1	68	204	2230261	69	1	203
70	101	1	69	205	2230261	70	1	204
71	101	1	70	206	2230261	71	1	205
72	101	1	71	207	2230261	72	1	206
73	101	1	72	207	2230261	73	1	207
74	101	1	73	208	2230261	74	1	207
75	101	1	74	209	2230261	75	1	208
76	101	1	75	210	2230261	76	1	209
