Id	ChapterId	Order	Type	UnlockByPrevLayer	JumpLayerMaxCount	FightEvents[1]	FightEventLevels[1]	FightEvents[2]	FightEventLevels[2]	FightEvents[3]	FightEventLevels[3]	FightEvents[4]	FightEventLevels[4]	CoinCount	RewardId	PluginDropTypeGroupId	NodeRandomGroupIds[1]	NodePositions[1]	NodeName[1]	NodeDesc[1]	PluginDropCountMins[1]	PluginDropCountMaxs[1]	NodeRandomGroupIds[2]	NodePositions[2]	NodeName[2]	NodeDesc[2]	PluginDropCountMins[2]	PluginDropCountMaxs[2]	NodeRandomGroupIds[3]	NodePositions[3]	NodeName[3]	NodeDesc[3]	PluginDropCountMins[3]	PluginDropCountMaxs[3]	LuckyNodeRandomGroupId	LuckyNodeRewardId	LuckyPluginDropTypeGroupId	LuckyPluginDropCountMin	LuckyPluginDropCountMax
1	1	1	1	1	0	2230500	1	2230506	1	2230507	1	2230515	1	50	16328	1	101	3	A1	Defeat all enemy units within the time limit	2	2													60001		10	4	4
2	1	2	1	1	0	2230500	2	2230506	2	2230507	1	2230515	1	50	16329	1	201	2	A1	Defeat all enemy units within the time limit	2	2													60001		10	4	4
3	1	3	1	1	0	2230500	3	2230506	3	2230507	1	2230515	1	50	16330	1	301	1	A1	Defeat all enemy units within the time limit	2	2													60001		10	4	4
4	1	4	1	1	0	2230500	4	2230506	4	2230507	1	2230515	1	50	16331	1	401	1	A1	Defeat all enemy units within the time limit	2	2													60001		10	4	4
5	1	5	2	1	5							2230515	1	50	16332	1	501	5	A1	Deeper sections are unlocked based on the number of waves defeated within the time limit	7	10													60001		10	4	4
6	1	6	1	1	0	2230500	6	2230506	6	2230507	2	2230515	1	50	16333	2	601	5	A1	Defeat all enemy units within the time limit	2	2													60001		10	4	4
7	1	7	1	1	0	2230500	7	2230506	7	2230507	2	2230515	1	50	16334	2	701	1	A1	Defeat all enemy units within the time limit	2	2													60001		10	4	4
8	1	8	1	1	0	2230500	8	2230506	8	2230507	2	2230515	1	50	16335	2	801	2	A1	Defeat all enemy units within the time limit	2	2													60001		10	4	4
9	1	9	1	1	0	2230500	9	2230506	9	2230507	2	2230515	1	50	16336	2	901	1	A1	Defeat all enemy units within the time limit	2	2													60001		10	4	4
10	1	10	3	1	0	2230500	10	2230506	10	2230507	2	2230515	1	50	16337	2	1001	5	A1	Defeat all enemy units within the time limit	2	2													60001		10	4	4
11	2	11	1	1	0	2230500	11	2230506	11	2230509	5	2230515	1	75	16338	3	1101	3	B1	Defeat all enemy units within the time limit	2	3													60001		11	6	6
12	2	12	1	1	0	2230500	12	2230506	12	2230509	5	2230515	1	75	16339	3	1201	1	B1	Defeat all enemy units within the time limit	2	3													60001		11	6	6
13	2	13	1	1	0	2230500	13	2230506	13	2230509	5	2230515	1	75	16340	3	1301	2	B1	Defeat all enemy units within the time limit	2	3													60001		11	6	6
14	2	14	1	1	0	2230500	14	2230506	14	2230509	5	2230515	1	75	16341	3	1401	1	B1	Defeat all enemy units within the time limit	2	3													60001		11	6	6
