Id	GroupId	Level	Ability	FightEvent	EffectType	EffectValue
1	1	0	0	2230501	1	0
2	1	1	15	2230501	1	13
3	1	2	30	2230501	1	27
4	1	3	45	2230501	1	40
5	1	4	60	2230501	1	53
6	1	5	75	2230501	1	67
7	1	6	90	2230501	1	80
8	1	7	105	2230501	1	93
9	1	8	120	2230501	1	107
10	1	9	135	2230501	1	120
11	1	10	150	2230501	1	133
12	1	11	165	2230501	1	147
13	1	12	180	2230501	1	160
14	1	13	195	2230501	1	173
15	1	14	210	2230501	1	187
16	1	15	225	2230501	1	200
17	1	16	240	2230501	1	213
18	1	17	255	2230501	1	227
19	1	18	270	2230501	1	240
20	1	19	285	2230501	1	253
21	1	20	300	2230501	1	267
22	1	21	315	2230501	1	280
23	1	22	330	2230501	1	293
24	1	23	345	2230501	1	307
25	1	24	360	2230501	1	320
26	1	25	375	2230501	1	333
27	1	26	390	2230501	1	347
28	1	27	405	2230501	1	360
29	1	28	420	2230501	1	373
30	1	29	435	2230501	1	387
31	1	30	450	2230501	1	400
32	1	31	465	2230501	1	413
33	1	32	480	2230501	1	427
34	1	33	495	2230501	1	440
35	1	34	510	2230501	1	453
36	1	35	525	2230501	1	467
37	1	36	540	2230501	1	480
38	1	37	555	2230501	1	493
39	1	38	570	2230501	1	507
40	1	39	585	2230501	1	520
41	1	40	600	2230501	1	533
42	1	41	615	2230501	1	547
43	1	42	630	2230501	1	560
44	1	43	645	2230501	1	573
45	1	44	660	2230501	1	587
46	1	45	675	2230501	1	600
47	1	46	690	2230501	1	613
48	1	47	705	2230501	1	627
49	1	48	720	2230501	1	640
50	1	49	735	2230501	1	653
51	1	50	750	2230501	1	667
52	1	51	765	2230501	1	680
53	1	52	780	2230501	1	693
54	1	53	795	2230501	1	707
55	1	54	810	2230501	1	720
56	1	55	825	2230501	1	733
57	1	56	840	2230501	1	747
58	1	57	855	2230501	1	760
59	1	58	870	2230501	1	773
60	1	59	885	2230501	1	787
61	1	60	900	2230501	1	800
62	1	61	915	2230501	1	813
63	1	62	930	2230501	1	827
64	1	63	945	2230501	1	840
65	1	64	960	2230501	1	853
66	1	65	975	2230501	1	867
67	1	66	990	2230501	1	880
68	1	67	1005	2230501	1	893
69	1	68	1020	2230501	1	907
70	1	69	1035	2230501	1	920
71	1	70	1050	2230501	1	933
72	1	71	1065	2230501	1	947
73	1	72	1080	2230501	1	960
74	1	73	1095	2230501	1	973
75	1	74	1110	2230501	1	987
76	1	75	1125	2230501	1	1000
77	1	76	1140	2230501	1	1013
78	1	77	1155	2230501	1	1027
79	1	78	1170	2230501	1	1040
80	1	79	1185	2230501	1	1053
81	1	80	1200	2230501	1	1067
82	1	81	1215	2230501	1	1080
83	1	82	1230	2230501	1	1093
84	1	83	1245	2230501	1	1107
85	1	84	1260	2230501	1	1120
86	1	85	1275	2230501	1	1133
87	1	86	1290	2230501	1	1147
88	1	87	1305	2230501	1	1160
89	1	88	1320	2230501	1	1173
90	1	89	1335	2230501	1	1187
91	1	90	1350	2230501	1	1200
92	1	91	1365	2230501	1	1213
93	1	92	1380	2230501	1	1227
94	1	93	1395	2230501	1	1240
95	1	94	1410	2230501	1	1253
96	1	95	1425	2230501	1	1267
97	1	96	1440	2230501	1	1280
98	1	97	1455	2230501	1	1293
99	1	98	1470	2230501	1	1307
100	1	99	1485	2230501	1	1320
101	2	0	0	2230502	3	0
102	2	1	15	2230502	3	93
103	2	2	30	2230502	3	186
104	2	3	45	2230502	3	279
105	2	4	60	2230502	3	372
106	2	5	75	2230502	3	465
107	2	6	90	2230502	3	558
108	2	7	105	2230502	3	651
109	2	8	120	2230502	3	743
110	2	9	135	2230502	3	836
111	2	10	150	2230502	3	929
112	2	11	165	2230502	3	1022
113	2	12	180	2230502	3	1115
114	2	13	195	2230502	3	1208
115	2	14	210	2230502	3	1301
116	2	15	225	2230502	3	1394
117	2	16	240	2230502	3	1487
118	2	17	255	2230502	3	1580
119	2	18	270	2230502	3	1673
120	2	19	285	2230502	3	1766
121	2	20	300	2230502	3	1859
122	2	21	315	2230502	3	1952
123	2	22	330	2230502	3	2044
124	2	23	345	2230502	3	2137
125	2	24	360	2230502	3	2230
126	2	25	375	2230502	3	2323
127	2	26	390	2230502	3	2416
128	2	27	405	2230502	3	2509
129	2	28	420	2230502	3	2602
130	2	29	435	2230502	3	2695
131	2	30	450	2230502	3	2788
132	2	31	465	2230502	3	2881
133	2	32	480	2230502	3	2974
134	2	33	495	2230502	3	3067
135	2	34	510	2230502	3	3160
136	2	35	525	2230502	3	3253
137	2	36	540	2230502	3	3345
138	2	37	555	2230502	3	3438
139	2	38	570	2230502	3	3531
140	2	39	585	2230502	3	3624
141	2	40	600	2230502	3	3717
142	2	41	615	2230502	3	3810
143	2	42	630	2230502	3	3903
144	2	43	645	2230502	3	3996
145	2	44	660	2230502	3	4089
146	2	45	675	2230502	3	4182
147	2	46	690	2230502	3	4275
148	2	47	705	2230502	3	4368
149	2	48	720	2230502	3	4461
150	2	49	735	2230502	3	4554
151	2	50	750	2230502	3	4646
152	2	51	765	2230502	3	4739
153	2	52	780	2230502	3	4832
154	2	53	795	2230502	3	4925
155	2	54	810	2230502	3	5018
156	2	55	825	2230502	3	5111
157	2	56	840	2230502	3	5204
158	2	57	855	2230502	3	5297
159	2	58	870	2230502	3	5390
160	2	59	885	2230502	3	5483
161	2	60	900	2230502	3	5576
162	2	61	915	2230502	3	5669
163	2	62	930	2230502	3	5762
164	2	63	945	2230502	3	5855
165	2	64	960	2230502	3	5947
166	2	65	975	2230502	3	6040
167	2	66	990	2230502	3	6133
168	2	67	1005	2230502	3	6226
169	2	68	1020	2230502	3	6319
170	2	69	1035	2230502	3	6412
171	2	70	1050	2230502	3	6505
172	2	71	1065	2230502	3	6598
173	2	72	1080	2230502	3	6691
174	2	73	1095	2230502	3	6784
175	2	74	1110	2230502	3	6877
176	2	75	1125	2230502	3	6970
177	2	76	1140	2230502	3	7063
178	2	77	1155	2230502	3	7156
179	2	78	1170	2230502	3	7248
180	2	79	1185	2230502	3	7341
181	2	80	1200	2230502	3	7434
182	2	81	1215	2230502	3	7527
183	2	82	1230	2230502	3	7620
184	2	83	1245	2230502	3	7713
185	2	84	1260	2230502	3	7806
186	2	85	1275	2230502	3	7899
187	2	86	1290	2230502	3	7992
188	2	87	1305	2230502	3	8085
189	2	88	1320	2230502	3	8178
190	2	89	1335	2230502	3	8271
191	2	90	1350	2230502	3	8364
192	2	91	1365	2230502	3	8457
193	2	92	1380	2230502	3	8549
194	2	93	1395	2230502	3	8642
195	2	94	1410	2230502	3	8735
196	2	95	1425	2230502	3	8828
197	2	96	1440	2230502	3	8921
198	2	97	1455	2230502	3	9014
199	2	98	1470	2230502	3	9107
200	2	99	1485	2230502	3	9200
201	3	0	0	2230503	13	0
202	3	1	15	2230503	13	96
203	3	2	30	2230503	13	192
204	3	3	45	2230503	13	288
205	3	4	60	2230503	13	384
206	3	5	75	2230503	13	481
207	3	6	90	2230503	13	577
208	3	7	105	2230503	13	673
209	3	8	120	2230503	13	769
210	3	9	135	2230503	13	865
211	3	10	150	2230503	13	961
212	3	11	165	2230503	13	1057
213	3	12	180	2230503	13	1153
214	3	13	195	2230503	13	1249
215	3	14	210	2230503	13	1345
216	3	15	225	2230503	13	1442
217	3	16	240	2230503	13	1538
218	3	17	255	2230503	13	1634
219	3	18	270	2230503	13	1730
220	3	19	285	2230503	13	1826
221	3	20	300	2230503	13	1922
222	3	21	315	2230503	13	2018
223	3	22	330	2230503	13	2114
224	3	23	345	2230503	13	2210
225	3	24	360	2230503	13	2306
226	3	25	375	2230503	13	2403
227	3	26	390	2230503	13	2499
228	3	27	405	2230503	13	2595
229	3	28	420	2230503	13	2691
230	3	29	435	2230503	13	2787
231	3	30	450	2230503	13	2883
232	3	31	465	2230503	13	2979
233	3	32	480	2230503	13	3075
234	3	33	495	2230503	13	3171
235	3	34	510	2230503	13	3268
236	3	35	525	2230503	13	3364
237	3	36	540	2230503	13	3460
238	3	37	555	2230503	13	3556
239	3	38	570	2230503	13	3652
240	3	39	585	2230503	13	3748
241	3	40	600	2230503	13	3844
242	3	41	615	2230503	13	3940
243	3	42	630	2230503	13	4036
244	3	43	645	2230503	13	4132
245	3	44	660	2230503	13	4229
246	3	45	675	2230503	13	4325
247	3	46	690	2230503	13	4421
248	3	47	705	2230503	13	4517
249	3	48	720	2230503	13	4613
250	3	49	735	2230503	13	4709
251	3	50	750	2230503	13	4805
252	3	51	765	2230503	13	4901
253	3	52	780	2230503	13	4997
254	3	53	795	2230503	13	5094
255	3	54	810	2230503	13	5190
256	3	55	825	2230503	13	5286
257	3	56	840	2230503	13	5382
258	3	57	855	2230503	13	5478
259	3	58	870	2230503	13	5574
260	3	59	885	2230503	13	5670
261	3	60	900	2230503	13	5766
262	3	61	915	2230503	13	5862
263	3	62	930	2230503	13	5958
264	3	63	945	2230503	13	6055
265	3	64	960	2230503	13	6151
266	3	65	975	2230503	13	6247
267	3	66	990	2230503	13	6343
268	3	67	1005	2230503	13	6439
269	3	68	1020	2230503	13	6535
270	3	69	1035	2230503	13	6631
271	3	70	1050	2230503	13	6727
272	3	71	1065	2230503	13	6823
273	3	72	1080	2230503	13	6919
274	3	73	1095	2230503	13	7016
275	3	74	1110	2230503	13	7112
276	3	75	1125	2230503	13	7208
277	3	76	1140	2230503	13	7304
278	3	77	1155	2230503	13	7400
279	3	78	1170	2230503	13	7496
280	3	79	1185	2230503	13	7592
281	3	80	1200	2230503	13	7688
282	3	81	1215	2230503	13	7784
283	3	82	1230	2230503	13	7881
284	3	83	1245	2230503	13	7977
285	3	84	1260	2230503	13	8073
286	3	85	1275	2230503	13	8169
287	3	86	1290	2230503	13	8265
288	3	87	1305	2230503	13	8361
289	3	88	1320	2230503	13	8457
290	3	89	1335	2230503	13	8553
291	3	90	1350	2230503	13	8649
292	3	91	1365	2230503	13	8745
293	3	92	1380	2230503	13	8842
294	3	93	1395	2230503	13	8938
295	3	94	1410	2230503	13	9034
296	3	95	1425	2230503	13	9130
297	3	96	1440	2230503	13	9226
298	3	97	1455	2230503	13	9322
299	3	98	1470	2230503	13	9418
300	3	99	1485	2230503	13	9514
301	4	0	0	2230504	8	0
302	4	1	15	2230504	8	101
303	4	2	30	2230504	8	202
304	4	3	45	2230504	8	303
305	4	4	60	2230504	8	404
306	4	5	75	2230504	8	505
307	4	6	90	2230504	8	606
308	4	7	105	2230504	8	707
309	4	8	120	2230504	8	808
310	4	9	135	2230504	8	909
311	4	10	150	2230504	8	1010
312	4	11	165	2230504	8	1111
313	4	12	180	2230504	8	1212
314	4	13	195	2230504	8	1313
315	4	14	210	2230504	8	1414
316	4	15	225	2230504	8	1515
317	4	16	240	2230504	8	1616
318	4	17	255	2230504	8	1717
319	4	18	270	2230504	8	1818
320	4	19	285	2230504	8	1919
321	4	20	300	2230504	8	2020
322	4	21	315	2230504	8	2121
323	4	22	330	2230504	8	2222
324	4	23	345	2230504	8	2323
325	4	24	360	2230504	8	2424
326	4	25	375	2230504	8	2525
327	4	26	390	2230504	8	2626
328	4	27	405	2230504	8	2727
329	4	28	420	2230504	8	2828
330	4	29	435	2230504	8	2929
331	4	30	450	2230504	8	3030
332	4	31	465	2230504	8	3131
333	4	32	480	2230504	8	3232
334	4	33	495	2230504	8	3333
335	4	34	510	2230504	8	3434
336	4	35	525	2230504	8	3535
337	4	36	540	2230504	8	3636
338	4	37	555	2230504	8	3737
339	4	38	570	2230504	8	3838
340	4	39	585	2230504	8	3939
341	4	40	600	2230504	8	4040
342	4	41	615	2230504	8	4141
343	4	42	630	2230504	8	4242
344	4	43	645	2230504	8	4343
345	4	44	660	2230504	8	4444
346	4	45	675	2230504	8	4545
347	4	46	690	2230504	8	4646
348	4	47	705	2230504	8	4747
349	4	48	720	2230504	8	4848
350	4	49	735	2230504	8	4949
351	4	50	750	2230504	8	5051
352	4	51	765	2230504	8	5152
353	4	52	780	2230504	8	5253
354	4	53	795	2230504	8	5354
355	4	54	810	2230504	8	5455
356	4	55	825	2230504	8	5556
357	4	56	840	2230504	8	5657
358	4	57	855	2230504	8	5758
359	4	58	870	2230504	8	5859
360	4	59	885	2230504	8	5960
361	4	60	900	2230504	8	6061
362	4	61	915	2230504	8	6162
363	4	62	930	2230504	8	6263
