Id	Name	Repeatable	Type	Quality	VisionId	UnlockConditionId	EffectGroupId	Description	WorldDesc	Icon
1	Replica: Glyph of Might Lv.1	0	1	3			40001	ATK <color=#dbb536>+10%</color>.	A broken emblem made in ancient style. Can slightly increase ATK.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip002.png
2	Replica: Glyph of Might Lv.2	0	1	4			40002	ATK <color=#dbb536>+20%</color>.	A small emblem made in ancient style. Can mildly increase ATK.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip002.png
3	Replica: Glyph of Might Lv.3	0	1	5		1006001	40003	ATK <color=#dbb536>+50%</color>.	A big emblem made in ancient style. Can significantly increase ATK.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip002.png
4	Replica: Glyph of Health Lv.1	0	1	3			40004	Max HP <color=#dbb536>+10%</color>.	A broken emblem made in ancient style. Can slightly increase HP.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip012.png
5	Replica: Glyph of Health Lv.2	0	1	4			40005	Max HP <color=#dbb536>+20%</color>.	A small emblem made in ancient style. Can mildly increase HP.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip012.png
6	Replica: Glyph of Recovery Lv.1	0	1	3			40006	Recovers <color=#dbb536>1%</color> of max HP per second.	A broken emblem made in ancient style. Can slightly restore HP over time.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip015.png
7	Replica: Glyph of Recovery Lv.2	0	1	4			40007	Recovers <color=#dbb536>2%</color> of max HP per second.	A small emblem made in ancient style. Can mildly restore HP over time.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip015.png
8	Replica: Glyph of Agility Lv.1	0	1	3			40008	Dodge Recovery Speed <color=#dbb536>+20%</color>.	A broken emblem made in ancient style. Can slightly increase Dodge Recovery Speed.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip019.png
9	Replica: Glyph of Agility Lv.2	0	1	4			40009	Dodge Recovery Speed <color=#dbb536>+40%</color>.	An emblem made in ancient style. Can mildly increase Dodge Recovery Speed.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip019.png
10	Replica: Glyph of Energy Lv.1	0	1	3			40010	Restores <color=#dbb536>1</color> Signature Energy every second.	A broken emblem made in ancient style. Can slightly restore Signature Energy over time.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip003.png
11	Replica: Glyph of Energy Lv.2	0	1	4			40011	Restores <color=#dbb536>2</color> Signature Energy every second.	A small emblem made in ancient style. Can mildly restore Signature Energy over time.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip003.png
12	Replica: Glyph of Energy Lv.3	0	1	5			40012	Restores <color=#dbb536>3</color> Signature Energy every second.	A big emblem made in ancient style. Can significantly restore Signature Energy over time.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip003.png
13	Replica: Glyph of Capacity Lv.1	0	1	3			40013	Max Signature Energy <color=#dbb536>+50</color>.	A broken emblem made in ancient style. Can slightly increase Max Signature Energy.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip018.png
14	Replica: Glyph of Capacity Lv.2	0	1	4			40014	Max Signature Energy <color=#dbb536>+100</color>.	A small emblem made in ancient style. Can mildly increase Max Signature Energy.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip018.png
15	Replica: Glyph of Capacity Lv.3	0	1	5			40015	Max Signature Energy <color=#dbb536>+200</color>.	A big emblem made in ancient style. Can significantly increase Max Signature Energy.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip018.png
16	Replica: Glyph of Breath Lv.1	0	1	3			40016	Obtains <color=#dbb536>1 set</color> of 3-Ping Orbs every <color=#dbb536>20</color>s.	A broken emblem made in ancient style. Can slowly grant 3-Ping Signal Orbs over time.	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip025.png
