Id	Name	ComboTypeId	IconPath	ConditionDescription	ActivationType
101	War Blade	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo11.png	War Blade	2
102	Matrix - Fire	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo12.png	Matrix - Fire	2
103	Matrix - Lightning	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo14.png	Matrix - Lightning	2
104	Matrix - Dark	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo15.png	Matrix - Dark	2
105	Matrix - Ice	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo13.png	Matrix - Ice	2
201	Gaze Realm	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo01.png	Gaze Realm	2
202	Pure Mercy	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo02.png	Pure Mercy	2
203	Extreme Calculation	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo03.png	Extreme Calculation	2
204	Fighter's Wings	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo04.png	Fighter's Wings	2
205	Little League	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo08.png	Little League	2
206	Hell Guards	2	Assets/Product/Texture/Image/UiFight/FightExpeditionskill11.png	Hell Guards	2
207	Sin Reverb	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo06.png	Sin Reverb	2
208	Final Judgement	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo07.png	Final Judgement	2
209	Phantom Capriccio	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo20.png	Phantom Capriccio	2
210	Creator-Destroyer	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo05.png	Creator-Destroyer	2
301	Overclock	3	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill01.png	Overclock	2
302	Escalation	3	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo19.png	Escalation	2
303	Oblivion	3	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill02.png	Oblivion	2
304	Elimination	3	Assets/Product/Texture/Image/UiFight/FightExpeditionskill01.png	Elimination	2
305	Divine Judgment	3	Assets/Product/Texture/Image/UiFight/FightExpeditionskill05.png	Divine Judgment	2
306	Fortress	3	Assets/Product/Texture/Image/UiFight/FightExpeditionskill12.png	Fortress	2
307	Sudden Rain	3	Assets/Product/Texture/Image/UiFight/FightExpeditionskill10.png	Sudden Rain	2
308	Cyclone	3	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill03.png	Cyclone	2
309	Outlier	3	Assets/Product/Texture/Image/UiFight/FightExpeditionskill04.png	Outlier	2
211	Yesterday's Egrets	2	Assets/Product/Texture/Image/UiBiancaTheatre/BailujibanIcon.png	Yesterday's Egrets	2
