Id	TriggerType	ComboType	Params[1]	Params[2]	Params[3]	Params[4]
1	2	1				
1011	1	1				
1021	1	1				
1031	1	1				
1041	1	1				
1051	1	1				
2011	1	1				
2021	1	1				
2031	1	1				
2041	1	1				
2051	1	1				
2061	1	1				
2071	1	1				
2081	1	1				
2091	1	7	1			
2092	1	7	2			
2093	1	7	3			
2094	1	7	4			
2095	1	7	5			
2096	1	6	1			
2097	1	6	2			
2098	1	6	3			
2099	1	6	4			
2100	1	6	5			
2101	1	1				
3011	1	1				
3021	1	3	1021003	1171003		
3022	1	1				
3031	1	1				
3032	1	4	303			
3041	1	1				
3051	1	1				
3061	1	1				
3071	1	1				
3081	1	1				
3091	1	1				
2111	1	1				
2121	1	1				
2131	2	4				
