Id	DiscountNum	DiscountRate	GroupId[1]	ConditionId[1]	GroupId[2]	ConditionId[2]	GroupId[3]	ConditionId[3]	GroupId[4]	ConditionId[4]	GroupId[5]	ConditionId[5]	GroupId[6]	ConditionId[6]	Desc	EndDesc	EndComfirmText	TitleContent	RoleIcon	RoleName	RoleContent	BgAsset
11	1	75	4	0	4	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory388.png
12	1	75	1	0	2	0	3	0	1	0	2	0	3	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory388.png
13	1	75	3	0	1	0	4	0	4	0	3	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory388.png
14	1	75	1	0	2	0	4	0	4	0	2	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory388.png
21	1	75	4	0	4	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory361.png
22	1	75	1	0	2	0	3	0	1	0	2	0	3	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory361.png
23	1	75	3	0	1	0	4	0	4	0	3	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory361.png
24	1	75	1	0	2	0	4	0	4	0	2	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory361.png
31	1	75	4	0	4	0	4	0	4	0	4	0	4	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
32	1	75	1	0	2	0	3	0	1	0	2	0	3	1004036	Use Tinbread Cookiess to purchase items for adventure	Having gotten your supplies, you say goodbye to Shark-speare and continue with your journey.	Continue Joruney	Shark-speare Sale	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	Shark-speare	W-Welcome to Shark-speare Sale... Give me Tinbread Cookies... Cookies!	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
