Id	TemplateId	Note	Difficulty	GoldId	ItemBoxId	RecruitTicketId
10011	1111	5000	1	15		
10012	1112	5000	1	16		
10021	1121	3750	1	15		
10022	1122	3750	1	16		
10023	1311	2500	1	15		
10031	1121	4500	1	16		
10032	1122	4500	1	16		
10033	1621	500	2	17	2	
10034	1622	500	2	18	2	
10041	1621	5000	2	17	2	
10042	1622	5000	2	18	2	
20011	2121	5000	1	15		
20012	2122	5000	1	16		
20021	2621	3000	2	17	2	
20022	2622	3000	2	18	2	
20023	2711	2000	2	17	2	
20024	2912	2000	2	18	2	
20031	2121	2700	1	15		
20032	2122	2700	1	16		
20033	2311	2700	1	15		
20034	2413	900	1	16		
20035	2621	250	2	17	2	
20036	2622	250	2	18	2	
20037	2711	300	2	17	2	
20038	2913	200	2	18	2	
20041	2121	2700	1	15		
20042	2122	2700	1	16		
20043	2311	2700	1	15		
20044	2414	900	1	16		
20045	2621	250	2	17	2	
20046	2622	250	2	18	2	
20047	2711	300	2	17	2	
20048	2914	200	2	18	2	
20051	2121	2700	1	15		
20052	2122	2700	1	16		
20053	2311	2700	1	15		
20054	2415	900	1	16		
20055	2621	250	2	17	2	
20056	2622	250	2	18	2	
20057	2711	300	2	17	2	
20058	2915	200	2	18	2	
30011	3121	1800	1	15		
30012	3122	1800	1	16		
30013	3123	1800	1	15		
30014	3311	2700	1	16		
30015	3411	900	1	16		
30016	3631	500	2	18	2	
30017	3711	300	2	17	2	
30018	3911	200	2	18	2	
30021	3121	1800	1	15		
30022	3122	1800	1	16		
30023	3123	1800	1	15		
30024	3311	2700	1	16		
30025	3412	900	1	16		
30026	3631	500	2	18	2	
30027	3711	300	2	17	2	
30028	3912	200	2	18	2	
30031	3121	1800	1	15		
30032	3122	1800	1	16		
30033	3123	1800	1	15		
30034	3311	2700	1	16		
30035	3413	900	1	16		
30036	3631	500	2	18	2	
30037	3711	300	2	17	2	
30038	3913	200	2	18	2	
30041	3121	1800	1	15		
30042	3122	1800	1	16		
30043	3123	1800	1	15		
30044	3311	2700	1	16		
30045	3414	900	1	16		
30046	3631	500	2	18	2	
30047	3711	300	2	17	2	
30048	3914	200	2	18	2	
30051	3131	2700	1	15		
30052	3132	2700	1	16		
30053	3312	2700	1	15		
30054	3415	900	1	16		
30055	3632	500	2	18	2	
30056	3711	300	2	17	2	
30057	3915	200	2	18	2	
30061	3131	2700	1	15		
30062	3132	2700	1	16		
30063	3312	2700	1	15		
30064	3416	900	1	16		
30065	3632	500	2	18	2	
30066	3711	300	2	17	2	
30067	3916	200	2	18	2	
30071	3131	2700	1	15		
30072	3132	2700	1	16		
30073	3312	2700	1	15		
30074	3417	900	1	16		
30075	3632	500	2	18	2	
30076	3711	300	2	17	2	
30077	3917	200	2	18	2	
30081	3001	10000	1	19	3	
40011	4121	2700	1	15		
40012	4122	2700	1	16		
40013	4311	2700	1	15		
40014	4411	900	1	16		
40015	4631	500	2	18	2	
40016	4711	300	2	17	2	
40017	4911	200	2	18	2	
40021	4121	2700	1	15		
40022	4122	2700	1	16		
40023	4311	2700	1	15		
40024	4412	900	1	16		
40025	4631	500	2	18	2	
40026	4711	300	2	17	2	
40027	4912	200	2	18	2	
40031	4121	2700	1	15		
40032	4122	2700	1	16		
40033	4311	2700	1	15		
40034	4413	900	1	16		
40035	4631	500	2	18	2	
40036	4711	300	2	17	2	
40037	4913	200	2	18	2	
40041	4121	2700	1	15		
40042	4122	2700	1	16		
40043	4311	2700	1	15		
40044	4414	900	1	16		
40045	4631	500	2	18	2	
40046	4711	300	2	17	2	
40047	4914	200	2	18	2	
40051	4131	5400	1	16		
40052	4311	2700	1	15		
40053	4415	900	1	16		
40054	4631	500	2	18	2	
40055	4711	300	2	17	2	
40056	4915	200	2	18	2	
40061	4131	5400	1	16		
40062	4311	2700	1	15		
40063	4416	900	1	16		
40064	4631	500	2	18	2	
40065	4711	300	2	17	2	
40066	4916	200	2	18	2	
50011	5131	2700	1	15		
50012	5132	2700	1	16		
50013	5311	2700	1	15		
50014	5411	900	1	16		
50015	5641	500	2	18	2	
50016	5711	300	2	18	2	
50017	5911	200	2	18	2	
50021	5131	2700	1	15		
50022	5132	2700	1	16		
50023	5311	2700	1	15		
50024	5412	900	1	16		
50025	5641	500	2	18	2	
50026	5711	300	2	17	2	
50027	5912	200	2	18	2	
50031	5141	2700	1	15		
50032	5142	2700	1	16		
50033	5312	2700	1	15		
50034	5413	900	1	16		
50035	5641	500	2	18	2	
50036	5711	300	2	17	2	
50037	5913	200	2	18	2	
50041	5141	2700	1	15		
50042	5142	2700	1	16		
50043	5312	2700	1	15		
50044	5414	900	1	16		
50045	5642	500	2	18	2	
50046	5711	300	2	17	2	
50047	5914	200	2	18	2	
