Id	GroupId	FightId	Weight	NodeRepeatable	GameRepeatable	ConditionId
1	1001	10011	5000	0	1	
2	1001	10012	5000	0	1	
3	1002	10021	3750	0	1	
4	1002	10022	3750	0	1	
5	1002	10023	2500	0	1	
6	1003	10031	4000	0	1	
7	1003	10032	4000	0	1	
8	1003	10033	1000	0	1	
9	1003	10034	1000	0	1	1005048
10	1004	10041	5000	0	1	
11	1004	10042	5000	0	1	1005048
12	2001	20011	5000	0	1	
13	2001	20012	5000	0	1	
14	2002	20021	3000	0	1	
15	2002	20022	3000	0	1	1005048
16	2002	20023	1000	0	1	
17	2002	20024	1000	0	1	1005048
18	2002	20025	1000	0	1	
19	2002	20026	1000	0	1	1005048
20	2003	20031	2400	0	1	
21	2003	20032	2400	0	1	
22	2003	20033	2400	0	1	
23	2003	20034	800	0	1	
24	2003	20035	500	0	1	
25	2003	20036	500	0	1	1005048
26	2003	20037	300	0	1	
27	2003	20038	300	0	1	1005048
28	2003	20039	200	0	1	
29	2003	20040	200	0	1	1005048
30	2004	20041	2400	0	1	
31	2004	20042	2400	0	1	
32	2004	20043	2400	0	1	
33	2004	20044	800	0	1	
34	2004	20045	500	0	1	
35	2004	20046	500	0	1	1005048
36	2004	20047	300	0	1	
37	2004	20048	300	0	1	1005048
38	2004	20049	200	0	1	
39	2004	20050	200	0	1	1005048
40	2005	20051	2400	0	1	
41	2005	20052	2400	0	1	
42	2005	20053	2400	0	1	
43	2005	20054	800	0	1	
44	2005	20055	500	0	1	
45	2005	20056	500	0	1	1005048
46	2005	20057	300	0	1	
47	2005	20058	300	0	1	1005048
48	2005	20059	200	0	1	
49	2005	20060	200	0	1	1005048
50	3001	30011	2400	0	1	
51	3001	30012	2400	0	1	
52	3001	30013	2400	0	1	
53	3001	30014	800	0	1	
54	3001	30015	500	0	1	
55	3001	30016	500	0	1	1005048
56	3001	30017	300	0	1	
57	3001	30018	300	0	1	1005048
58	3001	30019	200	0	1	
59	3001	30020	200	0	1	1005048
60	3002	30021	2400	0	1	
61	3002	30022	2400	0	1	
62	3002	30023	2400	0	1	
63	3002	30024	800	0	1	
64	3002	30025	500	0	1	
65	3002	30026	500	0	1	1005048
66	3002	30027	300	0	1	
67	3002	30028	300	0	1	1005048
68	3002	30029	200	0	1	
69	3002	30030	200	0	1	1005048
70	3003	30031	2400	0	1	
71	3003	30032	2400	0	1	
72	3003	30033	2400	0	1	
73	3003	30034	800	0	1	
74	3003	30035	500	0	1	
75	3003	30036	500	0	1	1005048
76	3003	30037	300	0	1	
77	3003	30038	300	0	1	1005048
78	3003	30039	200	0	1	
79	3003	30040	200	0	1	1005048
80	3004	30041	2400	0	1	
81	3004	30042	2400	0	1	
82	3004	30043	2400	0	1	
83	3004	30044	800	0	1	
84	3004	30045	500	0	1	
85	3004	30046	500	0	1	1005048
86	3004	30047	300	0	1	
87	3004	30048	300	0	1	1005048
88	3004	30049	200	0	1	
89	3004	30050	200	0	1	1005048
90	3005	30051	2400	0	1	
91	3005	30052	2400	0	1	
92	3005	30053	2400	0	1	
93	3005	30054	800	0	1	
94	3005	30055	500	0	1	
95	3005	30056	500	0	1	1005048
96	3005	30057	300	0	1	
97	3005	30058	300	0	1	1005048
98	3005	30059	200	0	1	
99	3005	30060	200	0	1	1005048
100	3006	30061	2400	0	1	
101	3006	30062	2400	0	1	
102	3006	30063	2400	0	1	
103	3006	30064	800	0	1	
104	3006	30065	500	0	1	
105	3006	30066	500	0	1	1005048
106	3006	30067	300	0	1	
107	3006	30068	300	0	1	1005048
108	3006	30069	200	0	1	
109	3006	30070	200	0	1	1005048
110	3007	30071	2400	0	1	
111	3007	30072	2400	0	1	
112	3007	30073	2400	0	1	
113	3007	30074	800	0	1	
114	3007	30075	500	0	1	
115	3007	30076	500	0	1	1005048
116	3007	30077	300	0	1	
117	3007	30078	300	0	1	1005048
118	3007	30079	200	0	1	
119	3007	30080	200	0	1	1005048
120	3008	30081	10000	0	1	
121	4001	40011	2400	0	1	
122	4001	40012	2400	0	1	
123	4001	40013	2400	0	1	
124	4001	40014	800	0	1	
125	4001	40015	500	0	1	
126	4001	40016	500	0	1	1005048
127	4001	40017	300	0	1	
128	4001	40018	300	0	1	1005048
129	4001	40019	200	0	1	
130	4001	40020	200	0	1	1005048
131	4002	40021	2400	0	1	
132	4002	40022	2400	0	1	
133	4002	40023	2400	0	1	
134	4002	40024	800	0	1	
135	4002	40025	500	0	1	
136	4002	40026	500	0	1	1005048
137	4002	40027	300	0	1	
138	4002	40028	300	0	1	1005048
139	4002	40029	200	0	1	
140	4002	40030	200	0	1	1005048
141	4003	40031	2400	0	1	
142	4003	40032	2400	0	1	
143	4003	40033	2400	0	1	
144	4003	40034	800	0	1	
145	4003	40035	500	0	1	
146	4003	40036	500	0	1	1005048
147	4003	40037	300	0	1	
148	4003	40038	300	0	1	1005048
149	4003	40039	200	0	1	
150	4003	40040	200	0	1	1005048
151	4004	40041	2400	0	1	
152	4004	40042	2400	0	1	
153	4004	40043	2400	0	1	
154	4004	40044	800	0	1	
155	4004	40045	500	0	1	
156	4004	40046	500	0	1	1005048
157	4004	40047	300	0	1	
158	4004	40048	300	0	1	1005048
159	4004	40049	200	0	1	
160	4004	40050	200	0	1	1005048
161	4005	40051	4800	0	1	
162	4005	40052	2400	0	1	
163	4005	40053	800	0	1	
164	4005	40054	500	0	1	
165	4005	40055	500	0	1	1005048
166	4005	40056	300	0	1	
167	4005	40057	300	0	1	1005048
168	4005	40058	200	0	1	
169	4005	40059	200	0	1	1005048
170	4006	40061	4800	0	1	
171	4006	40062	2400	0	1	
172	4006	40063	800	0	1	
173	4006	40064	500	0	1	
174	4006	40065	500	0	1	1005048
175	4006	40066	300	0	1	
176	4006	40067	300	0	1	1005048
177	4006	40068	200	0	1	
178	4006	40069	200	0	1	1005048
179	5001	50011	2400	0	1	
180	5001	50012	2400	0	1	
181	5001	50013	2400	0	1	
182	5001	50014	800	0	1	
183	5001	50015	500	0	1	
184	5001	50016	500	0	1	1005048
185	5001	50017	300	0	1	
186	5001	50018	300	0	1	1005048
187	5001	50019	200	0	1	
188	5001	50020	200	0	1	1005048
189	5002	50021	2400	0	1	
190	5002	50022	2400	0	1	
191	5002	50023	2400	0	1	
192	5002	50024	800	0	1	
193	5002	50025	500	0	1	
194	5002	50026	500	0	1	1005048
195	5002	50027	300	0	1	
196	5002	50028	300	0	1	1005048
197	5002	50029	200	0	1	
198	5002	50030	200	0	1	1005048
199	5003	50031	2400	0	1	
200	5003	50032	2400	0	1	
201	5003	50033	2400	0	1	
202	5003	50034	800	0	1	
203	5003	50035	500	0	1	
204	5003	50036	500	0	1	1005048
205	5003	50037	300	0	1	
206	5003	50038	300	0	1	1005048
207	5003	50039	200	0	1	
208	5003	50040	200	0	1	1005048
209	5004	50041	2400	0	1	
210	5004	50042	2400	0	1	
211	5004	50043	2400	0	1	
212	5004	50044	800	0	1	
213	5004	50045	500	0	1	
214	5004	50046	500	0	1	1005048
215	5004	50047	300	0	1	
216	5004	50048	300	0	1	1005048
217	5004	50049	200	0	1	
218	5004	50050	200	0	1	1005048
219	5005	50051	2400	0	1	
220	5005	50052	2400	0	1	
221	5005	50053	2400	0	1	
222	5005	50054	800	0	1	
223	5005	50055	500	0	1	
224	5005	50056	500	0	1	1005048
225	5005	50057	300	0	1	
226	5005	50058	300	0	1	1005048
227	5005	50059	200	0	1	
228	5005	50060	200	0	1	1005048
229	5006	50061	2400	0	1	
230	5006	50062	2400	0	1	
231	5006	50063	2400	0	1	
232	5006	50064	800	0	1	
233	5006	50065	500	0	1	
234	5006	50066	500	0	1	1005048
235	5006	50067	300	0	1	
236	5006	50068	300	0	1	1005048
237	5006	50069	200	0	1	
238	5006	50070	200	0	1	1005048
239	5007	50071	10000	0	1	
240	6001	60011	5000	0	1	
241	6001	60012	5000	0	1	
242	6002	60021	5000	0	1	
243	6002	60022	5000	0	1	
244	6003	60031	10000	0	1	
245	1101	11011	5000	0	1	
246	1101	11012	5000	0	1	
247	1102	11021	3750	0	1	
248	1102	11022	3750	0	1	
249	1102	11023	2500	0	1	
