Id	Name	ChildComboId	EffectDescription	ConditionDesc	ConditionLevel	ConditionNum	Quality	EffectId[1]	EffectId[2]	EffectId[3]	EffectId[4]	EffectId[5]	EffectId[6]	EffectId[7]	EffectId[8]	EffectId[9]	EffectId[10]	EffectId[11]	EffectValid[1]	EffectValid[2]	EffectValid[3]	EffectValid[4]	EffectValid[5]	EffectValid[6]	EffectValid[7]	EffectValid[8]	EffectValid[9]	EffectValid[10]	EffectValid[11]	EffectTarget[1]	EffectTarget[2]	EffectTarget[3]	EffectTarget[4]	EffectTarget[5]	EffectTarget[6]	EffectTarget[7]	EffectTarget[8]	EffectTarget[9]	EffectTarget[10]	EffectTarget[11]
1011	Matrix - War Blade - Phase 1	101	Upon dealing Physical DMG, reduces the enemy's DEF by <color=#dbb536>100%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.	Total Stars of War Blade members reach <color=#dbb536>2★</color>	2	1	3	10011											1011											1										
1012	Matrix - War Blade - Phase 2	101	Upon dealing DMG, reduces the enemy's Extra DMG Reduction by <color=#dbb536>50%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of War Blade members reach <color=#dbb536>4★</color>	4	1	4	10011	10012										1011	1011										1	1									
1013	Matrix - War Blade - Phase 3	101	Upon entering battle, CRIT Rate and CRIT DMG permanently increase by <color=#dbb536>40%</color> and <color=#dbb536>100%</color> respectively.\nAll <color=#dbb536>Phase 2</color> Bond effects will be inherited.	Total Stars of War Blade members reach <color=#dbb536>6★</color>	6	1	5	10011	10012	10013									1011	1011	1011									1	1	1								
1014	Matrix - War Blade - Phase 4	101	Upon entering battle, inflicts the <color=#dbb536>Frail</color> effect on all enemies, which will make them receive <color=#dbb536>30%</color> more Physical DMG.\nAll <color=#dbb536>Lv.3</color> Bond effects will be inherited.	Total Stars of War Blade members reach <color=#dbb536>8★</color>	8	1	6	10011	10012	10013	10014								1011	1011	1011	1011								1	1	1	1							
1021	Matrix - Fire - Phase 1	102	Fire Extra DMG Bonus increases by <color=#dbb536>50%</color>. Does not stack with other Bonds.	Total Stars of Matrix - Fire members reach <color=#dbb536>2★</color>	2	1	3	10021											1021											1										
1022	Matrix - Fire - Phase 2	102	Upon dealing DMG, reduces the enemy's Extra DMG Reduction by <color=#dbb536>50%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of Matrix - Fire members reach <color=#dbb536>4★</color>	4	1	4	10021	10022										1021	1021										1	1									
1023	Matrix - Fire - Phase 3	102	Upon dealing DMG, reduces the enemy's Fire Resistance by <color=#dbb536>70%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.\nAll <color=#dbb536>Phase 2</color> Bond effects will be inherited.	Total Stars of Matrix - Fire members reach <color=#dbb536>6★</color>	6	1	5	10021	10022	10023									1021	1021	1021									1	1	1								
1024	Matrix - Fire - Phase 4	102	Upon entering battle, inflicts the <color=#dbb536>Combustible</color> effect on all enemies, which will make them receive <color=#dbb536>30%</color> more Fire DMG.\nAll <color=#dbb536>Lv.3</color> Bond effects will be inherited.	Total Stars of Matrix - Fire members reach <color=#dbb536>8★</color>	8	1	6	10021	10022	10023	10024								1021	1021	1021	1021								1	1	1	1							
1031	Matrix - Lightning - Phase 1	103	Lightning Extra DMG Bonus increases by <color=#dbb536>50%</color>. Does not stack with other Bonds.	Total Stars of Matrix - Lightning members reach <color=#dbb536>2★</color>	2	1	3	10031											1031											1										
1032	Matrix - Lightning - Phase 2	103	Upon dealing DMG, reduces the enemy's Extra DMG Reduction by <color=#dbb536>50%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of Matrix - Lightning members reach <color=#dbb536>4★</color>	4	1	4	10031	10032										1031	1031										1	1									
1033	Matrix - Lightning - Phase 3	103	Upon dealing DMG, reduces the enemy's Lightning Resistance by <color=#dbb536>70%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.\nAll <color=#dbb536>Phase 2</color> Bond effects will be inherited.	Total Stars of Matrix - Lightning members reach <color=#dbb536>6★</color>	6	1	5	10031	10032	10033									1031	1031	1031									1	1	1								
1034	Matrix - Lightning - Phase 4	103	Upon entering battle, inflicts the <color=#dbb536>Electrode</color> effect on all enemies, which will make them receive <color=#dbb536>30%</color> more Lightning DMG.\nAll <color=#dbb536>Lv.3</color> Bond effects will be inherited.	Total Stars of Matrix - Lightning members reach <color=#dbb536>8★</color>	8	1	6	10031	10032	10033	10034								1031	1031	1031	1031								1	1	1	1							
1041	Matrix - Dark - Phase 1	104	Dark Extra DMG Bonus increases by <color=#dbb536>50%</color>. Does not stack with other Bonds.	Total Stars of Matrix - Dark members reach <color=#dbb536>2★</color>	2	1	3	10041											1041											1										
1042	Matrix - Dark - Phase 2	104	Upon dealing DMG, reduces the enemy's Extra DMG Reduction by <color=#dbb536>50%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of Matrix - Dark members reach <color=#dbb536>4★</color>	4	1	4	10041	10042										1041	1041										1	1									
1043	Matrix - Dark - Phase 3	104	Upon dealing DMG, reduces the enemy's Dark Resistance by <color=#dbb536>70%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.\nAll <color=#dbb536>Phase 2</color> Bond effects will be inherited.	Total Stars of Matrix - Dark members reach <color=#dbb536>6★</color>	6	1	5	10041	10042	10043									1041	1041	1041									1	1	1								
1044	Matrix - Dark - Phase 4	104	Upon entering battle, inflicts the <color=#dbb536>Corrosion</color> effect on all enemies, which will make them receive <color=#dbb536>30%</color> more Dark DMG.\nAll <color=#dbb536>Lv.3</color> Bond effects will be inherited.	Total Stars of Matrix - Dark members reach <color=#dbb536>8★</color>	8	1	6	10041	10042	10043	10044								1041	1041	1041	1041								1	1	1	1							
1051	Matrix - Ice - Phase 1	105	Ice Extra DMG Bonus increases by <color=#dbb536>50%</color>. Does not stack with other Bonds.	Total Stars of Matrix - Ice members reach <color=#dbb536>2★</color>	2	1	3	10051											1051											1										
1052	Matrix - Ice - Phase 2	105	Upon dealing DMG, reduces the enemy's Extra DMG Reduction by <color=#dbb536>50%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of Matrix - Ice members reach <color=#dbb536>4★</color>	4	1	4	10051	10052										1051	1051										1	1									
1053	Matrix - Ice - Phase 3	105	Upon dealing DMG, reduces the enemy's Ice Resistance by <color=#dbb536>70%</color> for <color=#dbb536>15</color>s. Triggering this effect again will renew its duration. It does not stack with other Bonds.\nAll <color=#dbb536>Phase 2</color> Bond effects will be inherited.	Total Stars of Matrix - Ice members reach <color=#dbb536>6★</color>	6	1	5	10051	10052	10053									1051	1051	1051									1	1	1								
1054	Matrix - Ice - Phase 4	105	Upon entering battle, inflicts the <color=#dbb536>Frost</color> effect on all enemies, which will make them receive <color=#dbb536>30%</color> more Ice DMG.\nAll <color=#dbb536>Lv.3</color> Bond effects will be inherited.	Total Stars of Matrix - Ice members reach <color=#dbb536>8★</color>	8	1	6	10051	10052	10053	10054								1051	1051	1051	1051								1	1	1	1							
2011	Gaze Realm - Phase 1	201	In Matrix, all characters have <color=#dbb536>50%</color> more Extra DMG Bonus for <color=#dbb536>3s</color>.	Total Stars of Gaze Realm members reach <color=#dbb536>2★</color>	2	1	3	20011											2011											1										
2012	Gaze Realm - Phase 2	201	Reduces Matrix cooldown by <color=#dbb536>50%</color>.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of Gaze Realm members reach <color=#dbb536>4★</color>	4	1	4	20011	20012										2011	2011										1	1									
2021	Pure Mercy - Phase 1	202	All characters' overflow healing will be converted into DMG equal to <color=#dbb536>1000%</color> of the healing value. The damage area is within <color=#dbb536>12m</color>.	Total Stars of Pure Mercy members reach <color=#dbb536>2★</color>	2	1	3	20021											2021											1										
2022	Pure Mercy - Phase 2	202	All healing and HP recovery effects increase by <color=#dbb536>100%</color> and will not be affected by the healing decrease.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of Pure Mercy members reach <color=#dbb536>4★</color>	4	1	4	20021	20022										2021	2021										1	1									
2023	Pure Mercy - Phase 3	202	All characters (<color=#dbb536>including standby characters</color>) restore <color=#dbb536>10%</color> max HP every second and standby characters' overflow healing will be applied to the character in use.\nAll <color=#dbb536>Phase 2</color> Bond effects will be inherited.	Total Stars of Pure Mercy members reach <color=#dbb536>6★</color>	6	1	5	20021	20022	20023									2021	2021	2021									1	1	1								
2031	Extreme Calculation - Phase 1	203	All characters will deal <color=#dbb536>2,000</color> Extra DMG every time they deal DMG. This will not be triggered repeatedly.	Total Stars of Extreme Calculation members reach <color=#dbb536>2★</color>	2	1	3	20031											2031											1										
2032	Extreme Calculation - Phase 2	203	All characters will deal Extra DMG equal to <color=#dbb536>number of combos ×100</color>. This will not be triggered repeatedly.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of Extreme Calculation members reach <color=#dbb536>4★</color>	4	1	4	20031	20032										2031	2031										1	1									
2041	Fighter's Wings - Phase 1	204	All characters have <color=#dbb536>50%</color> more max HP. Upon dealing DMG to the <color=#dbb536>shield</color>, deal the same amount of True DMG.	Total Stars of Fighter's Wings members reach <color=#dbb536>2★</color>	2	1	3	20041											2041											1										
2042	Fighter's Wings - Phase 2	204	All characters gain <color=#dbb536>Super Armor</color> and will not receive DMG beyond <color=#dbb536>20%</color> of their max HP from a single attack.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of Fighter's Wings members reach <color=#dbb536>4★</color>	4	1	4	20041	20042										2041	2041										1	1									
2043	Fighter's Wings - Phase 3	204	Every time when receiving DMG, all characters will deal DMG equal to <color=#dbb536>15×</color> max HP to enemies within <color=#dbb536>12m</color>.\nAll <color=#dbb536>Phase 2</color> Bond effects will be inherited.	Total Stars of Fighter's Wings members reach <color=#dbb536>6★</color>	6	1	5	20041	20042	20043									2041	2041	2041									1	1	1								
2051	Little League - Phase 1	205	Upon entering battle, summons Polar Bear <color=#dbb536>Martin</color> with a random one of the following effects:\n<color=#dbb536>Martin</color> deals DMG equal to <color=#dbb536>5%</color> max HP every <color=#dbb536>10s</color> to all enemies.\n<color=#dbb536>Martin</color> summons a black hole to pull all enemies and reduce all their Elemental Resistance by <color=#dbb536>20%</color> every <color=#dbb536>10s</color> for <color=#dbb536>5s</color>.	Total Stars of Little League members reach <color=#dbb536>2★</color>	2	1	3	20052											2051											1										
2052	Little League - Phase 2	205	Upon entering battle, a random one of the following effects will be granted:\nRestores <color=#dbb536>1 Signature Energy</color> every second for each <color=#dbb536>5 Tinbread Cookies</color>.\nAll members have <color=#dbb536>5%</color> Extra DMG Bonus for each <color=#dbb536>5 Tinbread Cookies</color>.\nAll <color=#dbb536>Phase 1</color> Bond effects will be inherited.	Total Stars of Little League members reach <color=#dbb536>4★</color>	4	1	4	20052	20051										2051	2051										1	1									
