Id	MonsterIds[1]	MonsterIds[2]	MonsterIds[3]	MonsterIds[4]	MonsterIds[5]	MonsterIds[6]
111111	1101	1101	1101			
111121	1102	1102	1102			
111131	1101	1102	1101			
111211	1103	1103	1104			
111221	1104	1105	1105			
111231	1101	1101	1104			
112111	1106	1106				
112112	1108	1108				
112121	1110	1110				
112122	1107	1107	1107			
112131	1107	1107	1107			
112132	1111	1111				
112211	1112	1112				
112212	1115	1115				
112221	1113	1113				
112222	1114	1114	1114			
112231	1106	1107	1107			
112232	1104	1111	1111			
131111	1301	1301	1301	1302	1302	1302
131121	1304	1304	1304	1303	1303	1303
131131	1305	1305	1305	1306	1306	1306
162111	1608	1607	1608			
162112	1601	1601	1603			
162121	1608	1608	1608			
162122	1607	1607				
162131	1604	1604				
162132	1605	1605	1605			
162211	1606	1602				
162212	1608	1607	1607			
162221	1601	1601	1606			
162222	1603	1603	1604			
162231	1604	1608	1609			
162232	1609					
212111	2102	2102	2103			
212112	2104	2104	2104			
212121	2106	2106	2105			
212122	2107	2107	2103	2103		
212131	2113	2113	2113	2113		
212132	2105	2105	2105			
212141	2104	2104	2107	2107		
212142	2112	2112	2113	2113		
212211	2108	2108	2108			
212212	2101	2104	2104			
212221	2113	2113	2104			
212222	2102	2102	2103	2103		
212231	2109	2109				
212232	2105	2105	2106			
212241	2110	2110	2110	2111		
212242	2112	2112	2112	2111		
212251	2107	2102	2107	2102	2107	
212252	2101	2101				
231111	2301	2301	2301	2302	2302	2302
231121	2303	2303	2303	2304	2304	2304
231131	2305	2305	2305	2308	2308	2308
231141	2306	2306	2307	2307	2307	2306
231151	2307	2303	2307	2301	2303	2301
241111	2403					
241121	2404					
262111	2603	2611	2603			
262112	2613					
262121	2601	2607	2607			
262122	2608	2608	2611	2611		
262211	2612	2603	2612	2603		
262212	2614					
262221	2602	2602	2604	2604		
262222	2612	2612				
262231	2609	2609	2609	2610	2610	
262232	2606	2606	2603	2603		
271111	2701	2702				
291111	2904					
291121	2903					
312111	3101	3101	3102			
312112	3104	3103	3103			
312121	3108	3107	3107			
312122	3105	3105	3106	3106		
312131	3116	3116	3116			
312132	3111	3111	3111	3109	3109	
312211	3111	3111	3110	3110		
312212	3109	3109	3109			
312221	3116	3116	3117	3117		
312222	3114	3114	3114			
312231	3118	3118	3118	3118		
312232	3112	3112	3112	3112	3112	
312311	3113	3113	3113	3114	3114	
312312	3119	3118	3118			
312321	3104	3104	3104	3104	3104	
312322	3104	3104	3105	3105		
312331	3116	3116	3116	3117	3117	
312332	3111	3111	3111	3110	3110	
313111	3103	3103				
313112	3106	3106				
313113	3119	3118	3118			
313121	3107	3108				
313122	3114	3113	3113			
313123	3114	3114				
313131	3101	3101	3101			
313132	3102	3102				
313133	3112	3112				
313211	3105	3105	3105			
313212	3104	3104				
313213	3103	3103	3103			
313221	3108	3108				
313222	3107	3107	3107			
313223	3106	3106	3106			
313231	3109	3109	3109			
313232	3110	3110	3110			
313233	3117	3117				
313241	3116	3116	3116			
313242	3117	3117	3117			
313243	3115	3115	3115			
331111	3307	3307	3307	3307	3307	3307
331121	3302	3302	3302	3302	3302	3302
331131	3308	3308	3309	3308	3308	3309
331141	3302	3303	3304	3302	3303	3304
331211	3301	3305	3306	3301	3305	3306
331221	3307	3307	3306	3307	3307	3306
331231	3301	3302	3303	3301	3302	3303
331241	3307	3308	3309	3307	3308	3309
341111	3401					
341121	3403					
341131	3404					
363111	3612	3611	3611			
363112	3609	3609	3609			
363113	3602	3602	3602			
363121	3601	3601	3601			
363122	3604	3604	3604			
363123	3608	3608	3608			
363211	3611	3611	3611	3611		
363212	3603	3603	3603			
363213	3605	3605	3605			
363221	3606	3606	3606	3606		
363222	3607	3607	3607			
363223	3610	3610	3610			
363231	3611	3611	3611	3611		
363232	3612	3612	3612	3612		
363233	3613	3613				
371111	3703	3703	3704			
371121	3705	3705	3701			
391111	3903					
391121	3905					
412111	4102	4102	4103	4103		
412112	4101	4101	4101	4101	4101	
412121	4105	4105	4106	4106	4106	
412122	4107	4107	4107	4107		
412131	4108	4108	4108	4108	4108	
412132	4109	4109	4109	4109	4109	
412211	4104	4101	4101			
412212	4104	4104	4102	4102	4102	
412221	4104	4104	4103	4103	4103	
412222	4108	4109	4109			
412231	4108	4108	4107	4107		
412232	4108	4108	4105	4105		
412241	4104	4104	4104			
412242	4108	4108	4108			
413111	4105	4105	4105			
413112	4108	4108	4108	4108		
413113	4109	4109	4109	4109		
413121	4101	4101	4101	4101		
413122	4102	4102	4102			
413123	4103	4103	4103			
413131	4104	4104	4104			
413132	4107	4107	4107	4107		
413133	4106	4106	4106	4106	4106	
413141	4104	4102	4102	4102		
413142	4104	4103	4103	4103	4103	
413143	4104	4104	4104			
431111	4301	4302	4303	4301	4302	4303
431121	4304	4305	4306	4304	4305	4306
431131	4301	4301	4301	4301	4301	4301
431141	4304	4304	4304	4304	4304	4304
431151	4301	4301	4303	4303	4305	4305
441111	4401					
441121	4402					
463111	4601	4601	4601	4601		
463112	4601	4601	4602	4602		
463113	4602	4602	4602			
463121	4603	4603	4603			
463122	4603	4604	4604			
463123	4604	4604	4604			
463131	4607	4607	4607	4607	4607	
463132	4606	4606	4605	4605		
463133	4606	4606	4606			
471111	4701	4701				
471121	4702	4702				
491111	4902					
513111	5102	5102	5102			
513112	5102	5103	5103			
513113	5103	5103	5103	5103	5103	
513121	5105	5105	5105	5105		
513122	5106	5106	5106	5106		
513123	5107	5107	5107	5107		
513131	5108	5108	5108			
513132	5109	5108	5108			
513133	5109	5109	5109			
513211	5110	5113	5113			
513212	5111	5113	5113			
513213	5112	5113	5113			
513221	5101	5101	5101			
513222	5101	5114	5114			
513223	5114	5114	5114			
513231	5105	5105	5105	5105	5105	
513232	5105	5105	5107	5107	5107	
513233	5107	5107	5107	5107	5107	
514111	5101	5102	5102			
514112	5101	5105	5105			
514113	5101	5104	5104			
514114	5101	5102	5105	5104		
514121	5110	5113	5113			
514122	5111	5113	5113			
514123	5112	5113	5113			
514124	5113	5113	5113			
514131	5109	5103	5103	5103	5103	
514132	5109	5107	5107	5107		
514133	5109	5106	5106			
514134	5109	5107	5106	5103		
514211	5101	5101				
514212	5101	5105	5105			
514213	5101	5114	5114			
514214	5114	5105	5105	5101		
514221	5108	5108	5108	5108		
514222	5104	5104	5104	5104		
514223	5114	5108	5108	5108		
514224	5114	5104	5104	5104		
514231	5101	5108	5109			
514232	5101	5101	5101			
514233	5108	5108	5108	5108	5108	
514234	5109	5109	5109	5109		
514311	5104	5104	5104	5104	5104	
514312	5102	5102	5102	5102	5102	
514313	5103	5103	5103			
514314	5104	5102	5103			
514321	5110	5110				
514322	5111	5111				
514323	5112	5112				
514324	5110	5111	5112			
514331	5105	5105	5105	5105		
514332	5106	5106	5106	5106		
514333	5107	5107	5107	5107		
514334	5114	5114	5114			
514411	5121	5108	5108			
514412	5121	5108	5108			
514413	5121	5108	5108			
