Id	FightEvents[1]	FightEvents[2]	FightEvents[3]	SystemEvents[1]	SystemEvents[2]	SystemEvents[3]	SystemEvents[4]	SystemEvents[5]	SystemEvents[6]	SystemEvents[7]
10011	2250001									
10012	2250002									
10013	2250003									
10014	2250004									
10021	2250005									
10022	2250006									
10023	2250007									
10024	2250008									
10031	2250009									
10032	2250010									
10033	2250011									
10034	2250012									
10041	2250013									
10042	2250014									
10043	2250015									
10044	2250016									
10051	2250017									
10052	2250018									
10053	2250019									
10054	2250020									
20011	2250031									
20012	2250032									
20021	2250033									
20022	2250034									
20023	2250035									
20031	2250036									
20032	2250037									
20041	2250038									
20042	2250039									
20043	2250040									
20051	2250041									
20052	2250042									
20053	2250043									
20061	2250044									
20062	2250045									
20071	2250046									
20072	2250047									
20081	2250048									
20082	2250049									
20083	2250050									
20091	2250051									
20092	2250051									
20093	2250051									
20094	2250051									
20095	2250051									
20096	2250052									
20097	2250052									
20098	2250052									
20099	2250052									
20100	2250052									
20101	2250053									
20102	2250054									
20103	2250055									
20104	2250710									
30011	2250056									
30012	2250057									
30013	2250058									
30021	2250059									
30022	2250060									
30023	2250061									
30031	2250062									
30032	2250063									
30033	2250064									
30041	2250065									
30042	2250066									
30043	2250067									
30051	2250068									
30052	2250069									
30053	2250070									
30061	2250071									
30062	2250072									
30063	2250073									
30071	2250074									
30072	2250075									
30073	2250076									
30081	2250077									
30082	2250078									
30083	2250079									
30091	2250080									
30092	2250081									
30093	2250082									
30094	2250083									
40001	2250101									
40002	2250102									
40003	2250103									
40004	2250104									
40005	2250105									
40006	2250107									
40007	2250108									
40008	2250110									
40009	2250111									
40010	2250113									
40011	2250114									
40012	2250115									
40013	2250116									
40014	2250117									
40015	2250118									
40016	2250119									
40017	2250120									
40018	2250121									
40019	2250122									
40020	2250123									
40021	2250124									
40022	2250125									
40023	2250126									
40024	2250127									
40025	2250128									
40026	2250129									
40027	2250130									
40028	2250131									
40029	2250132									
40030	2250133									
40031	2250136									
40032	2250137									
40033	2250134									
40034	2250135									
40035	2250138									
40036	2250175									
40037	2250139									
40038	2250140									
40039	2250141									
40040	2250142									
40041	2250143									
40042	2250144									
40043	2250145									
40044	2250146									
40045	2250147									
40046	2250148									
40047	2250149									
40048	2250150									
40049	2250151									
40050	2250152									
40051	2250153									
40052	2250154									
40053	2250155									
40054	2250156									
40055	2250157									
40056	2250158									
40057	2250159									
40058	2250160									
40059	2250161									
40060				101						
40061				102						
40062				103						
40063				104						
40064				105						
40065				106						
40066				107						
40067				108						
40068				109						
40069				110						
40070				111						
40071				112						
40072				113						
40073				114						
40074				115						
40075	2250169									
40076	2250162									
40077	2250170									
40078	2250172									
40079	2250176									
40080	2250177									
40081	2250178									
40082	2250179									
40083	2250163									
40084	2250164									
40085	2250165									
40086	2250166									
40087	2250167									
40088	2250168									
40089	2250180									
40090				116						
40091				117	118					
40092	2250181			143						
40093										
40094	2250201									
40095	2250202									
40096	2250203									
40097	2250204									
40098	2250205									
40099	2250207									
40100	2250206									
40101	2250208									
40102	2250209									
40103	2250210									
40104	2250211									
40105	2250212									
40106	2250213									
40107	2250214									
40108	2250215									
40109	2250216									
40110	2250217									
40111	2250218									
40112	2250219									
40113	2250220									
40114	2250221									
40115	2250222									
50001	2250301									
50002	2250303									
50003	2250302									
50004				122						
50005				121						
50006				120						
50007				119						
50008										
50009	2250304									
50010	2250306									
50011	2250305									
50012				126						
50013				125						
50014				124						
50015				123						
50016										
50017	2250307									
50018	2250309									
50019	2250308									
50020				130						
50021				129						
50022				128						
50023				127						
50024										
51001	2250301									
51002	2250302									
51003	2250303									
51004										
51005	2250310									
51011	2250304									
51012	2250305									
51013	2250306									
51014	2250311									
51021	2250307									
51022	2250308									
51023	2250309									
51024	2250313									
51025	2250312									
60001	2250401									
60002	2250402									
60003	2250403									
70001	2250404			141	142					
70002				131	132	141	142			
70003				133	134	141	142			
70004				135	136	137	138	139	141	142
70005	2250601			141	142					
70006				140	141	142				
20111	2250084									
20112	2250085									
20121	2250086									
20122	2250087									
