Id	CharacterId	Career	ReferenceComboId[1]	ReferenceComboId[2]	ReferenceComboId[3]	ReferenceComboId[4]	ReferenceComboId[5]	Name
1	1011002	1	102	203				Lee: Palefire
2	1021001	1	101	201				Lucia: Lotus
3	1031001	3	101	202				Liv: Eclipse
4	1041002	1	101	208				Bianca: Zero
5	1051001	2	101	205				Nanami: Storm
6	1061002	2	101	204				Kamui: Bastion
7	1071002	1	101	210				Karenina: Blast
8	1081002	1	101	207				Watanabe: Nightblade
9	1021002	1	103	201				Lucia: Dawn
10	1031002	3	103	202	211			Liv: Lux
11	1011003	1	101	203	304			Lee: Entropy
12	1031003	3	101	202	305			Liv: Luminance
13	1061003	2	104	204	304			Kamui: Tenebrion
14	1071003	1	102	210	304			Karenina: Ember
15	1051003	2	102	205	301			Nanami: Pulse
16	1021003	1	101		302			Lucia: Crimson Abyss
17	1081003	1	104	207				Watanabe: Astral
18	1091002	2	101	209				Ayla: Brilliance
19	1041003	1	103	208	307			Bianca: Veritas
20	1111002	3	102	205				Sophia: Silverfang
21	1121002	2	103	204				Chrome: Arclight
22	1021004	1	105	201	308			Lucia: Plume
23	1131002	3	104	206				Vera: Rozen
24	1511003	4	104		309			Camu: Crocotta
25	1141003	2	101	207	305			Rosetta: Rigor
26	1521003	4	101		309			Qu: Pavo
27	1161002	2	105	205				Changyu: Qilin
28	1171003	1	104		302			Luna: Laurel
29	1211002	3	105	204				Wanshi: Hypnos
30	1531003	4	103		309			Selena: Tempest
31	1121003	2	105	204	306			Chrome: Glory
32	1221002	2	104	206				No. 21: XXI
33	1131003	2	103	206	301			Vera: Garnet
34	1541003	4	102		309			Roland: Flambeau
35	1031004	5	102	202	303			Liv: Empyrea
36	1531004	5	104	209	303			Selena: Capriccio
37	1551003	4	101		309			Pulao: Dragontoll
38	1051004	2	102	205	306			Nanami: Starfarer
39	1561003	4	105		309			Haicma: Starveil
40	1071004	2	104	210	307			Karenina: Scire
41	1571003	4	103		309			Noan: Arca
42	1041004	1	101	208	308			Bianca: Stigmata
43	1231002	1	105	211				Bambinata: Vitrum
