Id	GroupId	ItemId	Weight
1	1	1	600
2	1	4	600
3	1	6	600
4	1	8	600
5	1	10	600
6	1	13	600
7	1	16	600
8	1	18	600
9	1	20	600
10	1	23	600
11	1	26	600
12	1	29	600
13	1	37	600
14	1	52	600
15	1	54	600
16	1	57	600
17	1	60	200
18	1	63	200
19	1	68	600
20	1	2	17
21	1	5	17
22	1	7	17
23	1	9	17
24	1	11	17
25	1	14	17
26	1	17	17
27	1	19	17
28	1	21	17
29	1	24	17
30	1	27	17
31	1	30	17
32	1	31	17
33	1	33	17
34	1	35	17
35	1	38	17
36	1	40	17
37	1	42	17
38	1	44	17
39	1	46	17
40	1	48	17
41	1	50	17
42	1	53	17
43	1	55	17
44	1	58	17
45	1	61	5
46	1	64	5
47	1	66	5
48	1	69	17
49	1	73	17
50	1	74	17
51	1	87	17
52	1	89	17
53	1	3	6
54	1	12	6
55	1	15	6
56	1	22	6
57	1	25	6
58	1	28	6
59	1	32	6
60	1	34	6
61	1	36	6
62	1	39	6
63	1	41	6
64	1	43	6
65	1	45	6
66	1	47	6
67	1	49	6
68	1	51	6
69	1	56	6
70	1	59	6
71	1	62	2
72	1	65	2
73	1	67	2
74	1	70	6
75	1	71	6
76	1	72	6
77	1	75	6
78	1	76	6
79	1	77	6
80	1	78	6
81	1	79	6
82	1	80	6
83	1	81	6
84	1	82	6
85	1	83	6
86	1	84	6
87	1	85	6
88	1	86	6
89	1	88	6
90	1	92	6
91	1	127	6
92	1	128	6
93	1	129	17
94	1	130	17
95	1	131	17
96	1	132	17
97	1	133	17
98	1	134	17
99	1	135	17
100	1	136	17
101	1	137	17
102	2	2	300
103	2	5	300
104	2	7	300
105	2	9	300
106	2	11	300
107	2	14	300
108	2	17	300
109	2	19	300
110	2	21	300
111	2	24	300
112	2	27	300
113	2	30	300
114	2	31	300
115	2	33	300
116	2	35	300
117	2	38	300
118	2	40	300
119	2	42	300
120	2	44	300
121	2	46	300
122	2	48	300
123	2	50	300
124	2	53	300
125	2	55	300
126	2	58	300
127	2	61	100
128	2	64	100
129	2	66	100
130	2	69	300
131	2	73	300
132	2	74	300
133	2	87	300
134	2	89	300
135	2	3	27
136	2	12	27
137	2	15	27
138	2	22	27
139	2	25	27
140	2	28	27
141	2	32	27
142	2	34	27
143	2	36	27
144	2	39	27
145	2	41	27
146	2	43	27
147	2	45	27
148	2	47	27
149	2	49	27
150	2	51	27
151	2	56	27
152	2	59	27
153	2	62	9
154	2	65	9
155	2	67	9
156	2	70	27
157	2	71	27
158	2	72	27
159	2	75	27
160	2	76	27
161	2	77	27
162	2	78	27
163	2	79	27
164	2	80	27
165	2	81	27
166	2	82	27
167	2	83	27
168	2	84	27
169	2	85	27
170	2	86	27
171	2	88	27
172	2	92	27
173	2	127	27
174	2	128	27
175	2	129	300
176	2	130	300
177	2	131	300
178	2	132	300
179	2	133	300
180	2	134	300
181	2	135	300
182	2	136	300
183	2	137	300
184	3	3	100
185	3	12	100
186	3	15	100
187	3	22	100
188	3	25	100
189	3	28	100
190	3	32	100
191	3	34	100
192	3	36	100
193	3	39	100
194	3	41	100
195	3	43	100
196	3	45	100
197	3	47	100
198	3	49	100
199	3	51	100
200	3	56	100
201	3	59	100
202	3	62	33
203	3	65	33
204	3	67	33
205	3	70	100
206	3	71	100
207	3	72	100
208	3	75	100
209	3	76	100
210	3	77	100
211	3	78	100
212	3	79	100
213	3	80	100
214	3	81	100
215	3	82	100
216	3	83	100
217	3	84	100
218	3	85	100
219	3	86	100
220	3	88	100
221	3	92	100
222	4	115	100
223	4	116	100
224	4	117	100
225	201	113	100
226	202	106	100
227	203	114	100
228	1	90	6
229	1	91	6
230	2	90	20
231	2	91	20
232	3	90	100
233	3	91	100
234	204	119	100
235	204	120	100
236	204	121	100
237	205	141	100
