Id	GroupId	UsableTimes	TemplateId	Count	Params[0]	Params[1]	Params[2]	Weight	Rare	Priority	RewardType	Note
1	1	1	1081003	1				100	1	2000	0	
2	1	1	2085002	1	1	0		200	1	1900	0	
3	1	1	9091002	1				400	1	1600	0	
4	1	1	6000504	1				400	1	1500	0	
5	1	1	80001	1				700	1	1800	0	
6	1	1	3045052	1	1	0		700	1	1700	0	
7	2	10	30013	1				833		750	0	
8	2	8	12	5				625		710	0	
9	2	16	1	20000				585		700	0	
10	2	5	2994001	1	1	0		1904		770	0	
11	2	10	3914001	1	1	0		2857		760	0	
12	2	10	40100	2				1500		740	0	
13	2	5	40103	1				3000		730	1	
14	2	10	40104	2				1125		720	0	
15	2	10	40110	1				750		800	0	
16	2	5	40113	1				750		790	0	
17	2	5	40114	1				2250		780	0	
18	3	1	6310205	1				50	1	1000	0	
19	3	1	9010220	1				800	1	990	0	
20	3	1	80005	1				250	1	980	0	
21	3	1	3015053	1	1	0		1400	1	960	0	
22	3	1	3025053	1	1	0		1400	1	950	0	
23	3	1	3035053	1	1	0		1400	1	940	0	
24	3	1	3045053	1	1	0		1400	1	930	0	
25	3	1	3055053	1	1	0		1400	1	920	0	
26	3	1	3065053	1	1	0		1400	1	910	0	
27	3	1	1031002	1	1	2	1	500	1	970	0	
28	4	1	31204	2				1000		840	1	
29	4	1	31104	2				1000		850	1	
30	4	1	30013	2				250		860	1	
31	4	1	40110	2				150		870	1	
32	4	1	40114	2				150		880	1	
33	4	1	40113	2				150		890	1	
34	4	1	90014	2				90		900	1	
35	5	1	6410306	1				50	1	1000	0	
36	5	1	80006	1				4000	1	990	0	
37	5	1	50003	2500				975	1	980	0	
38	5	1	50005	2500				975	1	970	0	
39	5	1	9010219	1				4000	1	960	0	
40	6	1	31204	2				1000		950	1	
41	6	1	31104	2				1000		940	1	
42	6	1	30013	2				500		930	1	
43	6	1	40110	2				300		920	1	
44	6	1	40114	2				300		910	1	
45	6	1	40113	2				300		900	1	
46	6	1	90014	2				100		890	1	
47	7	3	12	1				100		920	0	
48	7	3	30013	1				100		910	0	
49	7	4	1	6000				100		900	0	
50	7	3	31204	1				100		890	0	
51	7	3	31104	1				100		880	0	
52	7	3	40100	1				100		870	0	
53	7	3	40104	1				100		860	0	
54	7	3	40103	1				100		850	0	
55	7	1	40110	1				100		840	0	
56	7	1	40114	1				100		830	0	
57	7	1	40113	1				100		820	0	
58	7	3	30111	1				100		970	0	
59	7	1	30113	1				100		960	0	
60	7	3	40200	1				100		950	0	
61	7	1	40201	1				100		940	0	
62	7	3	40301	1				100		930	0	
63	8	1	8950001	1				100	1	980	0	
64	8	5	32	5				100	1	1000	0	
65	8	5	50000	50				100	1	990	0	
66	9	3	12	1				100		920	0	
67	9	3	30013	1				100		910	0	
68	9	4	1	6000				100		900	0	
69	9	3	31204	1				100		890	0	
70	9	3	31104	1				100		880	0	
71	9	3	40100	1				100		870	0	
72	9	3	40104	1				100		860	0	
73	9	3	40103	1				100		850	0	
74	9	1	40110	1				100		840	0	
75	9	1	40114	1				100		830	0	
76	9	1	40113	1				100		820	0	
77	9	3	30111	1				100		970	0	
78	9	1	30113	1				100		960	0	
79	9	3	40200	1				100		950	0	
80	9	1	40201	1				100		940	0	
81	9	3	40301	1				100		930	0	
82	10	1	8950003	1				100	1	980	0	
83	10	5	32	5				100	1	1000	0	
84	10	5	50000	50				100	1	990	0	
85	11	3	12	1				100		920	0	
86	11	3	30013	1				100		910	0	
87	11	4	1	6000				100		900	0	
88	11	3	31204	1				100		890	0	
89	11	3	31104	1				100		880	0	
90	11	3	40100	1				100		870	0	
91	11	3	40104	1				100		860	0	
92	11	3	40103	1				100		850	0	
93	11	2	40110	1				100		840	0	
94	11	2	40114	1				100		830	0	
95	11	2	40113	1				100		820	0	
96	11	3	30111	1				100		970	0	
97	11	2	30113	1				100		960	0	
98	11	3	40200	1				100		950	0	
99	11	1	40201	1				100		940	0	
100	11	3	40301	1				100		930	0	
101	12	1	8950007	1				100	1	980	0	
102	12	1	81001	1				100	1	1000	0	
103	12	5	50005	50				100	1	990	0	
104	13	3	12	1				100		920	0	
105	13	3	30013	1				100		910	0	
106	13	2	1	6000				100		900	0	
107	13	3	31204	1				100		890	0	
108	13	3	31104	1				100		880	0	
109	13	3	40100	1				100		870	0	
110	13	3	40104	1				100		860	0	
111	13	3	40103	1				100		850	0	
112	13	1	40110	1				100		840	0	
113	13	1	40114	1				100		830	0	
114	13	1	40113	1				100		820	0	
115	13	3	30111	1				100		970	0	
116	13	1	30113	1				100		960	0	
117	13	3	40200	1				100		950	0	
