Id	TimeId	ConsumeId	ConsumeCount	BtnGachaCount[0]	BtnGachaCount[1]	OrganizeId	PreGachaId	OrganizeSort	PropStartTimes	PropAdd	PropAddGroupId	GroupId[1]	Weight[1]	GroupId[2]	Weight[2]	GroupId[3]	Weight[3]	GroupId[4]	Weight[4]	GachaIcon	ExchangeId	CourseRewardId	FestivalActivityId	TargetTemplateId	GachaShowGroupId
1		60901	1	1	10				20	10000	3	3	375	4	9625										
2		60903	1	1	10				10	10000	5	5	100	6	9900										
3		62504	360	1	10	1		1	10	500	8	8	2200	7	7800					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarIconMachine1.png					
4		62504	360	1	10	1	3	2	10	500	10	10	2200	9	7800					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarIconMachine2.png					
5		62504	360	1	10	1	4	3	10	500	12	12	2200	11	7800					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarIconMachine3.png					
6		62504	360	1	10	1	5	4	10	500	14	14	2200	13	7800					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarIconMachine4.png					
7		62802	150	1	10	2		1	5	200	16	16	800	15	9200					Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerBox02.png					
8		62802	150	1	10	2	7	2	5	200	18	18	500	17	9500					Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerBox02.png					
9		62802	150	1	10	2	8	3	5	500	20	20	800	19	9200					Assets/Product/Texture/Image/UiSuperTower/UiSuperTowerBox02.png					
10		62514	700	1	10	3		1	10	500	22	22	2200	21	7800					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarIconMachine1.png					
11		62514	700	1	10	3	10	2	10	500	24	24	2200	23	7800					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarIconMachine2.png					
12		62514	700	1	10	3	11	3	10	500	26	26	2200	25	7800					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarIconMachine3.png					
13		62514	700	1	10	3	12	4	10	500	28	28	2200	27	7800					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarIconMachine4.png					
14	15701	50108	1	1	10				20	10000	29	29	100	30	9900						1	1	28	6002505	2
10001		60901	1	1	10				20	10000	100001	100001	375	100002	9625										
10002		260001	250	1	5				0	0	100	100	10000												
10003		270027	250	1	5				0	0	100003	100003	10000												
11002		400070	250	1	5				0	0	11002	11002	10000												
