Id	Icon	Name	GuildWarStageId	PatrolId	HpMax	DamagePercent	BaseSubHp	MaxSubHp	MaxPoint	MinSubDamage	FactorA	FactorB	FactorC	FactorD	FightCostEnergy	SweepCostEnergy
1	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	Guardian	57	1	10000	30	2200	4400	680	1100	0.6	30	5	680	20	20
2	Assets/Product/Texture/Image/RoleCharacter/ShengtangNormal01.png	Sanctuary Guard	58	2	10000	30	1000	2000	1015	500	0.6	45	5	1015	20	20
3	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	Excavator	59	3	10000	30	1000	2000	1015	500	0.6	45	5	1015	20	20
4	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	Guardian	60	4	10000	30	480	960	1525	300	0.6	67.5	5	1525	20	20
5	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	Excavator	61	5	10000	30	480	960	1525	300	0.6	67.5	5	1525	20	20
6	Assets/Product/Texture/Image/RoleCharacter/ShengtangNormal01.png	Sanctuary Guard	62	6	10000	30	480	960	1525	300	0.6	67.5	5	1525	20	20
7	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	Guardian	57	7	10000	30	2200	4400	680	1100	0.6	30	5	680	20	20
8	Assets/Product/Texture/Image/RoleCharacter/ShengtangNormal01.png	Sanctuary Guard	58	8	10000	30	1000	2000	1015	500	0.6	45	5	1015	20	20
9	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	Excavator	59	9	10000	30	1000	2000	1015	500	0.6	45	5	1015	20	20
10	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	Guardian	60	10	10000	30	480	960	1525	300	0.6	67.5	5	1525	20	20
11	Assets/Product/Texture/Image/RoleCharacter/Me1YijiwajuezheMd000001.png	Excavator	61	11	10000	30	480	960	1525	300	0.6	67.5	5	1525	20	20
12	Assets/Product/Texture/Image/RoleCharacter/ShengtangNormal01.png	Sanctuary Guard	62	12	10000	30	480	960	1525	300	0.6	67.5	5	1525	20	20
