Id	GroupIndex	StageIndex	DifficultyId	Name	NameEn	Desc	Icon	ShowMonsterIcon	ShowMonsterName	ShowFightEventId	FightEventId[1]	FightEventId[2]	FightEventId[3]	Type	RootId	RootGuardId	SubMonsterBornCd	TreatMstInterval	TreatMstPercent	WeaknessFightEventId	AttackBaseDamage	AttackBaseInterval	LinkIds[1]	LinkIds[2]	LinkIds[3]	LinkIds[4]	HpMax	RewardId	GuildWarStageId	EliteMonsterId	EliteMonsterBornInterval	BuffGroupId	RebuildTime	RebuildTimeFactor	RebuildMaxTime	RebuildGuildWarStageId	ResidueStageId	BaseSubHp	MaxSubHp	MaxPoint	BasePoint	MinSubDamage	FactorA	FactorB	FactorC	FactorD	FightCostEnergy	SweepCostEnergy	HelpTitle	HelpDetail	DescWeakness	ModelId
101	1	1	1	Resource Security Area	Resource Security Area	Protect the base from the ambushers	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png	Resource Security	2240268				1									102				10000														19000		0.6	30	5	680	20	20	Resource Security Area	1. Ambush alert, hold the line!\n2. During the result calculation, based on the <color=#4169E1>remaining HP of the base</color>, grants up to <color=#4169E1>19,000</color> total Guild Points.\n2. The <color=#4169E1>more HP the base has left</color> during the result calculation, the <color=#4169E1>greater the rewards</color> in the mission.		
102	3	1	1	Juncture I	The Pass I	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/CourierNormal01.png	Courier					2									101	103			10000		1									850	1700	680		850	0.6	30	5	680	20	20	Juncture I	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!		
103	3	2	1	Juncture II	The Pass II	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/PaotaiNormal01.png	Nalasr					2									102	104			10000		2									850	1700	680		850	0.6	30	5	680	20	20	Juncture II	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!		
104	3	3	1	Assistance Outpost	Assistance Outposts	Outposts that won't be rebuilt. They spawn ambushers to attack the base. <color=#0f70bc>The time between ambusher spawns is reduced</color> at high difficulty.	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon10.png	Assets/Product/Texture/Image/RoleCharacter/YijuzhongduanNormal01.png	Small Watchtower					12									103	105	108		10000		83	1	2							500	1000	680		500	0.6	30	5	680	20	20	Assistance Outpost	1. Destroy the watchtower!\n2. The watchtower will be invincible when there are enemies on the battlefield.\nThe more the enemies, the stronger the buff the watchtower will get.\n3. <color=#4169E1>Eliminate the enemies asap and deal DMG to the watchtower</color>.		
105	3	4	1	Juncture III	The Pass III	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/TuziNormal01.png	Rabbit					2									104	106	108		10000		3									850	1700	680		850	0.6	30	5	680	20	20	Juncture III	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!		
106	3	5	1	Ambush Outposts	Ambush Outposts	Generates ambushers to attack the base at intervals	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon3.png	Assets/Product/Texture/Image/RoleCharacter/YijuzhongduanNormal01.png	Watchtower					4									105	107			10000		83	7	2		100440	80640	150660	77		400	800	680		400	0.6	30	5	680	20	20	Ambush Outposts	1. Destroy the watchtower!\n2. The watchtower will be invincible when there are enemies on the battlefield.\nThe more the enemies, the stronger the buff the watchtower will get.\n3. <color=#4169E1>Eliminate the enemies asap and deal DMG to the watchtower</color>.		
107	3	6	1	Uniframe Pass	Treacherous Gap	The last area of defense before Boss	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon4_1.png	Assets/Product/Texture/Image/RoleCharacter/KeyboardistNormal01.png	God Slayer	2240281	2240282			5									106	110			10000		25									350	700	680		350	0.6	30	5	680	20	20	Uniframe Pass	1. Defeat Boss with the tank, preferably using a <color=#4169E1>Uniframe</color>.\n2. <color=#4169E1>Executable enemies will be generated at the center of the field at intervals. Execute them to charge the tank</color>.\n3. When fully charged, <color=#4169E1>the tank will deal DMG equal to 40% max HP to the Boss</color>.\n4. Pull enemies wisely to execute them while dealing DMG to the Boss to clear the stage faster.		
108	3	7	1	Land of Resources	Forefront of Resource	Break to defeat ambushers	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBuff10.png	Assets/Product/Texture/Image/RoleCharacter/AnboliyaNormal01.png	Amberia	2240269				3									104	105			10000	17829	72			1						350	700	680		350	0.6	30	5	680	20	20	Land of Resources	1. Use the traps to defeat the enemy.\n2. The enemy will become invincible at intervals.\n3. <color=#4169E1>Get close to the traps on the field to stun the enemy and remove their invincibility status.</color>\n4. Traps have a cooldown.		
110	2	1	1	Dangerous Cliff	High-risk Cliffs	After any sub-node is defeated, the Boss appears, inheriting its HP. Ensure you <color=#0e70bd>lower the HP of both sub-nodes!</color>	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon9.png	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarBossIcon3.png	Merge! Steel Tango!	2240279	2240288			9				2	10				107				10000	17830	91								91	136	400	99999		264	0.625	45	5	1015	20	20	Merge! Steel Tango!	1. <color=#4169E1>After defeating the Yellow-Eyed Guard or Chaos Paladin, they join forces against you!</color>\n2. When that happens, node HP = 50% + total remaining HP of sub-nodes x50%. It's advised to reduce sub-node HP as much as possible.\n3. A countdown begins after the two join forces. At the end of the countdown, all elite enemies on the battlefield regain 10% of their max HP.		Me1ShengtangMd010001UI
111	2	1	1	Chaos Paladin	High-risk Cliffs	When HP drops to 70% and 30%, the Chaos Paladin begins to absorb Energy.\n<color=#0e70bd>Dodge now</color> to prevent the Chaos Paladin from siphoning Energy and healing.	Assets/Product/Texture/Image/RoleCharacter/ShengtangNormal01.png	Assets/Product/Texture/Image/RoleCharacter/ShengtangNormal01.png	Chaos Paladin	2240279	2240288			10	110												10000		90									204	1300	99999		1096	0.625	45	5	1015	20	20	Chaos Paladin	1. The Chaos Paladin starts <color=#4169E1>absorbing Energy</color> at <color=#4169E1>70%</color> and <color=#4169E1>30%</color> HP.\n2. The <color=#4169E1>Energy absorption</color> lasts 8s. If <color=#4169E1>hit</color> during this time, the Chaos Paladin <color=#4169E1>regains 10% Energy</color>.\n3. Afterward, the Chaos Paladin <color=#4169E1>unleashes Energy</color>. If <color=#4169E1>hit</color> during this time, the Chaos Paladin <color=#4169E1>recovers 1.5% of max HP</color>.	Special Node 3	Me1ShengtangMd010001UI
