Id	StageId	MonsterLibraryId	Ability
1	30060106	101	
2	30060107	102	
3	30060108	103	
4	30060108	104	
5	30060110	201	
6	30060111	202	
7	30060112	203	
8	30060112	204	
9	30060114	211	
10	30060115	212	
11	30060116	213	
12	30060116	214	
13	30060118	301	
14	30060119	302	
15	30060120	303	
16	30060120	304	
17	30060122	311	
18	30060123	312	
19	30060124	313	
20	30060124	314	
21	30060126	321	
22	30060127	322	
23	30060128	323	
24	30060128	324	
25	30060331	0	
26	30060332	0	
27	30060333	0	
28	30060334	0	
29	30060335	0	
30	30060336	0	
31	30060137	0	
32	30060362	0	
33	30060363	0	
34	30060364	0	
35	30060365	0	
36	30060366	0	
37	30060367	0	
38	30060198	101	
39	30060345	0	
40	30060346	0	
41	30060347	0	
42	30060348	0	
43	30060349	0	
44	30060350	0	
45	30060151	0	
46	30060152	0	
47	30060153	0	
48	30060154	0	
49	30060370	0	
50	30060371	0	
51	30060372	0	
52	30060356	0	
53	30060357	0	
54	30060358	0	
55	30060359	0	
56	30060360	0	
57	30060106	105	
58	30060110	205	
59	30060114	215	
60	30060118	305	
61	30060122	315	
62	30060126	325	
63	30060381	0	
64	30060382	0	
65	30060383	0	
66	30060384	0	
67	30060385	0	
68	30060386	0	
69	30060387	0	
70	30060388	0	
71	30060389	0	
72	30060156	0	
73	30060157	0	
74	30060158	0	
75	30060159	0	
76	30060160	0	
77	30060145	0	
78	30060146	0	
79	30060147	0	
80	30060148	0	
81	30060149	0	
82	30060150	0	
83	30060162	0	
84	30060163	0	
85	30060164	0	
86	30060165	0	
87	30060166	0	
88	30060167	0	
89	30060390	0	4500
90	30060391	0	4500
91	30060392	0	4500
92	30060393	0	4500
93	30060394	0	4500
94	30060395	0	4500
95	30060373	0	5500
96	30060374	0	5500
97	30060375	0	5500
98	30060376	0	5500
99	30060377	0	5500
100	30060378	0	5500
101	30060379	0	6400
102	30060380	0	6400
103	30060337	0	6400
104	30060338	0	6400
105	30060339	0	6400
106	30060340	0	6400
