Id	Name	Type	SubType	RoundId	Icon	DifficultyId	Desc	TaskId	Percent	RewardId	MailId
151	1st Round Challenge II - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 6 times in total	85453			
152	1st Round Challenge IV - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 12 times in total	85454			
153	1st Round Challenge VI - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 18 times in total	85455			
154	1st Round Challenge VII - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 21 times in total	85456			
155	1st Round Challenge VIII - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 24 times in total	85457			
156	2nd Round Challenge II - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 6 times in total	85458			
157	2nd Round Challenge IV - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 12 times in total	85459			
158	2nd Round Challenge VI - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 18 times in total	85460			
159	2nd Round Challenge VII - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 21 times in total	85461			
160	2nd Round Challenge VIII - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 24 times in total	85462			
161	3rd Round Challenge II - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 6 times in total	85463			
162	3rd Round Challenge IV - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 12 times in total	85464			
163	3rd Round Challenge VI - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 18 times in total	85465			
164	3rd Round Challenge VII - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 21 times in total	85466			
165	3rd Round Challenge VIII - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 24 times in total	85467			
166	1st Round Challenge I - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 3 times in total	85468			
167	1st Round Challenge II - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 6 times in total	85469			
168	1st Round Challenge III - Dangerous	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	2	Challenge Guild Expedition 9 times in total	85470			
