Id	LibraryId	MonsterIds[1]	MonsterIds[2]	MonsterIds[3]	MonsterIds[4]	MonsterIds[5]	MonsterIds[6]
1	101	11100	11101	11101			
2	101	11101	11100	11100	11110		
3	102	11200	11201	11201			
4	102	11202	11203	11203			
5	102	11201	11200	11200	11210		
6	103	11300	11300	11301			
7	103	11302	11302	11303			
8	103	11303	11303	11304	11304		
9	103	11300	11300	11301	11310		
10	103	11302	11304	11310	11310		
11	104	11400	11400	11400			
12	104	11401	11401	11401			
13	104	11402	11402	11403	11403		
14	104	11400	11403	11403	11410		
15	104	11400	11401	11411	11411		
16	201	21100	21100	21100			
17	201	21101	21101	21102	21102		
18	201	21101	21100	21100	21110		
19	202	21200	21201	21201			
20	202	21202	21202	21203	21203		
21	202	21202	21201	21201	21210		
22	203	21300	21300	21301			
23	203	21302	21302	21303			
24	203	21304	21304	21305			
25	203	21300	21300	21301	21310		
26	203	21303	21305	21310	21310		
27	204	21400	21400	21400			
28	204	21401	21401	21401			
29	204	21402	21402	21403	21403		
30	204	21401	21401	21400	21410		
31	204	21402	21402	21410	21410		
32	211	22100	22100	22100			
33	211	22101	22101	22101	22101		
34	211	22100	22102	22102	22110		
35	212	22200	22200	22200			
36	212	22201	22201	22202	22202		
37	212	22200	22202	22202	22210		
38	213	22300	22300	22301			
39	213	22302	22302	22300			
40	213	22301	22303	22303			
41	213	22302	22302	22302	22310		
42	213	22300	22300	22310	22310		
43	214	22400	22400	22401			
44	214	22402	22402	22403			
45	214	22404	22404	22400	22400		
46	214	22401	22403	22403	22410		
47	214	22404	22404	22410	22410		
48	301	31100	31100	31100			
49	301	31101	31101	31102	31102		
50	301	31100	31100	31101	31110		
51	302	31200	31200	31201			
52	302	31202	31202	31203	31203		
53	302	31201	31202	31202	31210		
54	303	31300	31300	31300			
55	303	31301	31302	31302			
56	303	31303	31303	31301	31301		
57	303	31300	31300	31300	31310		
58	303	31302	31300	31310	31310		
59	304	31400	31400	31400			
60	304	31401	31401	31401			
61	304	31400	31400	31402	31402		
62	304	31401	31401	31402	31410		
63	304	31401	31400	31410	31410		
64	311	32100	32100	32100			
65	311	32101	32101	32101	32101		
66	311	32100	32100	32102	32110		
67	312	32200	32200	32200			
68	312	32201	32201	32202	32202		
69	312	32202	32200	32200	32210		
70	313	32300	32301	32301			
71	313	32302	32302	32300			
72	313	32301	32301	32303	32303		
73	313	32302	32302	32302	32310		
74	313	32303	32300	32310	32310		
75	314	32400	32400	32401			
76	314	32402	32402	32403			
77	314	32404	32404	32401	32401		
78	314	32402	32402	32403	32410		
79	314	32404	32404	32410	32410		
80	321	33100	33100	33101			
81	321	33102	33102	33100	33100		
82	321	33101	33101	33101	33110		
83	322	33200	33200	33200			
84	322	33201	33201	33202	33202		
85	322	33200	33200	33201	33210		
86	323	33300	33301	33301			
87	323	33302	33302	33303			
88	323	33300	33300	33303	33303		
89	323	33301	33301	33302	33310		
90	323	33303	33303	33310	33300		
91	324	33400	33400	33401			
92	324	33402	33402	33403			
93	324	33403	33403	33400	33400		
94	324	33402	33402	33403	33401		
95	324	33402	33400	33401	33410		
96	105	11500	11500	11500			
97	105	11501					
98	205	21500	21500	21500			
99	205	21500	21500				
100	205	21501					
101	215	22500	22500	22500			
102	215	22500	22500				
103	215	22501					
104	305	31500	31500	31500			
105	305	31500	31500				
106	305	31501					
107	315	32500	32500	32500			
108	315	32500	32500				
109	315	32501					
110	325	33500	33500	33500			
111	325	33500	33500				
112	325	33501					
