Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
960704842	ShakeCamera	4|00.2|0|10|00.1|0																													
960704852	ShakeCamera	4|00.2|0|10|00.1|1																													
960704862	ShakeCamera	4|00.2|0|10|00.1|2																													
960704872	ShakeCamera	4|00.2|0|10|00.1|3																													
960704882	ShakeCamera	4|00.2|0|10|00.1|4																													
960704892	ShakeCamera	4|00.2|0|10|00.1|5																													
960704902	ShakeCamera	4|00.2|0|10|00.1|6																													
960704912	ShakeCamera	4|00.2|0|10|00.1|7																													
960705762	ShakeCamera	1|00.02|0|20|00.1|0																													
904213012	ShakeCamera	1|00.02|0|10|00.1|5																													
904213022	ShakeCamera	5|00.2|-00.2|10|2.1|0																													
904215502	ShakeCamera	5|00.15|-1|10|00.1|0																													
904215512	ShakeCamera	5|00.15|-1|10|00.1|0																													
904215522	ShakeCamera	5|00.15|-1|10|00.1|0																													
904215532	ShakeCamera	5|00.15|-1|10|00.1|0																													
904216912	ShakeCamera	5|00.15|-1|10|00.1|0																													
904216922	ShakeCamera	5|00.15|-1|10|00.1|0																													
904216932	ShakeCamera	5|00.15|-1|10|00.1|0																													
904216942	ShakeCamera	5|00.15|-1|10|00.1|0																													
904217072	ShakeCamera	5|00.15|-1|10|00.1|0																													
904217082	ShakeCamera	5|00.15|-1|10|00.1|0																													
904217092	ShakeCamera	5|00.15|-1|10|00.1|0																													
904217102	ShakeCamera	5|00.15|-1|10|00.1|0																													
904217112	ShakeCamera	5|00.15|-1|10|00.1|0																													
904217122	ShakeCamera	5|00.15|-1|10|00.1|0																													
