Id	Name	Level[1]	Level[2]	Level[3]	Level[4]	Level[5]	Level[6]	Level[7]	Level[8]	Level[9]	Level[10]	Level[11]	Level[12]	Level[13]	Level[14]	Level[15]	Level[16]	Level[17]	Level[18]	Level[19]	Level[20]	Level[21]	Level[22]	Level[23]	Level[24]	Level[25]	Level[26]	Level[27]	Level[28]	Level[29]	Level[30]
7001	AddBuff	7001																													
70010	AddBehavior	7001																													
7002	AddBuff	7002																													
70020	AddBehavior	7002																													
7003	AddBuff	7003																													
70030	AddBehavior	7003																													
7005	AddBuff	7005																													
70050	AddBehavior	7005																													
7008	AddBuff	7008																													
70080	AddBehavior	7008																													
7007	AddBuff	7007																													
70070	AddBehavior	7007																													
7012	AddBuff	7012																													
70120	AddBehavior	7012																													
7006	AddBuff	7006																													
70060	AddBehavior	7006																													
7004	AddBuff	7004																													
70040	AddBehavior	7004																													
7023	AddBuff	7023																													
70230	AddBehavior	7023																													
7011	AddBuff	7011																													
70110	AddBehavior	7011																													
7009	AddBuff	7009																													
70090	AddBehavior	7009																													
7010	AddBuff	7010																													
70100	AddBehavior	7010																													
7102	AddBuff	7102																													
71020	AddBehavior	7102																													
7112	AddBuff	7112																													
71120	AddBehavior	7112																													
7022	AddBuff	7022																													
70220	AddBehavior	7022																													
7032	AddBuff	7032																													
70320	AddBehavior	7032																													
7104	AddBuff	7104																													
71040	AddBehavior	7104																													
7014	AddBuff	7014																													
70140	AddBehavior	7014																													
7015	AddBuff	7015																													
70150	AddBehavior	7015																													
7103	AddBuff	7103																													
71030	AddBehavior	7103																													
7107	AddBuff	7107																													
71070	AddBehavior	7107																													
7109	AddBuff	7109																													
71090	AddBehavior	7109																													
7202	AddBuff	7202																													
72020	AddBehavior	7202																													
7203	AddBuff	7203																													
72030	AddBehavior	7203																													
7311	AddBuff	7311																													
73110	AddBehavior	7311																													
7306	AddBuff	7306																													
73060	AddBehavior	7306																													
