Id	UiName	ModelName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
1	UiPanelBossDetail	Mb1LuolanMd010001	0.026	0	0.16	0	4	0	1	1	1
2	UiPanelBossDetail	Me1SwordMd002001	0	0	0	0	0	0	0.65	0.65	0.65
3	UiPanelBossDetail	Mb1OrphanMd030001	0	0	0	0	0	0	0.42	0.42	0.42
4	UiPanelBossDetail	Mb1SandwormMd030001	0.17	0	0	0	0	0	0.3	0.3	0.3
5	UiPanelBossDetail	R3LuxiyaMd010011	0.1	-0.05	0.43	0	0	0	1	1	1
6	UiPanelBossDetail	Mb1SwordMd030001	0	0	0	0	0	0	0.89	0.89	0.89
7	UiPanelBossDetail	Mb1BraveMd010011	0	0.27	0	0	0	0	0.4	0.4	0.4
8	UiPanelBossDetail	Mb1VirginbioMd030001	0	0	0	0	0	0	0.72	0.72	0.72
9	UiPanelBossDetail	Mb1XiuMd010003	0.06	-0.03	0.46	0	0	0	1	1	1
10	UiOnlineBoss	Mb1LuosaitamaMd000001	0	0	0	0	0	0	2	2	2
11	UiOnlineBoss	Mb1TankarmorMd030001	0	0	-13	0	0	0	1.4	1.4	1.4
12	UiOnlineBoss	Mb1LuosaitarenMd000001	0	0	0	0	0	0	2	2	2
13	UiOnlineBoss	Mb1LadyMd10001	0	0	0	0	0	0	2	2	2
14	UiOnlineBoss	Mb1OsirisMd000001	0	0	0	0	0	0	2.2	2.2	2.2
15	UiOnlineBoss	Mb1JiabailieMd000002	3.52	7.48	-47.3	0	180	0	1	1	1
16	UiBabelTowerRoomCharacter	R2SufeiyaMd010011	0	0.1	0	0	0	0	0	0	0
17	UiRoomCharacter	R2SufeiyaMd010011	0	0.1	0	0	0	0	0	0	0
18	UiBfrtRoomCharacter	R2SufeiyaMd010011	0	0.1	0	0	0	0	0	0	0
19	UiMainLineRoomCharacter	R2SufeiyaMd010011	0	0.1	0	0	0	0	0	0	0
20	UiFavorabilityLineRoomCharacter	R2SufeiyaMd010011	0	0.1	0	0	0	0	0	0	0
21	UiMain	R2SufeiyaMd010011	0	0.1	0	0	0	0	0	0	0
22	UiFavorabilityNew	R2SufeiyaMd010011	0	0.1	0	0	0	0	0	0	0
23	UiBattleRoomRoleDetail	R2SufeiyaMd010011	0	0.1	0	0	0	0	0	0	0
24	UiBabelTowerRoomCharacter	R2SufeiyaMd010021	0	0.1	0	0	0	0	0	0	0
25	UiRoomCharacter	R2SufeiyaMd010021	0	0.1	0	0	0	0	0	0	0
26	UiBfrtRoomCharacter	R2SufeiyaMd010021	0	0.1	0	0	0	0	0	0	0
27	UiMainLineRoomCharacter	R2SufeiyaMd010021	0	0.1	0	0	0	0	0	0	0
28	UiFavorabilityLineRoomCharacter	R2SufeiyaMd010021	0	0.1	0	0	0	0	0	0	0
29	UiMain	R2SufeiyaMd010021	0	0.1	0	0	0	0	0	0	0
30	UiFavorabilityNew	R2SufeiyaMd010021	0	0.1	0	0	0	0	0	0	0
31	UiBattleRoomRoleDetail	R2SufeiyaMd010021	0	0.1	0	0	0	0	0	0	0
32	UiBabelTowerRoomCharacter	R2SufeiyaMd010031	0	0.1	0	0	0	0	0	0	0
33	UiRoomCharacter	R2SufeiyaMd010031	0	0.1	0	0	0	0	0	0	0
34	UiBfrtRoomCharacter	R2SufeiyaMd010031	0	0.1	0	0	0	0	0	0	0
35	UiMainLineRoomCharacter	R2SufeiyaMd010031	0	0.1	0	0	0	0	0	0	0
36	UiFavorabilityLineRoomCharacter	R2SufeiyaMd010031	0	0.1	0	0	0	0	0	0	0
37	UiMain	R2SufeiyaMd010031	0	0.1	0	0	0	0	0	0	0
38	UiFavorabilityNew	R2SufeiyaMd010031	0	0.1	0	0	0	0	0	0	0
39	UiBattleRoomRoleDetail	R2SufeiyaMd010031	0	0.1	0	0	0	0	0	0	0
40	UiBabelTowerRoomCharacter	R2SufeiyaMd019031	0	0.1	0	0	0	0	0	0	0
41	UiRoomCharacter	R2SufeiyaMd019031	0	0.1	0	0	0	0	0	0	0
42	UiBfrtRoomCharacter	R2SufeiyaMd019031	0	0.1	0	0	0	0	0	0	0
43	UiMainLineRoomCharacter	R2SufeiyaMd019031	0	0.1	0	0	0	0	0	0	0
44	UiFavorabilityLineRoomCharacter	R2SufeiyaMd019031	0	0.1	0	0	0	0	0	0	0
45	UiMain	R2SufeiyaMd019031	0	0.1	0	0	0	0	0	0	0
46	UiFavorabilityNew	R2SufeiyaMd019031	0	0.1	0	0	0	0	0	0	0
47	UiBattleRoomRoleDetail	R2SufeiyaMd019031	0	0.1	0	0	0	0	0	0	0
48	UiBabelTowerRoomCharacter	R2SufeiyaMd019011	0	0.1	0	0	0	0	0	0	0
49	UiRoomCharacter	R2SufeiyaMd019011	0	0.1	0	0	0	0	0	0	0
50	UiBfrtRoomCharacter	R2SufeiyaMd019011	0	0.1	0	0	0	0	0	0	0
51	UiMainLineRoomCharacter	R2SufeiyaMd019011	0	0.1	0	0	0	0	0	0	0
