Id	UiName	ModelName	CameraName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ
1	UiCharacter	R4YongyechaobotMd010011	CamFarMain	0.34	1.37	-28.46	2.25	0	0
2	UiCharacter	R4YongyechaobotMd010021	CamFarMain	0.34	1.37	-28.46	2.25	0	0
3	UiCharacter	R4YongyechaobotMd010031	CamFarMain	0.34	1.37	-28.46	2.25	0	0
4	UiCharacter	R4YongyechaobotMd019321	CamFarMain	0.34	1.37	-28.46	2.25	0	0
5	UiCharacter	R4YongyechaobotMd010011	CamNearMain	0.34	1.37	-28.46	2.25	0	0
6	UiCharacter	R4YongyechaobotMd010021	CamNearMain	0.34	1.37	-28.46	2.25	0	0
7	UiCharacter	R4YongyechaobotMd010031	CamNearMain	0.34	1.37	-28.46	2.25	0	0
8	UiCharacter	R4YongyechaobotMd019321	CamNearMain	0.34	1.37	-28.46	2.25	0	0
9	UiCharacter	R4YongyechaobotMd010011	UiCamFarLv	0.51	1.03	-26.59	0.856	0	0
10	UiCharacter	R4YongyechaobotMd010021	UiCamFarLv	0.51	1.03	-26.59	0.856	0	0
11	UiCharacter	R4YongyechaobotMd010031	UiCamFarLv	0.51	1.03	-26.59	0.856	0	0
12	UiCharacter	R4YongyechaobotMd019321	UiCamFarLv	0.51	1.03	-26.59	0.856	0	0
13	UiCharacter	R4YongyechaobotMd010011	UiCamNearLv	0.51	1.03	-26.59	0.856	0	0
14	UiCharacter	R4YongyechaobotMd010021	UiCamNearLv	0.51	1.03	-26.59	0.856	0	0
15	UiCharacter	R4YongyechaobotMd010031	UiCamNearLv	0.51	1.03	-26.59	0.856	0	0
16	UiCharacter	R4YongyechaobotMd019321	UiCamNearLv	0.51	1.03	-26.59	0.856	0	0
17	UiCharacter	R4YongyechaobotMd010011	UiCamFarGrade	-1.33	1.35	-25.66	1.714	20.65	0
18	UiCharacter	R4YongyechaobotMd010021	UiCamFarGrade	-1.33	1.35	-25.66	1.714	20.65	0
19	UiCharacter	R4YongyechaobotMd010031	UiCamFarGrade	-1.33	1.35	-25.66	1.714	20.65	0
20	UiCharacter	R4YongyechaobotMd019321	UiCamFarGrade	-1.33	1.35	-25.66	1.714	20.65	0
21	UiCharacter	R4YongyechaobotMd010011	UiCamNearGrade	-1.33	1.35	-25.66	1.714	20.65	0
22	UiCharacter	R4YongyechaobotMd010021	UiCamNearGrade	-1.33	1.35	-25.66	1.714	20.65	0
23	UiCharacter	R4YongyechaobotMd010031	UiCamNearGrade	-1.33	1.35	-25.66	1.714	20.65	0
24	UiCharacter	R4YongyechaobotMd019321	UiCamNearGrade	-1.33	1.35	-25.66	1.714	20.65	0
25	UiCharacter	R4YongyechaobotMd010011	UiCamFarQuality	0.53	1.18	-26.03	0	0	0
26	UiCharacter	R4YongyechaobotMd010021	UiCamFarQuality	0.53	1.18	-26.03	0	0	0
27	UiCharacter	R4YongyechaobotMd010031	UiCamFarQuality	0.53	1.18	-26.03	0	0	0
28	UiCharacter	R4YongyechaobotMd019321	UiCamFarQuality	0.53	1.18	-26.03	0	0	0
29	UiCharacter	R4YongyechaobotMd010011	UiCamNearQuality	0.53	1.18	-26.03	0	0	0
30	UiCharacter	R4YongyechaobotMd010021	UiCamNearQuality	0.53	1.18	-26.03	0	0	0
31	UiCharacter	R4YongyechaobotMd010031	UiCamNearQuality	0.53	1.18	-26.03	0	0	0
32	UiCharacter	R4YongyechaobotMd019321	UiCamNearQuality	0.53	1.18	-26.03	0	0	0
33	UiCharacter	R4YongyechaobotMd010011	UiCamFarSkill	-2.63	1.15	-26.91	0.815	27.61	0
34	UiCharacter	R4YongyechaobotMd010021	UiCamFarSkill	-2.63	1.15	-26.91	0.815	27.61	0
35	UiCharacter	R4YongyechaobotMd010031	UiCamFarSkill	-2.63	1.15	-26.91	0.815	27.61	0
36	UiCharacter	R4YongyechaobotMd019321	UiCamFarSkill	-2.63	1.15	-26.91	0.815	27.61	0
37	UiCharacter	R4YongyechaobotMd010011	UiCamNearSkill	-2.63	1.15	-26.91	0.815	27.61	0
38	UiCharacter	R4YongyechaobotMd010021	UiCamNearSkill	-2.63	1.15	-26.91	0.815	27.61	0
39	UiCharacter	R4YongyechaobotMd010031	UiCamNearSkill	-2.63	1.15	-26.91	0.815	27.61	0
40	UiCharacter	R4YongyechaobotMd019321	UiCamNearSkill	-2.63	1.15	-26.91	0.815	27.61	0
41	UiExhibitionInfo	R4YongyechaobotMd010011	FarCamera	0.37	1.09	-27.56	0.856	0	0
42	UiExhibitionInfo	R4YongyechaobotMd010021	FarCamera	0.37	1.09	-27.56	0.856	0	0
43	UiExhibitionInfo	R4YongyechaobotMd010031	FarCamera	0.37	1.09	-27.56	0.856	0	0
44	UiExhibitionInfo	R4YongyechaobotMd019321	FarCamera	0.37	1.09	-27.56	0.856	0	0
45	UiExhibitionInfo	R4YongyechaobotMd010011	NearCamera	0.37	1.09	-27.56	0.856	0	0
46	UiExhibitionInfo	R4YongyechaobotMd010021	NearCamera	0.37	1.09	-27.56	0.856	0	0
47	UiExhibitionInfo	R4YongyechaobotMd010031	NearCamera	0.37	1.09	-27.56	0.856	0	0
48	UiExhibitionInfo	R4YongyechaobotMd019321	NearCamera	0.37	1.09	-27.56	0.856	0	0
49	UiRoomCharacter	R4YongyechaobotMd010011	FarCamera	0.22	1.25	-26	0.856	0	0
50	UiRoomCharacter	R4YongyechaobotMd010021	FarCamera	0.22	1.25	-26	0.856	0	0
51	UiRoomCharacter	R4YongyechaobotMd010031	FarCamera	0.22	1.25	-26	0.856	0	0
52	UiRoomCharacter	R4YongyechaobotMd019321	FarCamera	0.22	1.25	-26	0.856	0	0
53	UiRoomCharacter	R4YongyechaobotMd010011	NearCamera	0.22	1.25	-26	0.856	0	0
