Key	PrefabUrl
UiPanelCharProperty1	Assets/Product/Ui/ComponentPrefab/Character/PanelCharLevel.prefab
UiPanelCharProperty2	Assets/Product/Ui/ComponentPrefab/Character/PanelCharGrade.prefab
UiPanelCharProperty3	Assets/Product/Ui/ComponentPrefab/Character/PanelCharQuality.prefab
UiPanelCharProperty4	Assets/Product/Ui/ComponentPrefab/Character/PanelCharSkill.prefab
UiPanelCharProperty5	Assets/Product/Ui/ComponentPrefab/Character/PanelCharEnhanceSkill.prefab
UiPanelCharProperty6	Assets/Product/Ui/ComponentPrefab/Character/PanelCharEnhanceSkillSp.prefab
UiSetCombatTask	Assets/Product/Ui/ComponentPrefab/Set/PanelCombatTask.prefab
UiSetPanelInstruction	Assets/Product/Ui/ComponentPrefab/Set/PanelInstruction.prefab
UiSetPanelInstructionMonster	Assets/Product/Ui/ComponentPrefab/Set/PanelPokemon.prefab
UiSetPanelVoiceSet	Assets/Product/Ui/ComponentPrefab/Set/PanelVoiceSet.prefab
UiSetPanelGraphicsSet	Assets/Product/Ui/ComponentPrefab/Set/PanelGraphicsSet.prefab
UiSetPanelFightSet	Assets/Product/Ui/ComponentPrefab/Set/PanelFightSet.prefab
UiSetPanelPushSet	
UiSetPanelOther	Assets/Product/Ui/ComponentPrefab/Set/PanelOther.prefab
UiSetPanelDownload	Assets/Product/Ui/ComponentPrefab/Set/PanelDownload.prefab
UiDrawOpenBoxPre	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxPre.prefab
UiGachaLoop	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawActivityLunaCubeHold.prefab
UiGachaSteap1	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawActivityLunaCubeOpen00.prefab
RpgTowerRoleListChildWindowCharaInfo	Assets/Product/Ui/Prefab/UiRpgTowerOwnedInfo.prefab
RpgTowerRoleListChildWindowAdapt	Assets/Product/Ui/ComponentPrefab/UiRpgTower/PanelRpgTowerTalent.prefab
RpgTowerRoleListChildWindowNatureTabs	Assets/Product/Ui/Prefab/UiRpgTowerPromotion.prefab
RpgTowerRoleListChildWindowChangeMember	Assets/Product/Ui/Prefab/UiRpgTowerReplaceMember.prefab
RpgTowerTalentComponent	Assets/Product/Ui/ComponentPrefab/UiRpgTower/PanelRpgTowerSkills.prefab
RpgTowerRoleListChildWindowTypeSelect	Assets/Product/Ui/ComponentPrefab/UiRpgTower/PanelRpgTowerEntrance.prefab
RpgTowerBattleRoleRoom	Assets/Product/Ui/ComponentPrefab/UiRpgTower/PanelTeam.prefab
UiPanelPartnerLevel	Assets/Product/Ui/ComponentPrefab/Partner/PanelPartnerLevel.prefab
UiPanelPartnerQuality	Assets/Product/Ui/ComponentPrefab/Partner/PanelPartnerQuality.prefab
UiPanelPartnerSkill	Assets/Product/Ui/ComponentPrefab/Partner/PanelPartnerSkill.prefab
UiPanelPartnerStory	Assets/Product/Ui/ComponentPrefab/Partner/PanelPartnerStory.prefab
UiReformEnemyPanel	Assets/Product/Ui/ComponentPrefab/FubenReform/PanelReformEnemy.prefab
UiReformMemberPanel	Assets/Product/Ui/ComponentPrefab/FubenReform/PanelReformChar.prefab
UiReformBuffPanel	Assets/Product/Ui/ComponentPrefab/FubenReform/PanelReformBuff.prefab
UiReformEnvironmentPanel	Assets/Product/Ui/ComponentPrefab/FubenReform/PanelReformScene.prefab
UiSuperTowerBattleRoomRoleDetail	Assets/Product/Ui/ComponentPrefab/UiBattleRoomRoleDetailGroup/PanelSuperTowerRoomRoleDetail.prefab
UiSuperTowerBattleRoleRoom	Assets/Product/Ui/ComponentPrefab/UiRoomSingleGroup/PaenlSuperTowerRoomSingle.prefab
UiPanelSuperTowerChip	Assets/Product/Ui/Prefab/PanelSuperTowerChip.prefab
UiSameColorPanelMain	Assets/Product/Ui/ComponentPrefab/UiSameColorGame/PanelMain.prefab
UiSameColorPanelRole	Assets/Product/Ui/ComponentPrefab/UiSameColorGame/PanelRoleDetails.prefab
UiSameColorPanelBoss	Assets/Product/Ui/ComponentPrefab/UiSameColorGame/PanelBossDetails.prefab
UiSameColorPanelReady	Assets/Product/Ui/ComponentPrefab/UiSameColorGame/PanelReady.prefab
UiPickFlip01	Assets/Product/Ui/ComponentPrefab/FubenPickFlip/FuBenPickFlip01.prefab
UiPickFlip02	Assets/Product/Ui/ComponentPrefab/FubenPickFlip/FuBenPickFlip02.prefab
UiPickFlipGrid	Assets/Product/Ui/ComponentPrefab/FubenPickFlip/FuBenPickFlipStage01.prefab
XUiAreaWarBattleRoomRoleDetail	Assets/Product/Ui/ComponentPrefab/UiBattleRoomRoleDetailGroup/PanelAreaWarRoomRoleDetail.prefab
UiMemorySaveYishi	Assets/Product/Ui/ComponentPrefab/UiMemorySave/UiMemorySaveYiShi.prefab
UiTheatreRoleDetail	Assets/Product/Ui/Prefab/UiTheatreMainMassage.prefab
UiPivotCombatChapterGrid	Assets/Product/Ui/ComponentPrefab/UiPivotCombat/GridOrdonary.prefab
UiPivotCombatFinalChapterGrid	Assets/Product/Ui/ComponentPrefab/UiPivotCombat/GridExtrdonary.prefab
UiPanelBfrtRoomRoleDetail	Assets/Product/Ui/ComponentPrefab/UiBfrt/PanelBfrtRoomRoleDetail.prefab
UiPanelAssignRoomRoleDetail	Assets/Product/Ui/ComponentPrefab/UiAssign/PanelAssignRoomRoleDetail.prefab
UiPanelEscapeTeam	Assets/Product/Ui/ComponentPrefab/UiEscape/PanelEscapeTeam.prefab
UiPanelEscapeBattleRoomRoleDetail	Assets/Product/Ui/ComponentPrefab/UiEscape/UiPanelEscapeBattleRoomRoleDetail.prefab
UiGuildWarSelect	Assets/Product/Ui/ComponentPrefab/UiGuildWar/GuildWarSelect.prefab
UpCharacterIcon	Assets/Product/Ui/ComponentPrefab/UiGuildWar/UpCharacterIcon.prefab
UPCharacterTeamSkills	Assets/Product/Ui/ComponentPrefab/UiGuildWar/UPCharacterTeamSkills.prefab
UpCharacterSkill	Assets/Product/Ui/ComponentPrefab/UiGuildWar/UpCharacterSkill.prefab
PanelGuildWarSettle	Assets/Product/Ui/ComponentPrefab/UiGuildWar/PanelGuildWarSettle.prefab
PanelBabel	Assets/Product/Ui/ComponentPrefab/BabelTower/PanelBabel.prefab
PanelSpecialTrain	Assets/Product/Ui/ComponentPrefab/Set/PanelSpecialTrain.prefab
UiReformTimePanel	Assets/Product/Ui/ComponentPrefab/FubenReform/PanelReformTimer.prefab
UiReformEnemyBuffPanel	Assets/Product/Ui/ComponentPrefab/FubenReform/PanelReformEnemyBuff.prefab
PanelReformBattleRoomDetail	Assets/Product/Ui/ComponentPrefab/FubenReform/PanelReformBattleRoomDetail.prefab
PanelReformBattleRoom	Assets/Product/Ui/ComponentPrefab/FubenReform/PanelReformBattleRoom.prefab
DoomsdayFxUiTansuoluxian	Assets/Product/Effect/Prefab/FxUi/FxUiFunben/FxUiTansuoluxian.prefab
UiFxPanelEffect	Assets/Product/Ui/ComponentPrefab/GridStage/PanelEffect.prefab
PanelDlcBoss	Assets/Product/Ui/ComponentPrefab/Set/PanelDlcBoss.prefab
UiSetPanelFightSetPC	Assets/Product/Ui/ComponentPrefab/Set/PanelFightSetPC.prefab
UiSetPanelGraphicsSetPC	Assets/Product/Ui/ComponentPrefab/Set/PanelGraphicsSetPC.prefab
UiSetPanelOtherPC	Assets/Product/Ui/ComponentPrefab/Set/PanelOtherPC.prefab
UiSetPanelAccount	Assets/Product/Ui/ComponentPrefab/Set/PanelAccountSwich.prefab
UiGachaNewYearSteap1	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxPre.prefab
BtnNetworkMode	Assets/Product/Ui/ComponentPrefab/UiLogin/BtnNetworkMode.prefab
BtnServer	Assets/Product/Ui/ComponentPrefab/UiLogin/BtnServer.prefab
PanelNetworkModeTip	Assets/Product/Ui/ComponentPrefab/UiLogin/PanelNetworkModeTip.prefab
UiSetPanelAccountPC	Assets/Product/Ui/ComponentPrefab/Set/PanelAccountSwichPC.prefab
