UiName	ParentUiName	LoadWithParent	UiType	UiResType	PrefabUrl	SceneUrl	ModelUrl	CacheTime	Recycle	HideSetPosition	FightingStay
UiActivityBaseChild	UiActivityBase			Bundle	Assets/Product/Ui/Prefab/UiActivityBaseChild.prefab			5000			0
UiGameNotice	UiActivityBase			Bundle	Assets/Product/Ui/Prefab/UiGameNotice.prefab			5000			0
UiFubenBranchStageDetail	UiActivityBranch			Bundle	Assets/Product/Ui/Prefab/UiFubenBranchStageDetail.prefab			5000			0
UiActivityBriefTask	UiActivityBriefBase			Bundle	Assets/Product/Ui/Prefab/UiActivityBriefTask.prefab			5000			0
UiArchiveMonsterComment	UiArchiveMonsterDetail			Bundle	Assets/Product/Ui/Prefab/UiArchiveMonsterComment.prefab			5000			0
UiArchiveMonsterEvaluate	UiArchiveMonsterDetail			Bundle	Assets/Product/Ui/Prefab/UiArchiveMonsterEvaluate.prefab			5000			0
UiArchiveWeaponAchievement	UiArchiveWeapon		Normal	Bundle	Assets/Product/Ui/Prefab/UiArchiveWeaponsCollection.prefab			5000			0
UiBabelTowerChildSupport	UiBabelTowerBase			Bundle	Assets/Product/Ui/Prefab/UiBabelTowerChildSupport.prefab			5000			0
UiBabelTowerChildChallenge	UiBabelTowerBase			Bundle	Assets/Product/Ui/Prefab/UiBabelTowerChildChallenge.prefab			5000			0
UiBfrtQuickDeploy	UiBfrtDeploy		Normal	Bundle	Assets/Product/Ui/Prefab/UiBfrtQuickDeploy.prefab			5000			0
UiPanelCharacterExchange	UiCharacter			Bundle	Assets/Product/Ui/Prefab/UiPanelCharacterExchange.prefab			5000			0
UiCharacterOwnedInfo	UiCharacter	1		Bundle	Assets/Product/Ui/Prefab/UiCharacterOwnedInfo.prefab			5000			0
UiCharacterUnOwnedInfo	UiCharacter			Bundle	Assets/Product/Ui/Prefab/UiCharacterUnOwnedInfo.prefab			5000			0
UiPanelCharProperty	UiCharacter			Bundle	Assets/Product/Ui/Prefab/UiPanelCharProperty.prefab			5000			0
UiPanelEquipInfo	UiCharacterDetail	1		SetGameObject	UiPanelEquipInfo			5000			0
UiPanelTeamInfo	UiCharacterDetail	1		SetGameObject	UiPanelTeamInfo			5000			0
UiClickClearReward	UiClickClearGame			Bundle	Assets/Product/Ui/Prefab/UiClickClearReward.prefab			5000			0
UiFubenCoupleCombatDetail	UiCoupleCombatMain		Normal	Bundle	Assets/Product/Ui/Prefab/UiFubenCoupleCombatDetail.prefab			5000			0
UiCoupletAward	UiCoupletGame		Normal	Bundle	Assets/Product/Ui/Prefab/UiCoupletAward.prefab			5000			0
UiDormFoundryDetail	UiDormWork		Normal	Bundle	Assets/Product/Ui/Prefab/UiDormFoundryDetail.prefab			5000			0
UiDrawActivityShow	UiDrawActivity			Bundle	Assets/Product/Ui/Prefab/UiDrawActivityShow.prefab		Assets/Product/Ui/UiModel/UiDrawActivity/UiDrawShow.prefab	5000			0
UiEquipBreakThrough	UiEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipBreakThrough.prefab			5000			0
UiEquipDetailChild	UiEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipDetailChild.prefab			5000			0
UiEquipResonanceSelect	UiEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipResonanceSelect.prefab			5000			0
UiEquipResonanceSelectCharacter	UiEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipResonanceSelectCharacter.prefab			5000			0
UiEquipResonanceSelectItem	UiEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipResonanceSelectItem.prefab			5000			0
UiEquipResonanceSelectEquip	UiEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipResonanceSelectEquip.prefab			5000			0
UiEquipResonanceSkill	UiEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipResonanceSkill.prefab			5000			0
UiEquipStrengthen	UiEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipStrengthen.prefab			5000			0
UiEquipResonanceAwake	UiEquipDetail			Bundle	Assets/Product/Ui/Prefab/UiEquipResonanceAwake.prefab			5000			0
UiEquipDetailChildOther	UiEquipDetailOther			Bundle	Assets/Product/Ui/Prefab/UiEquipDetailChild.prefab			5000			0
