Id	Name	SkipId	TimeId	BtnInitMethodName	desc
1	Main Event	20185	-1	RefreshActivityMainLine	BtnActivityMainLine -- Main Event
2	Side Event	8000		RefreshActivityBranch	BtnActivityBranch -- Side Event
3	Solo Boss Event	11724	15021	RefreshActivityBossSingle	BtnActivityBossOnline -- Solo Boss Event (Brutal Level)
4	8/6-8/20	20019		RefreshActivityBossOnline	BtnActivityBossOnline -- Co-op Boss Event
5	Interlude 1	20117		RefreshAllActivityPrequel	BtnActivityPrequel -- Interlude Story - Character A
6	Babel Tower	20015	14804	RefreshActivityBabelTower	BtnActivityBabelTower -- Babel Tower
7	Roguelike Ascension	20018		RefreshActivityRogueLike	BtnActivityRougueLike -- Tower Climb
8	Multi Clear	20017	15901	RefreshActivityRepeateChallenge	BtnActivityRepeatChallenge -- Multi Clear
9	Regional Co-op	11723		RefreshActivityArenaOnline	BtnActivityArenaOnline -- Regional Co-op
10	Sniper Battle	11722		RefreshActivityUnionKill	BtnActivityUnionKill  -- Sniper Battle
11	Short Story	11729		RefreshActivityShortStories	BtnActivityShortStories  -- Short Story
12	Interlude 2	11731		RefreshAllActivityPrequel	BtnActivityPrequel2  -- Interlude Story - Character B
13	Autopoiesis Maze	11726		RefreshActivityLabyrinth	BtnActivityLabyrinth  -- Maze
14	Guild System	15001		RefreshActivitySociety	BtnActivitySociety  -- Guild
15	Resources AE-5	11728		RefreshActivityResource	BtnActivityResource  -- Resources
16	Training Stage	85010	13201	RefreshActivitySpecialTrain	BtnActivityBigWar - Grand Operation (Special Training)
17	Kowloong War	99998		RefreshActivityExtra	BtnActivityExtra  -- Extra - Normal
18	World Boss	11735		RefreshWorldBoss	BtnActivityWorldBoss  -- World Boss
19	Auto Chess	20104		RefreshExpedition	BtnActivityExpedition  -- Auto Chess
20	New Ultimate Zone	10009		RefreshFubenBossSingle	BtnActivityFubenBossSingle  -- Phantom Pain Cage
21	Event Shop	20055		RefreshActivityShop	BtnActivityShop — Event Shop
22	Extra - Hidden	99995		RefreshActivityExtra	BtnActivityExtra2  -- Extra - Hidden
23	Board Game Mode	11737		RefreshMaintainerAction	BtnActivityRicher -- Board Game Mode
24	RPG Mode	11736	12201	RefreshRpgTower	BtnActivityRpgTower -- RPG Mode
25	Event Draw	20053		RefreshDrawActivity	BtnActivityDrawCard - Event Draw
26	Fake Ascension - Main Roleplay Event	11738		RefreshTRPG	BtnTRPGMainLine - Fake Ascension - Main Roleplay Event
27	New Construct Preview	20071	15821	RefreshNewCharActivity	BtnActivityNewRole -- New Construct Trial: SkipId Long-term Copy
28	Preview Stage	10035	15820	RefreshFubenActivityTrial	BtnFubenActivityTrial -- Coating Trial Stage
29	Mentorship System	15003		RefreshShiTu	BtnActivityShitu - Mentorship System
30	Nier Mode	11749		RefreshNier	BtnActivityRicher -- Nier Mode
31	Micawberism Cloisters	11750		RefreshPokemon	BtnActivityPokemon--Micawberism Cloisters
32	Chestlefield	11751		RefreshPursuit	BtnActivityPursuit--Chestlefield
33	Super Stronghold	70001		RefreshStrongHold	BtnActivityNorman — Super Stronghold
34	Simulated Battle	11752		RefreshSimulate	BtnActivityAnalogy — Simulated Battle
35	Pet	7110		RefreshPartner	BtnActivityPet — Pet
36	2021 White Day Event	80011			BtnActivityWhiteValentine -- 2021 White Day
37	Ro-sham-bo Mini-game	11753			BtnActivityFingerGuessing -- Ro-sham-bo Mini-game
38	Moe War	11756		RefreshMoeWar	BtnActivityMoeWar-- Moe War
39	Pet Cards Drawing System	7212		RefreshPetCard	BtnActivityPetCard -- CUB Research System
40	New CUB Event	7109		RefreshPetTrial	BtnActivityPetTrial -- New CUB Event
41	Poker Guessing	11761		RefreshPokerGuessing	BtnActivityPokerGuessing -- Poker Guessing
42	Hacking Mode	11758		RefreshHack	BtnActivityRicher -- Hack Stage
43	Push Box	81103		RefreshRpgMaker	BtnActivityFubenRpgMakerGame —馈春授礼
44	Modify Mode	81104	10701	RefreshReform	BtnActivityReform -- Modify Mode
45	Co-op	82001	13501	RefreshCoupleCombat	BtnActivityCoupleCombat--Co-op
46	Super Tower Climb	20084	13301	RefreshSuperTower	BtnActivityBabelTower -- Super Tower Climb
47	Summer Event Stages	20088		RefreshSummerSeries	BtnActivitySummerEpsiodeTen --Summer Event Stages
48	Killing Space	11724		RefreshKillZone	BtnActivityKillZone — Killing Space
