Id	StageId	Title	WebUrl	Icon	TeachIcon	HeadLine[1]	Description[1]	HeadLine[2]	Description[2]	HeadLine[3]	Description[3]	HeadLine[4]	Description[4]	HeadLine[5]	Description[5]	HeadLine[6]	Description[6]
1011002	30030301	Controlling Bullet	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Li.png	Controlling Bullet: <color=#0d70bc>Ping Yellow Orb + Ping Red Orb</color>	After pinging a Yellow Orb, the next Red Orb projectile will grant <color=#FF6347>Blast</color>, making Lee's shot explode after hitting the target, dealing Fire DMG to enemies in the area.										
1021001	30030301	Lotus - Dual Blades	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/IconGuide/GuideR1Luxiya.png	Lotus - Dual Blades: <color=#0d70bc>Any 3-Ping + Ping Red Orb</color>	Lucia: Lotus enters Burst Form when a Red Orb is pinged within 4s after any 3-Ping, replacing Basic Attacks with <color=#FF6347>Dual Blades</color>. Lotus - Dual Blades: Attacks the enemy multiple times, dealing Physical DMG.										
1031001	30030301	Laser Cluster	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/IconGuide/GuideR1Lifu.png	Laser Cluster: <color=#0d70bc>Any 3-Ping + Ping Red Orb</color>	After any 3-Ping, the next Red Orb skill will unleash Laser Cluster that deals Physical DMG.										
1041002	30030301	Quiver Of Mercy	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Bianka.png	Quiver of Mercy: <color=#0d70bc>Any 3-Ping + Tap Signature</color>	Stores 1 energy arrow in the quiver after every 3-Ping. All arrows will be released when casting the next Signature Move, dealing Extra Physical DMG to the target.										
1051001	30030301	EX - Slash Storm	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Yongyechao.png	EX - Slash Storm: <color=#0d70bc>Any 3-Ping + Ping Yellow Orb</color>	When pinging a Yellow Orb after any 3-Ping, Nanami: Storm will cast EX - Slash Storm to launch consecutive attacks at nearby enemies, dealing Physical DMG.										
1061002	30030301	Offence-Defense Rhythm	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Shenwei.png	Offence-Defense Rhythm: <color=#0d70bc>Any 3-Ping</color>	Gains Charge points after any 3-Ping. When there are Charge points, Kamui: Bastion's ATK increases. Charge points decrease over time.										
1071002	30030301	Artillery Tactics	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Kalienina.png	Artillery Tactics: <color=#0d70bc>Three 3-Pings + Tap Basic Attack</color>	Karenina: Blast enters <color=#FF6347>Burst Form</color> after <color=#FF6347>three</color> 3-Pings or casting a Signature Move, replacing her Basic Attacks with ranged artillery attacks.										
1081002	30030301	Fleeting Phantom	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	Assets/Product/Texture/Image/IconGuide/GuideR2Dubian.png	Fleeting Phantom: <color=#0d70bc>Two 3-Pings + Tap Basic Attack</color>	The final strike of each 3-Ping marks the target. Releases a shade when the mark reaches <color=#FF6347>2</color> stacks. The shade attacks once with every Basic Attack.										
1031002	30030301	Reversed Egretfield	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	Assets/Product/Texture/Image/IconGuide/GuideR2Lifu.png	Reversed Egretfield: <color=#0d70bc>Ping Reb Orb (chance to trigger)/Ping Yellow Orb + Tap Basic Attack (chance to trigger)</color>	When Basic Attacks hit marked enemies, there is a chance to trigger <color=#FF6347>Lightning Lure</color> and deal Lightning DMG. Pinging Red Orbs also has a chance to trigger <color=#FF6347>Lightning Lure</color>. After triggering <color=#FF6347>Lightning Lure</color> for <color=#FF6347>4</color> times, the next <color=#FF6347>Lightning Lure</color> will summon <color=#FF6347>Ex - Lightning Lure</color>, dealing Lightning DMG and healing allies in the area.										
1021002	30030301	Lotus - Lightning Dance	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	Assets/Product/Texture/Image/IconGuide/GuideR2Luxiya.png	Lotus - Lightning Dance: <color=#0d70bc>Ping Yellow/Blue Orb + Tap Basic Attack (chance to trigger)</color>	<color=#FF6347>Lightning Lure</color>: Attacking a marked enemy has a chance to summon a lightning bolt to strike the target, dealing Lightning DMG.										
1061003	30030301	Fighting Will	http://zspnscdn.yingxiong.com/server/notice/html/5d1d6d981ab8a03bd8b24d21.html	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/IconGuide/GuideR3Shenwei.png	Fighting Will: <color=#0d70bc>Any 3-Ping</color>	Gains an extra <color=#FF6347>10</color> Energy upon a 3-Ping.	Fighting Will: <color=#0d70bc>Dark Form + Passive</color>	In <color=#FF6347>Dark Form</color>, Physical Resistance and Dark Resistance increase.								
