Key	Comment	Values[1]	Values[2]	Values[3]	Values[4]	Values[5]	Values[6]	Values[7]	Values[8]
HelpKey	Help Key	GoldenMiner							
MaxItemGridCount	Max item slots	4							
ScoreIcon	Point icon	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMineIcon01.png							
UseItemCd	Item cooldown (in seconds)	0.5							
RopeStretchSpeed	Rope extending base speed	700							
RopeShortenSpeed	Rope pulling back base speed	550							
HumenMoveSpeed	Miner horizontal base movement speed	250							
RopeRockSpeed	Rope horizontal swing base speed	80							
UnlockRoleItemId	The ID of the item for unlocking character progress	96000							
RoleMoveRangePercent	Character moving range percentage	70							
GameNearEndTime	Gameplay nearing end time (in seconds)	10							
GameStopCountdown	Pause timer (in seconds)	3							
DefaultShip	Default UFO	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerAirshipA.png							
MaxSpeedShip	UFO at max movement speed	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerAirshipB.png							
MaxClampShip	UFO at max grabbing speed	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerAirshipC.png							
FinalShip	The fully complete UFO	Assets/Product/Texture/Image/UiGoldenMiner/UiGoldenMinerAirshipE.png							
DefaultShipSize	Default UFO Size	204	148						
MaxSpeedShipSize	UFO size at max movement speed	206	148						
MaxClampShipSize	UFO size at max grabbing speed	210	158						
FinalShipSize	The fully complete UFO size	210	158						
ShortenSpeedParameter	Pulling back speed formula's parameter A	100							
ShortenMinSpeed	Pulling back minimum speed	75							
RoleGrapSuccessTime	The time it takes to switch back to the default Stamp after grabbing an item (in milliseconds)	1000							
UseItemSpeed	Speed of using an item to grab something	300							
UseBoomEffect	Use bomb special effect	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao2.prefab							
FinalShipMaxCount	Upgrade options required to display a fully complete UFO	2							
AddScoreSound	Scoring sound effect	2551							
StretchSound	Extending rope sound effect	2544							
ShortenSound	Pulling back rope sound effect	2545							
SelfDestroyEffect	Auto-Destruction Bomb Effect	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1Empty.prefab							
TypeBoomEffect	Season 2 Lee: Hyperreal Big Cannon Item Explosion Effect	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1Quiet.prefab							
TipAnimTime	The length of tip amination when obtaining an item or gaining more time (Unit: ms)	1000							
TipAnimMoveLength	The floating-up distance on the game interface when obtaining an item or gaining more time	30							
WeightFloatEffect	Using Gravity Item Effect	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattlePingmu02.prefab							
StopTimeStartEffect	Stopping Time Start Effect	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattlePingmu01On.prefab							
StopTimeStopEffect	Stopping Time End Effect	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattlePingmu01Off.prefab							
