Id	Name	Type	Prefab	Score	StartMoveDirection	MoveType	MoveRange	MoveSpeed	BornDelay	DestoryTime	Weight	CarryStoneId	CatchEffect
1	Small Gold	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Gold.prefab	100							10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
2	Medium Gold	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldMid.prefab	250							100		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
3	Large Gold	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldGra.prefab	600							300		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
4	Diamond	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Diamond.prefab	400							5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
5	Large Diamond	3	Assets/Product/Ui/ComponentPrefab/GoldenMiner/DiamondMid.prefab	800							5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
6	Red Packet Chest	6	Assets/Product/Ui/ComponentPrefab/GoldenMiner/RedEnvelope.prefab	1									Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
7	Item Crate	6	Assets/Product/Ui/ComponentPrefab/GoldenMiner/ToolCase.prefab	2									Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
8	Hourglass	8	Assets/Product/Ui/ComponentPrefab/GoldenMiner/SandGlass.prefab	3							5		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
10	Bomb	4	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Boom.prefab										Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleBao1.prefab
11	Small Stone	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/Stone.prefab	20							50		
12	Medium Stone	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneMid.prefab	40							200		
13	Large Stone	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneGra.prefab	60							300		
14	Easter Egg Small Gold	2	Assets/Product/Ui/ComponentPrefab/GoldenMiner/GoldStinger.prefab	100							10		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
101	1003 — Satellite Stone	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneSatellite.prefab	20	120	3	80	-60			50		
102	2006 — Satellite Stone 1	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneSatellite.prefab	20	360	3	80	80			50		
103	2006 — Satellite Stone 2	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneSatellite.prefab	20	72	3	80	80			50		
104	2006 — Satellite Stone 3	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneSatellite.prefab	20	144	3	80	80			50		
105	2006 — Satellite Stone 4	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneSatellite.prefab	20	216	3	80	80			50		
106	2006 — Satellite Stone 5	1	Assets/Product/Ui/ComponentPrefab/GoldenMiner/StoneSatellite.prefab	20	288	3	80	80			50		
201	Left Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	250	260			6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
202	Right Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	250	260			6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
203	1001 — Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	800	260			6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
204	1002 — Normal Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	800	260			6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
205	1002 — Hourglass Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	800	235			6	910	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
206	1002 — Colorful Diamond Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	-1	1	600	285			6	906	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
207	1003 — Normal Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMao.prefab	500	1	1	750	250			6		Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
208	1003 — Shooting Star Red Packet Dingchun	5	Assets/Product/Ui/Spine/UiSpine/UiGoldenMinerSpine/UiGoldenMineMaoEf.prefab	500	-1	1	2680	153	10	17	6	908	Assets/Product/Effect/Prefab/FxUi/FxUiGoldenMinerBattle/FxUiGoldenMinerBattleZhua.prefab
