Id	FaceImage	FaceGroup	Weight	Score
1	Assets/Product/Role/Room/QBq/QBqR2YongyechaoEnjoy01.png			
2	Assets/Product/Role/Room/QBq/QBqR2YongyechaoDoubt01.png			
3	Assets/Product/Role/Room/QBq/QBqR2YongyechaoHostile01.png			
4	Assets/Product/Role/Room/QBq/QBqR2YongyechaoDull01.png			
5	Assets/Product/Role/Room/QBq/QBqR2YongyechaoDizzy01.png	1	150	
6	Assets/Product/Role/Room/QBq/QBqR2YongyechaoAngry01.png	1	80	
7	Assets/Product/Role/Room/QBq/QBqR2YongyechaoClosed01.png	1	0	
8	Assets/Product/Role/Room/QBq/QBqR2YongyechaoLike01.png	2		500
9	Assets/Product/Role/Room/QBq/QBqR2YongyechaoSleep01.png	2		300
10	Assets/Product/Role/Room/QBq/QBqR2YongyechaoHappy01.png	2		100
11	Assets/Product/Role/Room/QBq/QBqR2YongyechaoHate01.png	2		0
12	Assets/Product/Role/Room/QBq/QBqQR3WeilaBase.png			
13	Assets/Product/Role/Room/QBq/QBqQR3WeilaBase.png			
14	Assets/Product/Role/Room/QBq/QBqR2YongyechaoProud01.png	3		
15	Assets/Product/Role/Room/QBq/QBqR2YongyechaoHate01.png	3		100
16	Assets/Product/Role/Room/QBq/QBqR2YongyechaoProud01.png			
17	Assets/Product/Role/Room/QBq/QBqR2YongyechaoProud01.png	4		0
18	Assets/Product/Role/Room/QBq/QBqR2YongyechaoHate01.png	4		499
19	Assets/Product/Role/Room/QBq/QBqR2YongyechaoProud01.png			
20	Assets/Product/Role/Room/QBq/QBqR2YongyechaoProud01.png			
21	Assets/Product/Role/Room/QBq/QBqR2YongyechaoProud01.png			
22	Assets/Product/Role/Room/QBq/QBqR2YongyechaoProud01.png			
23	Assets/Product/Role/Room/QBq/QBqR2YongyechaoProud01.png			
24	Assets/Product/Role/Room/QBq/QBqR2YongyechaoProud01.png			
25	Assets/Product/Role/Room/QBq/QBqR2YongyechaoHappy01.png			
26	Assets/Product/Role/Room/QBq/QBqR2YongyechaoHappy01.png			
27	Assets/Product/Role/Room/QBq/QBqR2YongyechaoHappy01.png			
