Id	Life	Attack	Defense	Pierce	PhysicalAmp	Element1Amp	Element2Amp	Element3Amp	Element4Amp	PhysicalReduction	Element1Reduction	Element2Reduction	Element3Reduction	Element4Reduction	PhysicalPierce	Element1Pierce	Element2Pierce	Element3Pierce	Element4Pierce	PhysicalResistance	Element1Resistance	Element2Resistance	Element3Resistance	Element4Resistance	DamageBonus	DamageReduction	Crit	CritResistance	CritDamage	PartDamageBonus	PartDamageReduction	ThreatRate	CharacterValue	Sp	IdleSpinningSpeed	RunSpinningSpeed	DodgeEnergy	JumpEnergy	DodgeEnergyRegen	JumpEnergyRegen	CustomEnergyGroup1	CustomEnergyGroup2	CustomEnergyGroup3	CustomEnergyGroup4
1002	10000	750	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				200	4	1.05	1.05	1000	1000	5	5	120	80	100	100
1003	100000	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				200	4	1.05	1.05	1000	1000	5	5	100	100	100	100
1006	100000	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				200	4	1.05	1.05	1000	1000	5	5	100	100	100	100
9003	99999999	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				0	0	1.05	1.05	0	0	0	0	100	100	100	100
9536	2000	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				0	0	1.05	1.05	0	0	0	0	100	100	100	100
8001	1200000	500	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				0	0	1.05	1.05	0	0	0	0	100	100	100	100
8002	9999999	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				0	0	1.05	1.05	0	0	0	0	100	100	100	100
8004	999999	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				0	0	1.05	1.05	0	0	0	0	100	100	100	100
1014	7000	850	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				200	4	1.05	1.05	1000	1000	5	5	120	80	100	100
1007	2000	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000				200	4	1.05	1.05	1000	1000	5	5	1000	1000	100	100
