RoleId	Name	RoleStoryIcon	Race	Age	Height	Weight	Wepon	Team	FacePosX	FacePosY
1021001	Lucia	RoleStory.LuxiyaNormal01	Construct|01	17	165	48	Tachi	Gray Raven	562.9	-397.9
1031001	Liv	RoleStory.LifuNormal01	Construct|09	16	155	43	Levi-Gun	Gray Raven	545.8	-421.7
1011001	Lee	RoleStory.LiangNomal01	Construct|09	19	178	63	Gun	Gray Raven	544.7	-343.2
1041001	Nanami	RoleStory.Yongyechaonormal01	Construct|09	13	145	45	Saw	???	475.9	-410.9
1081001	Kamui	RoleStory.ShenweiNormal01	Construct|11	18	180	65	Greatsword	Strike Hawk	507.5	-233.4
1091001	Bianca	RoleStory.OlisuoNomal01	Construct|01	26	170	52	Bow	Purifying Force	476.5	-385.5
1101001	Watanabe	RoleStory.DubianNormal01	Construct|01	28	184	67	Dagger	Forsaken	453.5	-293
1111001	Karenina	RoleStory.KalieninaNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	490.5	-400.4
500001	Celica	RoleStory.SailikaNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500002	Vera	RoleStory.SuoleiyouNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500003	Yae	RoleStory.BachongNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500004	Asimov	RoleStory.AximofuNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500005	Human Soldier	RoleStory.TongyongrenleibingNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500006	Corrupted Construct	RoleStory.GanrangouzaotiNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500007	Chrome	RoleStory.KuluomuNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500008	Roland	RoleStory.LuolanNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	398.4	-250
500009	Celica 2	RoleStory.SailikaNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500010	Vera 2	RoleStory.SuoleiyouNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500011	Hassen	RoleStory.HasangNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500012	Nikola	RoleStory.NikelaNomal01	Construct|03	18	160	45	Hand Cannon	Purifying Force	507.2	-281.5
500013	Common Corrupted	RoleStory.TongyongganrantiNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
500014	Camu	RoleStory.KamuNomal	Construct|03	18	160	45	Hand Cannon	Purifying Force	545.8	-421.7
