Id	MapId	Type	X	Y	BrokenType
1	1201	1	1	5	
2	1201	1	5	3	
3	1201	1	7	7	
4	1202	1	6	4	
5	1203	1	3	6	
6	1203	1	4	3	
7	1203	1	6	2	
8	1203	1	7	2	
9	1203	1	7	3	
10	1203	1	8	2	
11	1203	1	8	3	
12	1203	1	8	4	
13	1204	1	1	3	
14	1204	1	7	3	
15	1205	1	1	7	
16	1205	1	6	7	
17	1205	1	8	7	
18	1205	1	6	5	
19	1206	1	3	4	
20	1206	1	3	5	
21	1206	1	3	6	
22	1206	1	3	7	
23	1206	1	4	1	
24	1206	1	4	2	
25	1206	1	4	3	
26	1206	1	4	4	
27	1206	1	4	5	
28	1206	1	4	6	
29	1206	1	4	7	
30	1206	1	5	1	
31	1206	1	5	2	
32	1206	1	5	3	
33	1206	1	5	4	
34	1206	1	5	5	
35	1206	1	5	6	
36	1206	1	5	7	
37	1207	1	2	3	
38	1207	1	2	4	
39	1207	1	2	5	
40	1208	1	1	8	
41	1208	1	3	8	
42	1208	1	2	8	
43	1208	1	1	4	
44	1208	1	2	2	
45	1208	1	2	3	
46	1208	1	3	2	
47	1208	1	4	2	
48	1208	1	4	4	
49	1208	1	4	5	
50	1208	1	6	4	
51	1208	1	6	5	
52	1209	1	8	1	
53	1209	1	8	2	
54	1209	1	8	3	
55	1210	1	3	5	
56	1301	2	3	3	
57	1301	2	3	6	
58	1301	2	4	7	
59	1301	2	5	7	
60	1301	2	6	3	
61	1301	2	6	6	
62	1301	3	2	4	
63	1301	3	2	5	
64	1301	3	3	5	
65	1301	3	4	5	
66	1301	3	5	5	
67	1301	3	6	5	
68	1301	3	7	5	
69	1301	3	7	4	
70	1302	2	5	4	
71	1302	2	5	5	
72	1302	2	5	6	
73	1302	3	2	4	
74	1302	3	3	4	
75	1302	3	3	5	
76	1304	3	7	4	
77	1304	3	7	5	
78	1304	3	8	2	
79	1304	3	8	3	
80	1304	3	8	4	
81	1304	3	8	5	
82	1304	3	8	6	
