Id	X	Y	Direction	Desc
1101	6	7	1	"Start from 1, both X and Y axis, the direction is the player's initial direction"
1102	1	6	4	
1103	7	7	1	
1104	2	5	4	
1105	4	7	4	
1106	1	1	3	
1107	3	2	1	
1108	5	3	1	
1109	2	3	4	
1110	8	6	1	
1201	4	7	4	
1202	3	7	4	
1203	1	3	2	
1204	6	1	3	
1205	3	2	2	
1206	6	3	2	
1207	2	6	4	
1208	6	3	1	
1209	1	5	2	
1210	3	3	3	
1301	2	7	4	
1302	1	2	2	
1303	2	7	4	
1304	1	7	4	
1305	2	6	4	
1306	1	2	3	
1307	8	6	4	
1308	8	3	4	
1309	6	4	4	
1310	4	4	1	
1401	2	7	4	
1402	2	6	3	
1403	2	4	4	
1404	7	2	3	
1405	2	5	2	
1406	1	2	2	
1407	2	7	4	
1408	4	8	4	
1409	3	5	4	
1410	3	6	4	
1501	2	7	4	
1502	6	8	1	
1503	5	4	4	
1504	4	8	1	
1505	5	5	4	
1506	5	5	1	
1507	4	3	4	
1508	7	3	4	
1509	4	4	4	
1510	7	6	1	
2101	2	6	4	
2102	1	2	3	
2103	2	7	2	
2104	4	2	1	
2105	4	2	1	
2106	6	6	4	
2107	1	4	3	
2108	4	2	1	
2109	8	5	1	
2110	1	2	2	
2201	2	7	4	
2202	2	6	4	
2203	2	8	4	
2204	4	4	1	
2205	1	2	2	
2206	1	7	4	
2207	8	3	3	
2208	2	8	4	
2209	1	4	2	
2210	5	2	3	
2301	2	3	2	
2302	3	7	4	
2303	4	2	3	
2304	3	6	4	
2305	6	4	4	
2306	6	5	4	
2307	5	4	4	
2308	4	6	4	
2309	2	4	4	
2310	2	3	2	
2401	4	7	4	
2402	4	1	3	
2403	2	4	4	
2404	2	2	4	
2405	2	4	3	
2406	5	5	4	
2407	3	3	4	
2408	3	3	4	
2409	1	4	4	
2410	2	6	4	
2501	5	4	3	
2502	1	8	4	
2503	7	1	1	
2504	4	7	4	
2505	3	5	4	
2506	3	3	1	
2507	1	2	2	
2508	4	3	4	
2509	3	3	4	
2510	5	3	1	
3101	2	7	4	
3102	3	7	4	
3103	5	4	3	
3104	2	7	4	
3105	6	5	1	
3106	2	4	3	
3107	4	3	4	
3108	3	5	4	
3201	5	1	1	
3202	1	2	3	
3203	5	2	3	
3204	2	7	4	
3205	1	1	3	
3206	6	8	4	
3207	1	2	3	
3208	5	4	4	
3301	7	7	4	
3302	4	7	4	
3303	5	5	4	
3304	5	2	4	
3305	2	8	4	
3306	7	3	4	
3307	4	3	4	
3308	4	1	3	
3401	7	7	4	
3402	1	7	2	
3403	1	2	2	
3404	6	4	4	
3405	7	6	4	
3406	4	1	4	
3407	2	7	4	
3408	7	5	4	
1001	2	6	4	Start from 1, both X and Y axis, the direction is the player's initial direction
