Id	MapId	X	Y	Direction	Desc
1	1103	4	3	4	1 is the line on the left of the grid, 2 is the line on the right, 3 is the line on the top, and 4 is the line on the bottom
2	1103	5	3	4	
3	1103	5	3	2	
4	1103	6	7	4	
5	1104	2	4	1	
6	1104	2	4	1	
7	1104	2	7	4	
8	1104	3	7	4	
9	1104	4	7	4	
10	1104	2	3	4	
11	1104	3	3	4	
12	1104	4	3	4	
13	1104	4	4	2	
14	1104	5	3	2	
15	1106	4	5	4	
16	1107	3	3	4	
17	1107	4	7	4	
18	1107	5	7	4	
19	1108	1	3	2	
20	1108	2	1	2	
21	1108	2	5	2	
22	1108	2	6	2	
23	1108	4	4	4	
24	1108	5	2	2	
25	1108	5	6	2	
26	1108	6	3	2	
27	1108	7	4	2	
28	1108	8	1	3	
29	1109	2	6	1	
30	1109	2	6	3	
31	1109	3	6	4	
32	1109	4	6	4	
33	1110	2	1	2	
34	1110	6	8	4	
35	1201	2	6	4	
36	1201	3	5	4	
37	1201	4	5	4	
38	1201	4	6	2	
39	1201	4	7	2	
40	1201	7	7	1	
41	1202	2	6	4	
42	1202	3	6	2	
43	1203	3	3	2	
44	1203	3	4	2	
45	1203	3	7	4	
46	1203	4	7	4	
47	1204	3	4	2	
48	1204	3	5	2	
49	1204	3	7	2	
50	1204	7	3	2	
51	1204	7	3	4	
52	1206	2	4	4	
53	1206	3	4	4	
54	1206	4	4	4	
55	1206	5	5	2	
56	1206	6	3	1	
57	1206	6	3	4	
58	1206	7	3	4	
59	1206	8	3	4	
60	1207	3	3	4	
61	1207	4	3	4	
62	1207	5	3	3	
63	1207	5	3	2	
64	1207	3	5	2	
65	1208	3	2	4	
66	1208	4	2	4	
67	1208	3	5	2	
68	1208	4	7	2	
69	1208	6	4	2	
70	1208	6	5	2	
71	1208	7	2	2	
72	1208	7	3	2	
73	1209	6	2	2	
74	1209	6	3	2	
75	1209	5	5	4	
76	1210	5	6	4	
77	1210	6	4	4	
78	1210	7	4	4	
79	1210	8	6	4	
80	1302	2	6	2	
81	1302	2	3	4	
82	1302	3	3	4	
83	1302	4	3	4	
84	1302	5	2	2	
85	1302	5	3	2	
86	1304	1	3	4	
87	1305	1	4	2	
88	1305	1	5	2	
89	1305	2	3	2	
90	1305	3	6	2	
91	1305	4	2	4	
92	1305	4	2	2	
93	1305	4	3	2	
94	1305	5	2	4	
95	1305	6	7	4	
96	1305	7	4	2	
97	1305	7	5	2	
98	1305	7	7	2	
99	1306	2	2	2	
100	1306	2	7	4	
101	1306	3	6	2	
102	1306	4	7	2	
103	1306	7	3	2	
104	1306	7	5	4	
105	1307	3	5	1	
106	1307	3	5	3	
107	1307	3	8	2	
108	1307	3	1	2	
109	1307	3	2	2	
110	1307	6	6	2	
111	1307	7	2	4	
112	1307	8	3	4	
113	1307	8	5	4	
114	1308	1	6	4	
115	1308	3	3	2	
116	1308	5	5	3	
117	1308	5	5	2	
118	1308	4	6	2	
119	1308	3	6	4	
120	1308	3	6	4	
121	1308	5	6	1	
122	1309	1	4	2	
123	1309	1	5	2	
124	1309	1	6	2	
125	1309	2	6	3	
126	1309	7	6	4	
127	1310	3	5	2	
128	1401	2	6	2	
129	1401	2	7	2	
130	1401	4	5	1	
131	1401	4	5	3	
132	1401	5	3	2	
133	1401	5	3	4	
134	1402	1	6	4	
135	1402	2	6	4	
136	1402	3	6	4	
137	1402	2	3	1	
138	1402	2	3	4	
139	1402	3	3	4	
140	1402	3	4	1	
141	1404	2	5	2	
142	1405	2	6	3	
143	1405	5	4	4	
144	1405	6	4	4	
145	1407	1	1	2	
146	1407	4	7	2	
147	1407	6	6	4	
148	1408	5	2	2	
149	1408	5	3	2	
150	1408	5	5	2	
151	1408	5	6	2	
152	1409	2	3	4	
153	1409	2	7	1	
154	1409	2	8	4	
155	1409	3	8	4	
