Id	MapId	Row	Col[1]	Col[2]	Col[3]	Col[4]	Col[5]	Col[6]	Col[7]	Col[8]
1	1101	8	1	1	1	1	1	1	1	1
2	1101	7	1	1	0	0	0	0	1	1
3	1101	6	1	1	0	1	1	1	1	1
4	1101	5	1	1	0	1	1	1	1	1
5	1101	4	1	1	0	1	1	1	1	1
6	1101	3	1	1	0	1	1	1	1	1
7	1101	2	1	1	0	0	0	0	1	1
8	1101	1	1	1	1	1	1	1	1	1
9	1102	8	1	1	1	1	1	1	1	1
10	1102	7	1	1	1	1	1	1	1	1
11	1102	6	0	1	0	0	0	1	1	1
12	1102	5	0	0	0	0	0	0	1	1
13	1102	4	0	0	0	0	0	0	1	1
14	1102	3	0	0	0	1	0	0	1	1
15	1102	2	1	0	0	0	0	0	1	1
16	1102	1	1	0	0	0	0	0	1	1
17	1103	8	1	1	1	1	1	1	1	1
18	1103	7	1	0	1	1	0	0	0	1
19	1103	6	1	0	0	0	0	0	1	1
20	1103	5	1	0	0	0	0	0	0	1
21	1103	4	1	0	0	0	0	0	0	1
22	1103	3	1	0	0	0	0	0	0	1
23	1103	2	1	1	0	0	0	0	0	1
24	1103	1	1	1	1	1	1	1	1	1
25	1104	8	1	1	1	1	1	1	1	1
26	1104	7	0	0	0	0	0	1	1	1
27	1104	6	0	0	0	0	0	1	1	1
28	1104	5	0	0	0	0	0	1	1	1
29	1104	4	0	0	0	0	0	0	1	1
30	1104	3	0	0	0	0	0	0	1	1
31	1104	2	1	0	0	0	0	0	0	1
32	1104	1	1	0	0	1	0	0	0	1
33	1105	8	1	1	1	1	1	1	1	1
34	1105	7	1	1	1	0	0	1	1	1
35	1105	6	0	0	0	0	0	0	0	0
36	1105	5	0	0	0	0	0	0	0	0
37	1105	4	0	0	0	1	0	0	0	0
38	1105	3	0	0	0	0	0	0	0	0
39	1105	2	0	0	0	0	0	0	0	0
40	1105	1	0	0	0	0	1	0	0	0
41	1106	8	1	0	0	0	0	0	1	1
42	1106	7	1	0	0	0	0	0	1	1
43	1106	6	1	0	0	0	0	0	1	1
44	1106	5	1	0	0	0	0	0	0	1
45	1106	4	0	0	0	0	1	0	0	1
46	1106	3	0	1	0	0	1	0	0	1
47	1106	2	0	0	0	0	0	0	0	1
48	1106	1	0	0	1	0	0	0	0	1
49	1107	8	1	1	1	1	1	1	1	1
50	1107	7	1	1	0	0	0	0	0	1
51	1107	6	1	1	0	0	0	0	0	1
52	1107	5	0	0	0	0	0	1	0	1
53	1107	4	0	0	0	0	0	0	0	1
54	1107	3	0	0	0	1	0	0	0	1
55	1107	2	0	0	0	0	0	1	1	1
56	1107	1	1	1	0	0	0	1	1	1
57	1108	8	1	1	1	1	1	1	1	1
58	1108	7	0	0	0	0	0	1	1	1
59	1108	6	0	0	0	0	0	0	0	0
60	1108	5	0	0	0	0	0	0	0	0
61	1108	4	0	0	0	0	0	0	0	0
62	1108	3	0	0	0	0	0	0	0	0
63	1108	2	0	0	0	0	0	0	0	0
64	1108	1	0	0	0	0	1	0	0	0
65	1109	8	1	1	1	1	1	1	1	1
66	1109	7	0	0	0	0	0	1	0	0
67	1109	6	0	0	0	0	0	0	0	0
68	1109	5	0	0	0	0	0	1	0	0
69	1109	4	0	0	0	0	0	1	1	1
70	1109	3	0	0	0	1	0	0	0	0
71	1109	2	0	0	0	1	0	0	0	0
72	1109	1	1	0	0	0	0	0	0	1
73	1110	8	0	0	1	1	0	0	0	1
74	1110	7	0	0	0	0	0	0	0	1
75	1110	6	1	0	0	0	0	0	0	0
76	1110	5	0	0	0	1	0	0	0	0
77	1110	4	0	0	0	0	0	0	0	1
78	1110	3	0	0	0	0	0	0	0	1
79	1110	2	0	0	0	0	0	1	1	1
80	1110	1	0	0	0	0	1	1	1	1
81	1201	8	1	1	1	1	1	1	1	1
82	1201	7	1	0	0	0	0	0	0	1
83	1201	6	1	0	0	0	0	0	0	1
84	1201	5	0	0	0	0	0	0	0	1
85	1201	4	1	0	0	0	0	0	0	1
86	1201	3	1	0	0	0	0	0	0	1
87	1201	2	1	0	0	0	0	0	0	1
88	1201	1	1	0	0	0	1	1	0	1
89	1202	8	1	1	1	1	1	1	1	1
90	1202	7	1	0	0	1	1	0	0	1
91	1202	6	1	0	0	0	0	0	0	1
92	1202	5	1	0	0	0	0	0	0	1
93	1202	4	1	0	1	0	0	0	0	1
94	1202	3	1	0	0	0	0	0	0	1
95	1202	2	1	0	0	0	0	0	1	1
96	1202	1	1	1	1	1	1	1	1	1
97	1203	8	1	1	1	1	1	1	1	1
98	1203	7	0	0	0	0	0	0	0	1
99	1203	6	0	0	0	0	0	0	0	1
100	1203	5	1	0	0	0	0	0	0	0
101	1203	4	1	0	0	0	0	0	0	0
102	1203	3	0	0	0	0	0	0	0	0
103	1203	2	1	1	0	0	1	0	0	0
104	1203	1	1	1	1	1	1	1	1	1
105	1204	8	1	1	0	0	1	1	0	1
106	1204	7	0	0	0	0	0	0	0	1
107	1204	6	0	0	0	0	0	0	0	1
108	1204	5	1	0	0	0	0	0	0	1
