Id	MapId	X	Y	Direction
1	2301	4	6	1
2	2301	4	6	4
3	2301	5	6	4
4	2301	6	6	3
5	2301	7	6	4
6	2302	2	4	3
7	2302	2	4	1
8	2302	2	3	1
9	2302	2	2	1
10	2302	2	2	4
11	2302	5	4	2
12	2302	5	5	2
13	2302	7	2	2
14	2302	7	3	2
15	2303	3	6	4
16	2303	4	6	4
17	2303	4	2	4
18	2303	5	2	4
19	2303	6	2	4
20	2303	7	2	4
21	2303	7	2	2
22	2303	5	4	4
23	2303	6	4	4
24	2303	6	4	2
25	2304	2	5	1
26	2304	2	6	1
27	2304	2	6	3
28	2304	3	6	3
29	2304	5	6	3
30	2304	6	6	3
31	2304	5	1	4
32	2304	6	1	4
33	2304	7	5	1
34	2304	7	4	1
35	2304	7	3	1
36	2305	1	5	1
37	2305	1	4	1
38	2305	1	3	1
39	2305	1	2	1
40	2305	1	2	4
41	2305	2	2	4
42	2305	3	2	4
43	2305	5	2	2
44	2306	1	1	2
45	2306	1	2	2
46	2306	1	3	2
47	2306	1	4	2
48	2306	1	5	2
49	2306	3	6	3
50	2306	4	6	3
51	2306	5	6	3
52	2306	6	6	3
53	2306	7	6	3
54	2307	5	7	4
55	2307	6	7	4
56	2307	7	7	4
57	2307	8	7	4
58	2308	1	2	3
59	2308	1	7	4
60	2308	2	2	3
61	2308	2	2	2
62	2308	2	7	4
63	2310	2	2	4
64	2310	3	2	4
65	2310	4	2	4
66	2310	5	2	4
67	2403	8	7	1
68	2403	8	6	1
69	2403	8	5	1
70	2408	2	1	4
71	2408	5	1	4
72	2408	6	1	4
73	2408	7	1	4
74	2409	2	8	3
75	2409	3	8	3
76	2409	4	8	3
77	2510	2	1	4
