Id	MapId	Type	SkillType	Desc	X	Y	Direction	ViewFront	ViewBack	ViewLeft	ViewRight	TriggerEnd	PatrolId[1]	PatrolId[2]	PatrolId[3]	PatrolId[4]	Prefab	SentryFront	SentryBack	SentryLeft	SentryRight	SentryStopRound
110111	1101	1			3	2	4					1					Mo1KuroMd1001DW					
110211	1102	1			3	3	4										Mo1KuroMd1001DW					
110212	1102	1			4	5	4					1					Mo1KuroMd1001DW					
110311	1103	1			4	3	4										Mo1KuroMd1001DW					
110312	1103	1			2	4	4										Mo1KuroMd1001DW					
110313	1103	1			5	6	4					1					Mo1KuroMd1001DW					
110411	1104	1			3	6	4										Mo1KuroMd1001DW					
110412	1104	1			3	3	4					1					Mo1KuroMd1001DW					
110511	1105	1			5	4	4										Mo1KuroMd1001DW					
110512	1105	1			7	6	4					1					Mo1KuroMd1001DW					
110521	1105	2			4	5	3	1									QR1AolajiangMd010011DW					
110522	1105	2			8	2	1	1					1105221				QR0TaieMd010011DW					
110611	1106	1			6	6	4					1					Mo1KuroMd1001DW					
110621	1106	2			1	4	4	1									QR1AolajiangMd010011DW					
110622	1106	2			7	2	4	1									QR1AolajiangMd010011DW					
110623	1106	2			2	5	2	1					1106231				QR0TaieMd010011DW					
110624	1106	2			6	8	1	1					1106241				QR0TaieMd010011DW					
110711	1107	1			1	2	4					1					Mo1KuroMd1001DW					
110712	1107	1			4	6	4										Mo1KuroMd1001DW					
110721	1107	2			1	4	4	1									QR1AolajiangMd010011DW					
110722	1107	2			7	4	3	1					1107221				QR0TaieMd010011DW					
110811	1108	1			2	2	4					1					Mo1KuroMd1001DW					
110812	1108	1			6	2	4										Mo1KuroMd1001DW					
110911	1109	1			4	5	4										Mo1KuroMd1001DW					
110912	1109	1			6	3	4										Mo1KuroMd1001DW					
110913	1109	1			7	6	4					1					Mo1KuroMd1001DW					
111011	1110	1			2	1	4										Mo1KuroMd1001DW					
111012	1110	1			5	3	4					1					Mo1KuroMd1001DW					
111021	1110	2			5	2	3	1									QR1AolajiangMd010011DW					
111022	1110	2			2	3	3	1					1110211				QR0TaieMd010011DW					
120111	1201	1			3	2	4										Mo1KuroMd1001DW					
120112	1201	1			3	5	4										Mo1KuroMd1001DW					
120113	1201	1			7	4	4										Mo1KuroMd1001DW					
120114	1201	1	1		7	6	4					1					Mo1KuroMd1001DW					
120211	1202	1			6	3	4										Mo1KuroMd1001DW					
120212	1202	1	1		6	5	4					1					Mo1KuroMd1001DW					
120311	1203	1	1		3	4	4					1					Mo1KuroMd1001DW					
120312	1203	1			4	6	4										Mo1KuroMd1001DW					
120313	1203	1			6	3	4										Mo1KuroMd1001DW					
120411	1204	1	1		5	3	4					1					Mo1KuroMd1001DW					
120412	1204	1	1		4	6	4										Mo1KuroMd1001DW					
120413	1204	1			6	4	4										Mo1KuroMd1001DW					
120414	1204	1			7	5	4										Mo1KuroMd1001DW					
120511	1205	1			5	7	4										Mo1KuroMd1001DW					
120512	1205	1			7	7	4										Mo1KuroMd1001DW					
120513	1205	1			6	3	4										Mo1KuroMd1001DW					
120514	1205	1	1		6	2	4					1					Mo1KuroMd1001DW					
120611	1206	1			3	1	4										Mo1KuroMd1001DW					
120612	1206	1	1		2	7	4					1					Mo1KuroMd1001DW					
120621	1206	2			8	2	1	1									QR1GuanjiaMd010011DW	1	1			5
120622	1206	2			7	6	4	1									QR1GuanjiaMd010011DW	1	1			5
