Id	GroupId	OpenTimeId	Name	TagBtnBG	Prefab
101	1		01 Cold Blade	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab0103.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame0103.prefab
102	1		02 Cold Frost	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab0203.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame0203.prefab
103	1		03 Dazzling Fireworks	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab0303.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame0303.prefab
104	1		04 Thundering Clouds	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab0403.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame0403.prefab
105	1		05 Dark Fragrance	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab0503.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame0503.prefab
201	2		01 Review & Learn	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab01.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame01.prefab
202	2		02 Necessary Sacrifice	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab02.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame02.prefab
203	2		03 You Shall Not Pass	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab03.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame03.prefab
204	2		04 Innocent Bunny	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab04.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame04.prefab
205	2		05 Into Your Own Trap	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab05.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame05.prefab
301	3		01 Operation Victory	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab0101.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame0101.prefab
302	3		02 Surrounded Conflict	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab0201.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame0201.prefab
303	3		03 Constant Traps	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab0301.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame0301.prefab
304	3		04 Space Shuttle	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameTab0401.png	Assets/Product/Ui/ComponentPrefab/UiFubenRpgMakerGame/FubenRpgMakerGame0401.prefab
