Id	Type	X	Y	Desc
1101	0	6	2	Both X and Y axis start from 1, where type 1 is ON by default, type 0 is OFF by default
1102	0	5	2	
1103	0	6	3	
1104	0	3	2	
1105	0	3	4	
1106	0	5	5	
1107	0	1	5	
1108	0	3	5	
1109	0	8	6	
1110	0	4	4	
1201	0	4	4	
1202	0	5	6	
1203	0	7	5	
1204	0	8	1	
1205	0	4	4	
1206	0	1	3	
1207	0	7	6	
1208	0	8	5	
1209	0	8	5	
1210	0	6	7	
1301	0	5	6	
1302	0	3	3	
1303	0	5	6	
1304	0	4	5	
1305	0	5	5	
1306	0	8	3	
1307	0	8	7	
1308	0	4	6	
1309	0	4	3	
1310	0	4	8	
1401	0	7	7	
1402	0	2	3	
1403	0	6	2	
1404	0	2	3	
1405	0	2	2	
1406	0	3	4	
1407	0	1	5	
1408	0	5	4	
1409	0	1	1	
1410	0	8	7	
1501	0	7	5	
1502	0	7	4	
1503	0	4	2	
1504	0	4	5	
1505	0	2	7	
1506	0	6	4	
1507	0	5	4	
1508	0	1	6	
1509	0	5	4	
1510	0	6	2	
2101	0	7	6	
2102	0	2	2	
2103	0	3	5	
2104	0	6	3	
2105	0	6	2	
2106	0	3	1	
2107	0	6	6	
2108	0	2	7	
2109	0	2	7	
2110	0	2	7	
2201	0	4	4	
2202	0	5	3	
2203	0	2	2	
2204	0	4	2	
2205	0	7	3	
2206	0	7	5	
2207	0	6	4	
2208	0	5	7	
2209	0	5	3	
2210	0	2	2	
2301	0	7	6	
2302	0	4	2	
2303	0	7	2	
2304	0	4	5	
2305	0	1	7	
2306	0	4	5	
2307	0	5	2	
2308	0	2	5	
2309	0	1	4	
2310	0	6	1	
2401	0	4	4	
2402	0	6	7	
2403	0	6	6	
2404	0	3	1	
2405	0	6	3	
2406	0	5	2	
2407	0	8	4	
2408	0	4	4	
2409	0	3	7	
2410	0	8	7	
2501	0	4	3	
2502	0	8	1	
2503	0	7	8	
2504	0	3	5	
2505	0	6	4	
2506	0	5	7	
2507	0	6	7	
2508	0	5	6	
2509	0	6	4	
2510	0	8	7	
3101	0	5	4	
3102	0	7	4	
3103	0	8	7	
3104	0	4	6	
3105	0	3	2	
3106	0	6	3	
3107	0	5	6	
3108	0	4	3	
3201	0	2	7	
3202	0	5	6	
3203	0	3	6	
3204	0	5	6	
3205	0	3	4	
3206	0	2	7	
3207	0	4	3	
3208	0	1	5	
3301	0	2	2	
3302	0	3	3	
3303	0	2	6	
3304	0	5	1	
3305	0	2	1	
3306	0	4	1	
3307	0	2	8	
3308	0	7	5	
3401	0	3	3	
3402	0	7	5	
3403	0	4	8	
3404	0	2	4	
3405	0	6	4	
3406	0	4	3	
3407	0	6	3	
3408	0	6	7	
1001	0	7	6	Both X and Y axis start from 1, where type 1 is ON by default, type 0 is OFF by default
