TreasureId	RequireStar	RewardId
1	6	1011002
2	9	1011003
3	12	1011004
4	3	1013001
5	6	1013002
6	9	1013003
7	12	1013004
8	2	1013005
9	4	1013006
10	5	1013007
11	6	1013008
12	2	1013011
13	4	1013012
14	5	1013013
15	6	1013014
16	2	1013015
17	4	1013016
18	5	1013017
19	6	1013018
20	2	1013019
21	5	1013020
22	8	1013021
23	9	1013022
24	2	1013023
25	5	1013024
26	8	1013025
27	9	1013026
28	2	1013027
29	5	1013028
30	8	1013029
31	9	1013030
32	2	1013031
33	5	1013032
34	8	1013033
35	9	1013034
36	2	1013035
37	5	1013036
38	8	1013037
39	9	1013038
40	2	1013039
41	5	1013040
42	8	1013041
43	9	1013042
44	2	1013043
45	5	1013044
46	8	1013045
47	9	1013046
48	2	1013047
49	5	1013048
50	8	1013049
51	9	1013050
52	2	1013051
53	5	1013052
54	8	1013053
55	9	1013054
56	2	1013055
57	5	1013056
58	8	1013057
59	9	1013058
