Id	Name	RoleName	Desc	Icon	ChapterId	StageId	CharacterId
1	Lotus	Lucia	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1021001.png	1001001	13010101	1021001
2	Dawn	Lucia	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1021002.png	1001001	13010102	1021002
3	Eclipse	Liv	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1031001.png	1002001	13010201	1031001
4	Lux	Liv	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1031002.png	1002001	13010202	1031002
5	Storm	Nanami	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1051001.png	1003001	13010301	1051001
6	Palefire	Lee	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1011001.png	1004001	13010401	1011002
7	Blast	Karenina	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1071001.png	1005001	13010501	1071002
8	Nightblade	Watanabe	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1081001.png	1006001	13010601	1081002
9	Astral	Watanabe	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1081003.png	1006002	13010602	1081003
10	Zero	Bianca	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1041001.png	1007001	13010701	1041002
11	Bastion	Kamui	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1061001.png	1008001	13010801	1061002
12	Brilliance	Ayla	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1091002.png	1009001	13011201	1091002
13	Silverfang	Sophia	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1101002.png	1010001	13011401	1111002
14	Arclight	Chrome	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1201002.png	1011001	13011501	1121002
15	Rozen	Vera	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1131002.png	1012001	13011701	1131002
16	Qilin	Changyu	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1161002.png	1016001	13012101	1161002
17	Hypnos	Wanshi	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1211002.png	1019001	13012301	1211002
18	XXI	No. 21	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1221002.png	1020001	13012601	1221002
19	Vitrum	Bambinata	Inver-Shard	Assets/Product/Texture/Image/IconTools/IconTools1231002.png	1023001	13012701	1231002
