ChapterId	ChapterDescription
1001001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1001002	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1001003	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1002001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1002002	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1003001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1003002	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1004001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1005001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1006001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1006002	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1007001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1007002	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1008001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1009001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1010001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1011001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1011002	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1012001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1012002	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1013001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1014001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1015001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1016001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1017001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1018001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for story tips.
1018002	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for story tips.
1019001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for story tips.
1020001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1021001	Clear rewards can be claimed after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1022001	Clear rewards can be claimed after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for special tips.
1023001	Clear rewards can be collected after the stage is cleared for the first time.\nHidden stage: Unlocked in specific stages. Watch out for story tips.
