CoverId	CoverName	CoverBg	CoverTitle	CoverDescription	ChallengeBg
1001	Lucia	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 1	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
1002	Lucia	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 2	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
1003	Lucia	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 3	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
1004	Liv	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 4	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
1005	Liv	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 5	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
1006	Nanami	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 6	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
1007	Nanami	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 7	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
1008	Lee	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 8	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
1009	Karenina	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 9	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
1010	Watanabe	Assets/Product/Texture/Image/UiPrequel/PrequelBg.png	Gray Raven's Arrival 10	Challenge attempts: Daily reset.\nReward: One Construct Shard in each stage.	Assets/Product/Texture/Image/UiFubenMainMapTab/ChapterBg02B.png
