Id	Type	MaxRebootCount	RebootItemId	ConsumeCount	HpRetain	MagicIds[1]	MagicIds[2]	MagicIds[3]	RebootCondition[1]	RebootCondition[2]	RebootCondition[3]
1	1	3	3	0	1	100028	100039	700051			
2		3	3	25	1	100028	100039	700051			
3	1	99999	3	0	1	100028	100039	700051			
4		1	1	100	1	100028	100039	700051			
5		3	3	0	1	100028	100039	700051			
6	1	3	3	25	1	100028	100039	700051			
7		99999	3	0	1	100028	100039	700051			
8	1	1	1	100	1	100028	100039	700051			
9		10	1	0	1	100028	100039	700051	843001		
10		10	1	0	1	100028	100039	700051	843002		
11		10	1	0	1	100028	100039	700051	843003		
12		99999	1	5000	1	100028	100039	700051			
13		10	1	0	1	100028	100039	700051	843004		
14		10	1	0	1	100028	100039	700051	843005		
15		10	1	0	1	100028	100039	700051	843006		
16		99999	1	1000	1	100028	100039	700051			
17	2	99999	1	0	1	100028	100039	700051			
18		99999	1	0	1	100028	100039	700051			
19		99999	96120	3	1	100028	100039	700051			
20		10	1	0	1	100028	100039	700051	843007		
