Id	ConsumeId[1]	ConsumeNum[1]	ConsumeId[2]	ConsumeNum[2]	MultiChallengeMin	MultiChallengeMax
30090501					1	8
30090502					1	8
30090503					1	8
30090504					1	8
30090505					1	8
30090506					1	8
30090507					1	8
30090508					1	8
30090509					1	8
30090510					1	8
30090511	60201	1			1	1
30090512	60201	4			1	1
30090531					1	8
30090532					1	8
30090533					1	8
30090534					1	8
30090535					1	8
30090536					1	8
30090537					1	8
30090538					1	8
30090539					1	8
30090540					1	8
30090541	60401	4			1	1
30010401					1	8
30010402					1	8
30010403					1	8
30010404					1	8
30010301					1	8
30010302					1	8
30010303					1	8
30010304					1	8
30010801					1	8
30010802					1	8
30010803					1	8
30010804					1	8
30010701					1	8
30010702					1	8
30010703					1	8
30010704					1	8
30050101					1	8
30050102					1	8
30050103					1	8
30050104					1	8
30050201					1	8
30050202					1	8
30050203					1	8
30050204					1	8
30090550					1	8
30090551					1	8
30090552					1	8
30090553					1	8
30090554					1	8
30090555					1	8
30090556					1	8
30090557					1	8
30090558					1	8
30090559					1	8
30090560					1	8
30090561					1	8
30090562					1	8
30090563					1	8
30090564					1	8
30090565					1	8
30090566					1	8
30090567					1	8
30090568					1	8
30090569					1	8
30050301					1	8
30050302					1	8
30050303					1	8
