StageId	Name	Description	Icon	StoryIcon	BgmId	AmbientSound	LoadingType	RewardTipId	EventId	NormalEventIdOnPassed	UnlockEventId[1]	UnlockEventId[2]	NormalEventId[1]	NormalEventId[2]	PreEventId[1]	PreEventId[2]	PreEventId[3]	PreEventId[4]	ClearEventId[1]	ClearEventId[2]	ClearEventId[3]	DisappearCondition	OrderId	RecommandLevel	IsMultiplayer	HaveAssist	StandardUseTimeSec	RequireLevel	RequireActionPoint	FirstRequireActionPoint	FinishRequireActionPoint	CharacterLimitType	CareerSuggestType	AISuggestType	LimitBuffId	PassTimeLimit	PreStageId[1]	PreStageId[2]	PreStageId[3]	PreStageId[4]	FlopRewardId	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	StarRewardId[2]	StarRewardId[3]	StarRewardId	TeamExp	FirstTeamExp	FinishTeamExp	CardExp	FirstCardExp	FinishCardExp	MaxChallengeNums	BuyChallengeCost	BuyChallengeCount	KeepPlayingStory	BeginStoryId	EndStoryId	OnlinePlayerLeast	OnlinePlayerLimit	StarDesc[1]	StarDesc[2]	StarDesc[3]	DescEventId[1]	DescEventId[2]	DescEventId[3]	SettleLoseTipId	SuggestedConditionId[1]	SuggestedConditionId[2]	SuggestedConditionId[3]	ForceConditionId[1]	ForceConditionId[2]	ForceConditionId[3]	HaveFirstPass	FirstGotoSkipId	FunctionLeftBtn	FunctionRightBtn	RobotId[1]	RobotId[2]	RobotId[3]	UrgentEventId[1]	UrgentEventId[2]	UrgentEventId[3]	RebootId	AutoFightId	StageType	StageGridStyle	FightControlId	DisableJoystick	NeedJobType[1]	NeedJobType[2]	NeedJobType[3]	MultiChallengeId	Restartable	ResetHpCount[1]	ResetHpCount[2]	ResetHpCount[3]	StoryUiStyle	OnlineMsgId	ForceAllyEffect	DisableDeadEffect	HideAction	Ability
1	Fake Stage for Close Beta Only	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.			101					1													1			1			6			3			1							100101010							6													3	なし	なし	なし																								Rectangle			1	2	3											
2	Fake Stage for Close Beta Only	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.			101					1													1			1			6			3			1														6													3	なし	なし	なし											1	1010	2	1										Rectangle			1	2	3											
10010001	Meeting up	The mission to take back the Earth begins now.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0001.png		101	311				1													1	1		1		1	0			3			1														0			0							ZX00001BA			3	Defeat all the Corrupted.	Fight till the last moment.	Clear Stage.											1		2	1	1011						1			Rectangle			1	2	3											
10010002	Siege Break	Nevermind... We all have skeletons in the closet.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0002.png		111	301				1													2	1		1		1	0			3			1														0			0							ZX00002BA			3	Defeat all the Corrupted.	Fight till the last moment.	Clear Stage.											1		2	1	1011						1			Rectangle			1	2	3											
10010003	Dark Red	I look forward to your choice after learning about the truth...	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0003.png		112	301				1													3	1		1		1	0			3			1														0			0							ZX00003BA	ZX00003EA		3	Challenge the unknown Construct.	Fight till the last moment.	Clear Stage.											1	21	2	1	1011									Rectangle			1	2	3											
10010004	Dawn	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal01.png		111					1													4	1		1		1		6		3			1															6			10									3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Rectangle			1	2	3											
10010101	A Brief Transit	To ensure the victory in Zone Q1, Gray Raven decided to head further into the zone.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													1	3		1		1		6		3			1	300							10010101		10010101					6			11					1	ZX00101BA	ZX00101EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	1		1	2	3											
10010102	Farewell Gift	During the battle, Gray Raven received a rendezvous signal, so they decided to set C-point as the temporary destination.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													2	3		1		1		6		3			1	300	10010101						10010102		10010102					6			11					1	ZX00102BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	2		1	2	3											
10010103	Graffiti Blast	Traces of graffiti. Facing such eerie artwork, Liv decided to join the battle.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0101.png		101	303				1													3	4		1		1		6		3			1	300	10010102						10010103		10010103					6			11					1	ZX00103BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Rectangle	3		1	2	3											
10010104	Full Strength	Commandant, now you can try using Liv in the battle. - Lucia	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		111	314				1													4	4		1		1		6		3			1	300	10010103						10010104		10010104					6			11					1	ZX00104BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Square	4		1	2	3											
10010201	Restoring Scene	After reaching C-point, all Gray Raven saw were the remains of their comrades, as well as the Corrupted feasting on them. Get rid of them.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													5	5		1		1		6		3			1	300	10010104						10010105		10010105					6			11					1	ZX00105BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	5		1	2	3											
10010202	Lost in Mist	Lucia found an arm from the remains that fit her just well. The Corrupted ahead are perfect targets for her to test it.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													6	5		1		1		6		3			1	300	10010201						10010106		10010106					6			11					1	ZX00106BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Square	6		1	2	3											
10010203	A Soft Heart	All squads are C-point were wiped out, but there are more than 1 temporary rendezvous point. Gray Raven decides to check the other points.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png		102	303				1													7	6		1		1		6		3			1	300	10010202						10010107		10010107					6			11					1	ZX00107BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1	1000						1			Square			1	2	3											
10010204	The Purpose	One of the Corrupted kept making a "giggling" sound. Go after it.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0102.png		111	303				1													8	6		1		1		6		3			1	300	10010203						10010108		10010108					6			11					1	ZX00108BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Rectangle	8		1	2	3											
10010301	The Followers	The rendezvous point in the city had also fallen. After investigating the remains, Gray Raven realized their actions were completely transparent to the Corrupted. But they need to get rid of the enemies ahead first.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													9	8		1		1		6		3			1	300	10010204						10010109		10010109					6			15					1	ZX00109BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Square	9		1	2	3											
10010302	Base Color	Realizing that the enemy had everything planned, Lee lost his cool. However, new pursuers showed up in front of the quarreling Gray Raven.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													10	8		1		1		6		3			1	300	10010301						10010110		10010110					6			16					1	ZX00110BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	10		1	2	3											
10010303	Self Analysis	Gray Raven found a place to regroup in the city. Liv and Lucia picked two plushies from the ruins, but more Corrupted came out of the buildings.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png		102	303				1													11	10		1		1		6		3			1	300	10010302						10010111		10010111					6			16					1	ZX00111BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	11		1	2	3											
10010304	Final Work	To seize control of this area again, Gray Raven decided to cross the city and head toward the factory, where the New Variant was found.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0103.png		112	303				1													12	10		1		1		6		3			1	300	10010303						10010112		10010112					6			16					1	ZX00112BA	ZX00112EA		3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Rectangle	12		1	2	3											
10020101	A Strange New Friend	After destroying the new variant, the Corrupted became disorganized again. Gray Raven decided to take this opportunity to establish a safe route to the portal.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													1	15		1		5		10		3			1	300	10010304						10020101		10020101					10			20					1	ZX00201BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1	1012	1013	1014				1			Square	13		1	2	3											
10020102	Strange Signal	Many out-of-control Corrupted were wandering on the bridge. Get rid of them, so the "Iso-Device" can be installed.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab04.png		102	303				1													2	15		1		5		10		3			1	300	10020101						10020102		10020102					10			20					1	ZX00202BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Rectangle	14		1	2	3											
10020103	Old Acquaintance	Another task force team was also on a mission in this area. Thanks to their "careless mistake", Gray Raven had to deal with more Corrupted.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													3	15		1		5		10		3			1	300	10020102						10020103		10020103					10			20					1	ZX00203BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Square	15		1	2	3											
10020104	Relic	Lee is an expert military engineer. The bridge is still not safe, but the best you can do is to protect him while he sets up the Iso-Device.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		111	303				1													4	15		1		5		10		3			1	300	10020103						10020104		10020104					10			20					1	ZX00204BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Square	16		1	2	3											
10020201	Language Game	To reach the portal, one must go through the city occupied by many Corrupted. Clean this area like what you did last time.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0201.png		101	303				1													5	18		1		5		10		3			1	300	10020104						10020105		10020105					10			20					1	ZX00205BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Rectangle	17		1	2	3											
10020202	Will to Survive	Liv won the recognition of other team members through her hard work and excellent battle performance. Keep the momentum going and clear the next area.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													6	18		1		5		10		3			1	300	10020201						10020106		10020106					10			20					1	ZX00206BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	18		1	2	3											
10020203	Iso-Device	It suddenly started to rain. Protect Lee so he could set up the Iso-Device before the rain gets worse.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0202.png		101	303				1													7	18		1		5		10		3			1	300	10020202						10020107		10020107					10			20					1	ZX00207BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Rectangle	19		1	2	3											
10020204	Rescue Signal	While setting up the Iso-Device, The team received a signal from a Construct requesting aid. Help him as soon as possible.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		102	303				1													8	18		1		5		10		3			1	300	10020203						10020108		10020108					10			20					1	ZX00208BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	20		1	2	3											
10020301	Will of Steel	The rescued Construct's injuries were too serious and he had to be restarted, which would inevitably wipe all his memories. Still, Gray Raven had to keep going.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													9	20		1		5		10		3			1	300	10020204						10020109		10020109					10			20					1	ZX00209BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	21		1	2	3											
10020302	A "Safe" Exit	This is the last area linking to the Portal. Protect Lee so he can set up a safe route.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab02.png		111	303				1													10	20		1		5		10		3			1	300	10020301						10020110		10020110					10			20					1	ZX00210BA			3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	22		1	2	3											
10020303	The Proud	Gray Raven received another rescue signal. Don't lose him this time!	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0203.png		111	303				1													11	20		1		5		10		3			1	300	10020302						10020111		10020111					10			20					1	ZX00211BA			3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Rectangle	23		1	2	3											
