Id	MatchName	SessionId	Type	TypeName	TimeId	RefreshVoteHour[1]	RefreshVoteHour[2]	RefreshVoteHour[3]	CoverImg	MatchSubName	Des[1]	Des[2]	Des[3]	FinalImg	DailyLimitCount
1	Round of 27	0	1	Voting period		12	20		Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon06.png	Decreed Undercard	Audition	In progress	Remaining voting time		100000
2	Round of 27	0	2	Notice period					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon06.png	Decreed Undercard	Audition	Notifying	Next Ceremony Timer		100000
3	Round of 24	1	1	Voting period		12	20		Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon07.png	World Tour	Round of 12	Round of 12	Remaining voting time		100000
4	Round of 24	1	2	Notice period					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon07.png	World Tour	Round of 12	Round of 12	Next Ceremony Timer		100000
5	Round of 18	2	1	Voting period		12	20		Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon08.png	The Big Comeback	Round of 6	Round of 12	Remaining voting time		100000
6	Round of 18	2	2	Notice period					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon08.png	The Big Comeback	Round of 6	Round of 12	Next Ceremony Timer		100000
7	Round of 18	3	1	Voting period		12	20		Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon09.png	The Big Comeback	N/A	Round of 9	Remaining voting time		100000
8	Round of 18	3	2	Notice period					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon09.png	The Big Comeback	N/A	Round of 9	Next Ceremony Timer		100000
9	Round of 6	4	1	Voting Period		12	20		Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon10.png	Celebration Climax	Round of 6	In progress	Remaining voting time		100000
10	Round of 6	4	2	Notice Period					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon10.png	Celebration Climax	Round of 6	Notifying	Next Ceremony Timer		100000
11	Round of 3	5	1	Voting Period		12	20		Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon11.png	Curtain Call Nevermore	Grand Final	In progress	Remaining voting time		100000
12	Round of 3	5	2	Notice Period					Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon11.png	Curtain Call Nevermore	Grand Final	Notifying	Curtain Call Nevermore Ended	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarLogoIcon11.png	100000
