NameplateId	PreNameplateId	CostItemId	CostItemCount	ItemName
17040101		62510	4000	Lee
17040102	17040101	62510	10000	Lee
17040103	17040102	62510	20000	Lee
17040201		62510	4000	Wanshi
17040202	17040201	62510	10000	Wanshi
17040203	17040202	62510	20000	Wanshi
17040301		62510	4000	Roland
17040302	17040301	62510	10000	Roland
17040303	17040302	62510	20000	Roland
17040401		62510	4000	Camu
17040402	17040401	62510	10000	Camu
17040403	17040402	62510	20000	Camu
17040501		62510	4000	Watanabe
17040502	17040501	62510	10000	Watanabe
17040503	17040502	62510	20000	Watanabe
17040601		62510	4000	Chrome
17040602	17040601	62510	10000	Chrome
17040603	17040602	62510	20000	Chrome
17040701		62510	4000	Changyu
17040702	17040701	62510	10000	Changyu
17040703	17040702	62510	20000	Changyu
17040801		62510	4000	Kamui
17040802	17040801	62510	10000	Kamui
17040803	17040802	62510	20000	Kamui
17040901		62510	4000	Karenina
17040902	17040901	62510	10000	Karenina
17040903	17040902	62510	20000	Karenina
17041001		62510	4000	Pulao
17041002	17041001	62510	10000	Pulao
17041003	17041002	62510	20000	Pulao
17041101		62510	4000	Rosetta
17041102	17041101	62510	10000	Rosetta
17041103	17041102	62510	20000	Rosetta
17041201		62510	4000	Luna
17041202	17041201	62510	10000	Luna
17041203	17041202	62510	20000	Luna
17041301		62510	4000	Bianca
17041302	17041301	62510	10000	Bianca
17041303	17041302	62510	20000	Bianca
17041401		62510	4000	Selena
17041402	17041401	62510	10000	Selena
17041403	17041402	62510	20000	Selena
17041501		62510	4000	Qu
17041502	17041501	62510	10000	Qu
17041503	17041502	62510	20000	Qu
17041601		62510	4000	Sophia
17041602	17041601	62510	10000	Sophia
17041603	17041602	62510	20000	Sophia
17041701		62510	4000	Lucia
17041702	17041701	62510	10000	Lucia
17041703	17041702	62510	20000	Lucia
17041801		62510	4000	Ayla
17041802	17041801	62510	10000	Ayla
17041803	17041802	62510	20000	Ayla
17041901		62510	4000	Liv
17041902	17041901	62510	10000	Liv
17041903	17041902	62510	20000	Liv
17042001		62510	4000	Nanami
17042002	17042001	62510	10000	Nanami
17042003	17042002	62510	20000	Nanami
17042101		62510	4000	Vera
17042102	17042101	62510	10000	Vera
17042103	17042102	62510	20000	Vera
17042201		62510	4000	α
17042202	17042201	62510	10000	α
17042203	17042202	62510	20000	α
17042301		62510	4000	Villier
17042302	17042301	62510	10000	Villier
17042303	17042302	62510	20000	Villier
17042401		62510	4000	Tai'E
17042402	17042401	62510	10000	Tai'E
17042403	17042402	62510	20000	Tai'E
