Id	RewardGroupId	UsableTimes	TemplateId	Count	Param[0]	Param[1]	Param[2]	Weight	Priority
1	1	5	50005	500				100	2000
2	1	4	29	150				100	1900
3	2	11	1	20000				100	100
4	2	5	31204	5				100	1500
5	2	5	31104	5				100	1400
6	2	5	40100	5				100	970
7	2	5	40103	5				100	960
8	2	5	40104	5				100	950
9	2	5	40110	1				100	1000
10	2	5	40113	1				100	990
11	2	5	40114	1				100	980
12	3	2	50003	500				100	2000
13	3	4	29	150				100	1900
14	4	10	1	20000				100	100
15	4	7	31204	5				100	1500
16	4	7	31104	5				100	1400
17	4	5	40100	5				100	970
18	4	5	40103	5				100	960
19	4	5	40104	5				100	950
20	4	5	40110	1				100	1000
21	4	5	40113	1				100	990
22	4	5	40114	1				100	980
