Id	InviteId	Type	NeedPoint	RewardId	IsPrimeReward
1	1	1	20	23101	
2	1	1	40	23102	
3	1	1	60	23103	
4	1	1	80	23104	
5	1	1	100	23105	
6	1	1	120	23106	
7	1	1	140	23107	
8	1	1	160	23108	1
9	1	1	180	23109	
10	1	1	200	23110	
11	1	1	220	23111	
12	1	1	240	23112	
13	1	1	260	23113	
14	1	1	280	23114	
15	1	1	300	23115	
16	1	1	320	23116	1
17	1	1	340	23117	
18	1	1	360	23118	
19	1	1	380	23119	1
20	1	1	400	23120	1
21	1	1	420	23121	1
22	1	2	20	23051	
23	1	2	40	23052	
24	1	2	60	23053	
25	1	2	80	23054	
26	1	2	100	23055	
27	1	2	120	23056	
28	1	2	140	23057	
29	1	2	160	23058	
30	1	2	180	23059	
31	1	2	200	23060	
32	1	2	220	23061	
33	1	2	240	23062	
34	1	2	260	23063	
35	1	2	280	23064	
36	1	2	300	23065	1
37	1	2	320	23066	1
38	2	1	20	23101	
39	2	1	40	23102	
40	2	1	60	23103	
41	2	1	80	23104	
42	2	1	100	23105	
43	2	1	120	23106	
44	2	1	140	23107	
45	2	1	160	23108	1
46	2	1	180	23109	
47	2	1	200	23110	
48	2	1	220	23111	
49	2	1	240	23112	
50	2	1	260	23113	
51	2	1	280	23114	
52	2	1	300	23115	
53	2	1	320	23116	1
54	2	1	340	23117	
55	2	1	360	23118	
56	2	1	380	23119	1
57	2	1	400	23120	1
58	2	1	420	23121	1
59	2	2	20	23051	
60	2	2	40	23052	
61	2	2	60	23053	
62	2	2	80	23054	
63	2	2	100	23055	
64	2	2	120	23056	
65	2	2	140	23057	
66	2	2	160	23058	
67	2	2	180	23059	
68	2	2	200	23060	
69	2	2	220	23061	
70	2	2	240	23062	
71	2	2	260	23063	
72	2	2	280	23064	
73	2	2	300	23065	1
74	2	2	320	23066	1
