Id	SignType	Pos	SignContent
1	1	1	Phantom Pain Cage
2	1	1	War Zone
3	2	2	Go to Work
4	2	2	Meeting Begins
5	3	1	Everything's Alright
6	4	2	Nothign Taboo
7	1	1	Regimen
8	2	2	I Want All
9	2	2	Slack Off Today
10	1	1	A Tea First
11	2	2	Next Round
12	1	1	Let's Feast
13	1	1	Beacon Calibration
14	1	1	Battle Meeting
15	1	1	M.I.N.D. Connection
16	1	1	Logistical Supply
17	1	1	Score
18	2	2	Draw Sword
19	1	1	Mining
20	1	1	Racing
21	2	2	Over-Time Work
22	2	2	Deadline Fighter
23	2	2	Hesitant
24	2	2	Procrastination
25	2	2	Self-Pity
26	2	2	Big Talk
27	2	2	Squabble
28	2	2	Pull an All-Nighter
29	1	1	Party
30	1	1	Sleeping In
31	2	2	Spill the Tea
32	1	1	Big Cleanup
33	1	1	Cuddle a Cat
34	1	1	Study Hard
35	1	1	Fly on the Wall
36	1	1	Contemplate
37	1	1	Border Pact
38	1	1	Sequence Pact
39	1	1	Alternative Interpretation
40	1	1	Daily Lucky Draw
41	1	1	Memory Rescue
42	1	1	Capturing Strongholds
43	1	1	Dog Walking
44	1	1	Teaming Up
45	1	1	Dormitory Commission
46	1	1	Co-op
47	1	1	BBQ Bash
48	1	1	Physical Training
49	2	2	Anxious Mind
50	1	1	Biking for Fun
51	1	1	Watching Movie
52	2	2	Heavy Strike
53	1	1	Someone who stays still.
