Id	Animation	TotalTime
10021001	SpearQte10	1.5
10021002	SpearQte11	2.63
10021003	SpearQte12	2
10021004	SpearQte20	2
10021005	SpearQte21	2
10021006	SpearQte22	2
10021007	SpearQteIn	2
10021008	SpearQteloop	9999
10021009	Stand2	0
10021010	SpearQteloop	2
10021011	Stand2	2
10021012	Stand2	2
10021013	Stand2	0.3
10021014	Stand2	2
10021015	Stand2	2
10021101	Stand2	0
10021102	Stand2	9999
10021103	Attack01	1.2
10021104	Attack02	99999
10021105	Attack02	99999
10021106	Attack03	99999
10021107	Attack04	99999
10021108	Attack04	99999
10021109	Attack04	99999
10021110	Attack04	99999
10021201	Stand2	0
10021202	Stand2	9999
10021203	Attack01	1.2
10021204	Attack02	99999
10021205	Attack02	99999
10021206	Attack03	99999
10021207	Attack04	99999
10021208	Attack04	99999
10021209	Attack04	99999
10021210	Attack04	99999
10021301	Stand2	0
10021302	Stand2	9999
10021303	Attack01	1.2
10021304	Attack02	99999
10021305	Attack02	99999
10021306	Attack03	99999
10021307	Attack04	99999
10021308	Attack04	99999
10021309	Attack04	99999
10021310	Attack04	99999
10141001	Spearjump	3
10141002	Spearfall	3
10141003	Spearout1	3
10141004	Stand2	0
10141005	SpearQte23	2.5
10141006	SpearQteln	1.93
10141007	SpearQteloop	2
10141008	SpearQte20	0.73
10141009	SpearQte21	0.67
10141010	SpearQte22	1.67
10141011	SpearQte21	0.67
10141012	SpearQte22	1.67
10141013	SpearQte22	1.67
10141014	SpearQte23	2.5
10141015	SpearQte23	2.5
10141016	Stand2	0.35
10141101	Stand2	0
10141102	Stand2	9999
10141103	Attack01	1.2
10141104	Attack02	99999
10141105	Attack02	99999
10141106	Attack03	99999
10141107	Attack04	99999
10141108	Attack04	99999
10141109	Attack04	99999
10141110	Attack04	99999
10141201	Stand2	0
10141202	Stand2	9999
10141203	Attack01	1.2
10141204	Attack02	99999
10141205	Attack02	99999
10141206	Attack03	99999
10141207	Attack04	99999
10141208	Attack04	99999
10141209	Attack04	99999
10141210	Attack04	99999
10141301	Stand2	0
10141302	Stand2	9999
10141303	Attack01	1.2
10141304	Attack02	99999
10141305	Attack02	99999
10141306	Attack03	99999
10141307	Attack04	99999
10141308	Attack04	99999
10141309	Attack04	99999
10141310	Attack04	99999
80020101	Stand2	0
80020102	Stand2	9999
80020201	Stand2	0
80020202	Stand2	9999
80020301	Stand2	0
80020302	Stand2	9999
80020401	Stand2	0
80020402	Stand2	9999
80020501	Stand2	0
80020502	Stand2	9999
80020601	Stand2	0
80020602	Stand2	9999
10071101	Stand2	0
10071102	Stand2	9999
10071103	Attack01	1.2
10071104	Attack02	99999
10071105	Attack02	99999
10071106	Attack03	99999
10071107	Attack04	99999
10071108	Attack04	99999
10071109	Attack04	99999
10071110	Attack04	99999
10071201	Stand2	0
10071202	Stand2	9999
10071203	Attack01	1.2
10071204	Attack02	99999
10071205	Attack02	99999
10071206	Attack03	99999
10071207	Attack04	99999
10071208	Attack04	99999
10071209	Attack04	99999
10071210	Attack04	99999
10071301	Stand2	0
10071302	Stand2	9999
10071303	Attack01	1.2
10071304	Attack02	99999
10071305	Attack02	99999
10071306	Attack03	99999
10071307	Attack04	99999
10071308	Attack04	99999
10071309	Attack04	99999
10071310	Attack04	99999
10071001	Spearfall	0.3
10071002	Spearfallloop	0.33
10071003	Spearjump	1.67
10071004	Stand2	9999
10071005	Attack61	2.5
10071006	SpearQteIn	2.4
10071007	SpearQteLoop	2
10071008	SpearQte10Start	0.3
10071009	SpearQte10Loop	0.3
10071010	SpearQte10End	0.3
10071011	SpearQte20out11	0.5
10071012	SpearQte20out12	0.7
10071013	SpearQte20out13	0.9
10071014	SpearQte20out2	2.4
10071015	SpearQte20out3	3.1
10071016	Stand2	0.8
10071017	Spearout2	6.97
10071018	SpearQteloop	2
