Id	Name	BuffId	BuffDesc	StageId[1]	StageId[2]	StageId[3]	ActiveAutoFightStageStr[1]	ActiveAutoFightStageStr[2]	ActiveAutoFightStageStr[3]	MarkId[1]	MarkId[2]	MarkId[3]	AutoFight[1]	AutoFight[2]	AutoFight[3]	Desc	Region
1	Machine Factory	4001	Physical DMG increases.	30080101	30080102	30080103	30080108|30080110|30080112|30080114	30080109|30080111|30080113|30080115	0	1	2	3	1	1	0	Joint Operation: Refresh multiple Normal and Elite enemies	1
2	Crimson Frostland	4002	Ice DMG increases.	30080201	30080202	30080203	30080208|30080210|30080212|30080214	30080209|30080211|30080213|30080215	0	1	2	3	1	1	0	Joint Operation: Refresh multiple Normal and Elite enemies	5
3	Cycle of Fire	4003	Fire DMG increases.	30080301	30080302	30080303	30080308|30080310|30080312|30080314	30080309|30080311|30080313|30080315	0	1	2	3	1	1	0	Joint Operation: Refresh multiple Normal and Elite enemies	2
4	Laser Alloy	4004	Lightning DMG increases.	30080401	30080402	30080403	30080408|30080410|30080412|30080414	30080409|30080411|30080413|30080415	0	1	2	3	1	1	0	Joint Operation: Refresh multiple Normal and Elite enemies	3
5	Shadow Forest	4005	Dark DMG increases.	30080501	30080502	30080503	30080508|30080510|30080512|30080514	30080509|30080511|30080513|30080515	0	1	2	3	1	1	0	Joint Operation: Refresh multiple Normal and Elite enemies	4
6	Machine Factory	4001	Physical DMG increases.	30080108	30080109	30080104	30080101|30080110|30080112|30080114	30080102|30080111|30080113|30080115	0	1	2	5	1	1	0	Desperate Fight: Refresh only 1 enemy per wave	1
7	Crimson Frostland	4002	Ice DMG increases.	30080208	30080209	30080204	30080201|30080210|30080212|30080214	30080202|30080211|30080213|30080215	0	1	2	5	1	1	0	Desperate Fight: Refresh only 1 enemy per wave	5
8	Cycle of Fire	4003	Fire DMG increases.	30080308	30080309	30080304	30080301|30080310|30080312|30080314	30080302|30080311|30080313|30080315	0	1	2	5	1	1	0	Desperate Fight: Refresh only 1 enemy per wave	2
9	Laser Alloy	4004	Lightning DMG increases.	30080408	30080409	30080404	30080401|30080410|30080412|30080414	30080402|30080411|30080413|30080415	0	1	2	5	1	1	0	Desperate Fight: Refresh only 1 enemy per wave	3
10	Shadow Forest	4005	Dark DMG increases.	30080508	30080509	30080504	30080501|30080510|30080512|30080514	30080502|30080511|30080513|30080515	0	1	2	5	1	1	0	Desperate Fight: Refresh only 1 enemy per wave	4
11	Machine Factory	4001	Physical DMG increases.	30080110	30080111	30080105	30080101|30080108|30080112|30080114	30080102|30080109|30080113|30080115	0	1	2	4	1	1	0	Duo Challenge: Refresh 2 Elite enemies per wave	1
12	Crimson Frostland	4002	Ice DMG increases.	30080210	30080211	30080205	30080201|30080208|30080212|30080214	30080202|30080209|30080213|30080215	0	1	2	4	1	1	0	Duo Challenge: Refresh 2 Elite enemies per wave	5
13	Cycle of Fire	4003	Fire DMG increases.	30080310	30080311	30080305	30080301|30080308|30080312|30080314	30080302|30080309|30080313|30080315	0	1	2	4	1	1	0	Duo Challenge: Refresh 2 Elite enemies per wave	2
14	Laser Alloy	4004	Lightning DMG increases.	30080410	30080411	30080405	30080401|30080408|30080412|30080414	30080402|30080409|30080413|30080415	0	1	2	4	1	1	0	Duo Challenge: Refresh 2 Elite enemies per wave	3
15	Shadow Forest	4005	Dark DMG increases.	30080510	30080511	30080505	30080501|30080508|30080512|30080514	30080502|30080509|30080513|30080515	0	1	2	4	1	1	0	Duo Challenge: Refresh 2 Elite enemies per wave	4
16	Machine Factory	4001	Physical DMG increases.	30080112	30080113	30080106	30080101|30080108|30080110|30080114	30080102|30080109|30080111|30080115	0	1	2	3	1	1	0	Turbulent Water: Refresh 1 Elite enemy per wave	1
17	Crimson Frostland	4002	Ice DMG increases.	30080212	30080213	30080206	30080201|30080208|30080210|30080214	30080202|30080209|30080211|30080215	0	1	2	3	1	1	0	Turbulent Water: Refresh 1 Elite enemy per wave	5
18	Cycle of Fire	4003	Fire DMG increases.	30080312	30080313	30080306	30080301|30080308|30080310|30080314	30080302|30080309|30080311|30080315	0	1	2	3	1	1	0	Turbulent Water: Refresh 1 Elite enemy per wave	2
19	Laser Alloy	4004	Lightning DMG increases.	30080412	30080413	30080406	30080401|30080408|30080410|30080414	30080402|30080409|30080411|30080415	0	1	2	3	1	1	0	Turbulent Water: Refresh 1 Elite enemy per wave	3
20	Shadow Forest	4005	Dark DMG increases.	30080512	30080513	30080506	30080501|30080508|30080510|30080514	30080502|30080509|30080511|30080515	0	1	2	3	1	1	0	Turbulent Water: Refresh 1 Elite enemy per wave	4
21	Machine Factory	4001	Physical DMG increases.	30080114	30080115	30080107	30080101|30080108|30080110|30080112	30080102|30080109|30080111|30080113	0	1	2	3	1	1	0	Crowd Battle: Refresh 3 or 6 Normal enemies per wave	1
22	Crimson Frostland	4002	Ice DMG increases.	30080214	30080215	30080207	30080201|30080208|30080210|30080212	30080202|30080209|30080211|30080213	0	1	2	3	1	1	0	Crowd Battle: Refresh 3 or 6 Normal enemies per wave	5
23	Cycle of Fire	4003	Fire DMG increases.	30080314	30080315	30080307	30080301|30080308|30080310|30080312	30080302|30080309|30080311|30080313	0	1	2	3	1	1	0	Crowd Battle: Refresh 3 or 6 Normal enemies per wave	2
24	Laser Alloy	4004	Lightning DMG increases.	30080414	30080415	30080407	30080401|30080408|30080410|30080412	30080402|30080409|30080411|30080413	0	1	2	3	1	1	0	Crowd Battle: Refresh 3 or 6 Normal enemies per wave	3
