Id	ChallengeId	MinWave	MaxWave	AttribReviseId
1	1	180	999	209
2	1	130	180	207
3	1	90	130	205
4	1	75	90	204
5	1	50	75	202
6	1	0	50	200
7	2	180	999	209
8	2	152	180	208
9	2	130	152	207
10	2	110	130	206
11	2	90	110	205
12	2	60	90	204
13	2	50	60	203
14	2	40	50	202
15	2	30	40	201
16	2	0	30	200
17	3	180	999	209
18	3	152	180	208
19	3	130	152	207
20	3	110	130	206
21	3	90	110	205
22	3	60	90	204
23	3	50	60	203
24	3	40	50	202
25	3	30	40	201
26	3	0	30	200
27	4	180	999	209
28	4	152	180	208
29	4	130	152	207
30	4	110	130	206
31	4	90	110	205
32	4	60	90	204
33	4	50	60	203
34	4	40	50	202
35	4	30	40	201
36	4	0	30	200
37	5	180	999	209
38	5	152	180	208
39	5	130	152	207
40	5	110	130	206
41	5	90	110	205
42	5	60	90	204
43	5	50	60	203
44	5	40	50	202
45	5	30	40	201
46	5	0	30	200
47	6	180	999	209
48	6	152	180	208
49	6	130	152	207
50	6	110	130	206
51	6	90	110	205
52	6	60	90	204
53	6	50	60	203
54	6	40	50	202
55	6	30	40	201
56	6	0	30	200
57	7	180	999	209
58	7	152	180	208
59	7	130	152	207
60	7	110	130	206
61	7	90	110	205
62	7	60	90	204
63	7	50	60	203
64	7	40	50	202
65	7	30	40	201
66	7	0	30	200
67	8	180	999	209
68	8	152	180	208
69	8	130	152	207
70	8	110	130	206
71	8	90	110	205
72	8	60	90	204
73	8	50	60	203
74	8	40	50	202
75	8	30	40	201
76	8	0	30	200
77	9	180	999	209
78	9	152	180	208
79	9	130	152	207
80	9	110	130	206
81	9	90	110	205
82	9	60	90	204
83	9	50	60	203
84	9	40	50	202
85	9	30	40	201
86	9	0	30	200
87	10	180	999	209
88	10	152	180	208
89	10	130	152	207
90	10	110	130	206
91	10	90	110	205
92	10	60	90	204
93	10	50	60	203
94	10	40	50	202
95	10	30	40	201
96	10	0	30	200
97	11	180	999	209
98	11	152	180	208
99	11	130	152	207
100	11	110	130	206
101	11	90	110	205
102	11	60	90	204
103	11	50	60	203
104	11	40	50	202
105	11	30	40	201
106	11	0	30	200
107	12	180	999	209
108	12	152	180	208
109	12	130	152	207
110	12	110	130	206
111	12	90	110	205
112	12	60	90	204
113	12	50	60	203
114	12	40	50	202
115	12	30	40	201
116	12	0	30	200
117	13	180	999	209
118	13	152	180	208
119	13	130	152	207
120	13	110	130	206
121	13	90	110	205
122	13	60	90	204
123	13	50	60	203
124	13	40	50	202
125	13	30	40	201
126	13	0	30	200
127	14	180	999	209
128	14	152	180	208
129	14	130	152	207
130	14	110	130	206
131	14	90	110	205
132	14	60	90	204
133	14	50	60	203
134	14	40	50	202
135	14	30	40	201
136	14	0	30	200
137	15	180	999	209
138	15	152	180	208
139	15	130	152	207
140	15	110	130	206
141	15	90	110	205
142	15	60	90	204
143	15	50	60	203
144	15	40	50	202
145	15	30	40	201
146	15	0	30	200
147	16	180	999	209
148	16	152	180	208
149	16	130	152	207
150	16	110	130	206
151	16	90	110	205
152	16	60	90	204
153	16	50	60	203
154	16	40	50	202
155	16	30	40	201
156	16	0	30	200
