Id	AreaId[1]	AreaId[2]	AreaId[3]	AreaId[4]	AreaId[5]	FightEventId
1	1	2				4007
2	1	3				4008
3	1	4				4009
4	1	5				4010
5	2	3				4007
6	2	4				4012
7	2	5				4007
8	3	4				4008
9	3	5				4009
10	4	5				4010
11	1	2				4011
12	1	3				4012
13	1	4				4007
14	1	5				4008
15	1	7				4009
16	1	8				4010
17	1	9				4011
18	1	10				4011
19	1	12				4007
20	1	13				4008
21	1	14				4009
22	1	15				4010
23	1	17				4011
24	1	18				4012
25	1	19				4007
26	1	20				4008
27	1	22				4009
28	1	23				4010
29	1	24				4011
30	1	25				4012
31	1	26				4007
32	1	27				4008
33	1	28				4009
34	1	29				4010
35	2	3				4011
36	2	4				4012
37	2	5				4007
38	2	8				4007
39	2	9				4009
40	2	10				4010
41	2	13				4007
42	2	14				4009
43	2	15				4007
44	2	18				4008
45	2	19				4009
46	2	20				4010
47	2	23				4011
48	2	24				4012
49	2	25				4007
50	2	26				4008
51	2	27				4009
52	2	28				4010
53	2	29				4011
54	3	4				4008
55	3	5				4007
56	3	9				4008
57	3	10				4009
58	3	14				4010
59	3	15				4011
60	3	19				4012
61	3	20				4007
62	3	24				4008
63	3	25				4009
64	3	26				4010
65	3	27				4011
66	3	28				4012
67	3	29				4007
68	4	5				4008
69	4	10				4012
70	4	15				4012
71	4	20				4011
72	4	25				4012
73	4	26				4007
74	4	27				4008
75	4	28				4009
76	4	29				4010
77	2	6				4011
78	3	6				4012
79	4	6				4012
80	5	6				4009
81	6	7				4009
82	6	8				4010
83	6	9				4011
84	6	10				4012
85	6	12				4007
86	6	13				4008
87	6	14				4009
88	6	15				4010
89	6	17				4011
90	6	18				4012
91	6	19				4007
92	6	20				4008
93	6	22				4009
94	6	23				4010
95	6	24				4011
96	6	25				4011
97	6	26				4007
98	6	27				4010
99	6	28				4009
100	6	29				4010
101	3	7				4008
102	4	7				4009
103	5	7				4007
104	7	8				4007
105	7	9				4009
106	7	10				4010
107	7	13				4011
108	7	14				4012
109	7	15				4007
110	7	18				4008
111	7	19				4009
112	7	20				4010
113	7	23				4007
114	7	24				4012
115	7	25				4007
116	7	26				4008
117	7	27				4009
118	7	28				4010
119	7	29				4011
120	4	8				4012
121	5	8				4008
122	8	9				4008
123	8	10				4009
124	8	14				4010
125	8	15				4011
126	8	19				4012
127	8	20				4007
128	8	24				4008
129	8	25				4009
130	8	26				4008
131	8	27				4011
132	8	28				4012
133	8	29				4007
134	5	9				4008
135	9	10				4008
136	9	15				4010
137	9	20				4011
138	9	25				4012
139	9	26				4007
140	9	27				4008
141	9	28				4009
142	9	29				4010
143	2	11				4011
144	3	11				4012
145	4	11				4007
146	5	11				4008
147	7	11				4009
148	8	11				4010
149	9	11				4011
150	10	11				4012
151	11	12				4009
152	11	13				4008
153	11	14				4009
154	11	15				4010
155	11	17				4011
156	11	18				4012
157	11	19				4007
158	11	20				4008
159	11	22				4009
160	11	23				4010
161	11	24				4009
162	11	25				4011
163	11	26				4007
164	11	27				4010
165	11	28				4009
166	11	29				4010
167	3	12				4007
168	4	12				4009
169	5	12				4007
