Id	ActivityIdRange	UpRewardId	KeepRewardId	DownRewardId	DanUpRank	DanKeepRank	DanDownRank	DanUpRankCostContributeScore
1	201	10100	10101	0	15	21	0	0
2	201	10103	10104	0	15	21	0	0
3	201	10106	10107	0	15	21	0	0
4	201	10109	10110	10111	6	12	18	0
5	201	10112	10113	10114	6	12	18	0
6	201	10115	10116	10117	6	15	18	0
7	201	10118	10119	10120	3	9	15	0
8	201	10121	10122	10123	6	12	18	0
9	201	10124	10125	10126	6	15	18	0
10	201	0	10128	10129	0	6	15	0
11	201	10130	10131	10132	3	9	15	0
12	201	10133	10134	10135	3	9	15	0
13	201	0	10140	10141	0	6	15	0
14	201	10142	10143	10144	3	9	15	0
15	201	0	10152	10153	0	6	15	100
