ChallengeId	Name	ArenaLv	MinLv	MaxLv	DistributeId	JoinNum	DanUpRank	DanKeepRank	DanDownRank	UpRewardId	KeepRewardId	DownRewardId	DayUnlockNum	WeekEndUnlockNum	AreaId[1]	AreaId[2]	AreaId[3]	AreaId[4]	AreaId[5]	AreaId[6]	AreaId[7]	AreaId[8]	AreaId[9]	AreaId[10]	AreaId[11]	AreaId[12]	AreaId[13]	AreaId[14]	AreaId[15]	AreaId[16]	AreaId[17]	AreaId[18]	AreaId[19]	AreaId[20]	AreaId[21]	AreaId[22]	AreaId[23]	AreaId[24]	AreaId[25]	AreaId[26]	AreaId[27]	AreaId[28]	AreaId[29]	AreaIdGroup[1]	AreaIdGroup[2]	AreaIdGroup[3]	AreaIdGroup[4]	AreaIdGroup[5]	AreaIdGroup[6]	BaseTeamRank	DifShowRate	AvgScore	MinScore	DanUpRankCostContributeScore	ContributeScore[1]	ContributeScore[2]	ContributeScore[3]	ContributeScore[4]	ContributeScore[5]	ContributeScore[6]	ContributeScore[7]	ContributeScore[8]	ContributeScore[9]	ContributeScore[10]	ContributeScore[11]	ContributeScore[12]	ContributeScore[13]	ContributeScore[14]	ContributeScore[15]	ContributeScore[16]	ContributeScore[17]	ContributeScore[18]	ContributeScore[19]	ContributeScore[20]	ContributeScore[21]	TaskId[1]	TaskId[2]	TaskId[3]	TaskId[4]	TaskId[5]	TaskId[6]	TaskId[7]	TaskId[8]	TaskId[9]
1	Backup Squad	1	1	54	21	21	15	21	0	10200	10201	0	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	10	10	10	10	10	8	8	8	8	8	6	6	6	6	6	0	0	0	0	0	0	3809	3810	3811	3807	3808	3812	3813	3814	
2	Backup Squad	1	55	79	21	21	15	21	0	10203	10204	0	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	10	10	10	10	10	8	8	8	8	8	6	6	6	6	6	0	0	0	0	0	0	3809	3810	3811	3807	3808	3815	3816	3817	
3	Backup Squad	1	80	120	21	21	15	21	0	10206	10207	0	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	10	10	10	8	8	8	6	6	6	6	6	6	3	3	3	0	0	0	0	0	0	3809	3810	3811	3807	3808	3818	3819	3820	
4	Recon Squad	2	1	54	21	18	6	12	18	10209	10210	10211	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	12	10	10	8	8	8	6	5	4	3	3	3	0	0	0	0	0	0				3809	3810	3811	3807	3808	3821	3822	3823	
5	Recon Squad	2	55	79	21	18	6	12	18	10212	10213	10214	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	12	10	10	8	8	8	6	5	4	3	3	3	0	0	0	0	0	0				3809	3810	3811	3807	3808	3824	3825	3826	
6	Recon Squad	2	80	120	21	18	6	15	18	10215	10216	10217	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	12	10	10	8	8	8	6	6	6	6	3	3	3	3	3	0	0	0				3809	3810	3811	3807	3808	3827	3828	3829	
7	Vanguard Squad	3	1	54	21	15	3	9	15	10218	10219	10220	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	15	12	10	8	6	6	3	3	3	3	3	3	0	0	0							3809	3810	3811	3807	3808	3830	3831	3832	
8	Vanguard Squad	3	55	79	21	18	6	12	18	10221	10222	10223	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	15	12	10	10	8	8	6	5	4	3	3	3	0	0	0	0	0	0				3809	3810	3811	3807	3808	3833	3834	3835	
9	Vanguard Squad	3	80	120	21	18	6	15	18	10224	10225	10226	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	15	12	10	10	8	8	6	6	6	3	3	3	3	3	3	0	0	0				3809	3810	3811	3807	3808	3836	3837	3838	
10	Elite Squad	4	1	54	21	15	0	6	15	0	10228	10229	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	0	18	14	10	8	8	8	6	5	4	3	3	3	0	0	0							3809	3810	3811	3807	3808	3839	3840	3841	
