Id	WinRewardItemId	WinRewardItemNum	LoseRewardItemId	LoseRewardItemNum	WinRewardId	LoseRewardId	GridIds[0]	GridIds[1]	GridIds[2]	GridIds[3]	GridIds[4]	GridIds[5]	GridIds[6]	GridIds[7]
1	30111	8	1	10000	12508	12522	1							
2	40301	5	1	10000	12509	12522	2							
3	31204	5	1	10000	12510	12522	3							
4	12	8	1	10000	12511	12522	4							
5	31104	5	1	10000	12512	12522	5							
6	29	15	1	10000	12513	12522	6							
7	60001	8	1	10000	12514	12522	7							
8	29	25	1	10000	12515	12522	8							
9	40200	10	1	10000	12516	12522	9							
10	29	30	1	10000	12517	12522	10							
11	40201	5	1	10000	12518	12522	11							
12	29	35	1	10000	12519	12522	12							
13	60002	4	1	10000	12520	12522	13							
14	29	45	1	10000	12521	12522	14							
15	3	50			12523		15	16	17	18	19	20	21	22
16	3	50			12523		23	24	25	26	27	28	29	30
