Id	LuckNumber	Num[1]	Num[2]	Num[3]	Num[4]	Num[5]	Num[6]	Num[7]	Num[8]	Num[9]	CorrectChose[0]	CorrectChose[1]	CorrectChose[2]	CorrectChose[3]
1	23	6	2	1	4	8	3	7	5	9	1			
2	20	9	5	6	2	8	3	1	7	4	3	6		
3	8	5	9	2	1	3	4	7	6	8	7			
4	13	9	6	7	8	2	3	4	5	1	3	5	7	
5	12	7	4	8	1	5	6	2	3	9	3	7		
6	17	7	2	9	5	4	1	3	8	6	1	8		
7	10	1	8	2	4	9	6	5	3	7	2			
8	14	8	4	7	3	5	6	2	9	1	1	4	5	7
9	22	1	6	3	8	7	5	2	9	4	3			
10	18	5	8	2	1	9	6	7	3	4	1	5		
11	16	1	7	3	9	5	2	6	8	4	2	7		
12	21	5	3	4	9	2	1	6	8	7	8			
13	9	8	5	1	9	2	7	6	4	3	5			
14	7	1	2	4	9	5	6	3	8	7	6			
15	24	8	2	6	3	7	5	4	1	9	1			
16	24	7	2	1	8	5	4	9	6	3	2			
17	24	1	9	6	4	8	2	3	7	5	3			
18	24	3	1	7	4	5	9	6	2	8	4			
19	24	1	2	7	3	8	4	9	5	6	5			
20	24	9	7	8	4	3	5	2	6	1	6			
21	24	1	5	4	7	9	8	6	3	2	7			
22	24	2	6	5	4	1	3	8	9	7	8			
23	6	1	5	7	6	3	8	4	9	2	1			
24	6	1	7	5	2	8	4	3	6	9	2			
25	6	7	1	5	9	3	4	8	2	6	3			
26	6	8	7	3	9	5	2	4	6	1	4			
27	6	7	5	1	6	2	4	3	8	9	5			
28	6	2	1	3	5	7	6	8	9	4	6			
29	6	5	7	6	2	3	1	4	8	9	7			
30	6	7	9	6	4	8	5	3	1	2	8			
