Id	TipDesc[1]	SkipId[1]	TipDesc[2]	SkipId[2]	TipDesc[3]	SkipId[3]
0	Construct – Insufficient train		Equip Set – Insufficient train		Recommendation: Obtain Train Data from [Resource Mission]	
1	Construct – Insufficient train	3300	Equip Set – Insufficient train	3300	Recommendation: Obtain Train Data from [Resource Mission]	3300
2	Distribute electricity in team will increase the team's BP, activating Perfect Tactics		Clear prestage will eliminate partial Enhanced Affix of Deep Hive		You can use the Support Character borrowed from Friends/Command Bureau for Fight	
3	Team Level - Low Team Level. Please wait for and claim Daily Supplies to level up.		Frame Specialty - Unactivated skill(s) or no suitable skill(s) activated on the current Specialty Path.		Combat Strategy - Deploy frames flexibly and select suitable Specialty Paths and skills for them based on the situation on the battlefield.	
4	Mechanoid – Insufficient training		Tactics – Adjust positions and skill casting timing		The [Reset] function will return the materials spent on your mechanoid.	
5	Team – Deploy characters that effectively counter the enemies		Buff – Adjust and activate different Simulation Buff effects		Star – Obtain the most Stars possible	
6	Combat Deployment - Try to prepare for the winter hunt./Adjust the configuration of combat enhancements.		Winter Hunt Preparation - Change talents or replace/upgrade Defensive Devices.		Combat Enhancement - Change hunters or replace/upgrade hunting add-ons.	
7	Construct - The training level is too low. You need to improve your character's Battle Power.		Team Lineup - Your team is missing some types of characters.		Affix Too Difficult - Make sure to choose Affixes wisely so that you can keep the Affix Difficulty low.	
8	Adjust the appropriate Deviation to improve accuracy.		Press once the light reaches the white line		Press according to the rhythm of the notes	
9	Bombs of different colors are in correspondence with explosions in different areas		Analyze explosion patterns based on the colors of the bombs in each round		Keep a proper distance with allies to hack the bombs	
10	Avoid the obstacles to run farther		The acceleration zone can make your frame run faster			
11	Bombs of different colors are related to explosions of different areas		Avoid the explosions caused by boss' bombs in advance		Hit the boss with bombs to earn points	
12	Bombs of different colors are related to explosions of different areas		Avoid the explosions caused by boss' bombs in advance		Adjust where the team members stand wisely accordingly to the teammates' bombs	
