Id	StageType	Title	Image	Desc1	Desc2
1	67	Green Bombs	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips1.png	Green Bombs	All squares surrounding the character explode. Teammates standing in the exploded areas will not gain any Points. (Characters are immune to their own bombs.)
2	67	Blue Bombs	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips2.png	Blue Bombs	All squares diagonal to the character explode. The explosion pattern extends to the edge of the board. Teammates standing in the exploded areas will not gain any Points. (Characters are immune to their own bombs.)
3	67	Yellow Bombs	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips3.png	Yellow Bombs	All squares in the same column and row as the character explode. The explosion pattern extends to the edge of the board. Teammates standing in the exploded areas will not gain any Points. (Characters are immune to their own bombs.)
4	67	Red Tide Squares	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips4.png	Red Tide Squares	When a square turns red, Red Tide will appear on that square. All characters standing on that square during the Aftermath Phase will not gain any Points.
5	68	Switch Track	Assets/Product/Texture/Image/UiMoeWar/UiParkourTips02.png	Slide up/down or press the arrow buttons to switch between tracks	
6	68	Leap	Assets/Product/Texture/Image/UiMoeWar/UiParkourTips03.png	Use skills to make the frame jump up and avoid low obstacles	
7	68	Slide	Assets/Product/Texture/Image/UiMoeWar/UiParkourTips01.png	Use skills to make the frame slide and avoid overhead obstacles	
8	76	Green Bomb	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips1.png	Green Bomb	All squares surrounding the character explode. (Characters are immune to their own bombs.)
9	76	Blue Bomb	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips2.png	Blue Bomb	All squares diagonal to the character explode. The explosion pattern extends to the edge of the board. (Characters are immune to their own bombs.)
10	76	Yellow Bomb	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips3.png	Yellow Bomb	All squares in the same column and row as the character explode. The explosion pattern extends to the edge of the board. (Characters are immune to their own bombs.)
11	61	Materials and Tools	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialYuanXiao.png	Materials and Tools	Materials and tools to make sweet dumplings, corresponding to the Material and Tool Skill Orbs in the orb bar.
12	61	Production Orb Bar	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialYuanXiao2.png	Production Orb Bar	Each bowl of sweet dumplings require different materials and tools and will generate combinations of random quantities and orders. Tap the Material and Tool Skill Orbs according to the order in display.
